z6-15949,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 6,Port 6,Port 6,Port 6,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1811,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
2/29/2024 15:15,263.3,37,2.50,12.73,20.5,1.6,-3.5,20.2,0.893,87.54,15,0,454,340,2.58,8.78,20.4,-2.6,2.5,92,7735,87.50,21.0
2/29/2024 15:30,122.3,118,1.97,8.34,20.8,2.2,-3.3,20.5,0.880,87.53,15,0,454,357,1.82,7.19,20.7,-2.7,2.6,92,7736,87.49,21.1
2/29/2024 15:45,67.9,16,2.51,8.75,20.4,1.7,-3.7,20.2,0.893,87.53,15,0,455,333,2.28,6.43,20.3,-2.5,2.4,92,7735,87.49,21.1
2/29/2024 16:00,57.3,97,2.38,8.62,20.1,1.8,-3.7,19.9,0.900,87.54,15,0,454,0,2.07,4.45,20.0,-2.6,2.7,92,7735,87.50,20.8
2/29/2024 16:15,54.6,92,2.07,7.40,19.9,1.6,-3.6,19.8,0.900,87.54,15,0,455,3,2.24,5.40,19.9,-2.5,2.6,91,7732,87.50,20.5
2/29/2024 16:30,39.7,100,1.93,6.96,19.7,1.7,-3.6,19.6,0.909,87.56,15,0,455,6,1.84,5.98,19.7,-2.7,2.5,91,7732,87.51,20.3
2/29/2024 16:45,35.9,13,2.79,10.84,19.4,1.2,-3.7,19.3,0.928,87.57,15,0,455,330,2.47,8.47,19.4,-2.7,2.4,91,7729,87.53,20.0
2/29/2024 17:00,30.4,101,2.52,8.75,19.3,1.7,-3.6,19.2,0.925,87.58,15,0,455,10,2.49,9.37,19.3,-2.5,2.6,91,7732,87.54,19.8
