z6-15949,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 7,Port 7,Port 8,Port 8
Records: 3267,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
11/17/2023 10:30,106.9,301,1.12,2.92,20.4,0.9,-3.6,20.2,0.962,87.65,15,0,456,80,7634,87.61,20.3
11/17/2023 10:45,92.7,345,1.26,4.29,20.2,0.8,-3.6,20.1,0.964,87.65,15,0,456,80,7633,87.61,20.3
11/17/2023 11:00,98.5,4,0.93,2.53,20.1,0.9,-3.5,19.9,0.966,87.64,15,0,456,80,7633,87.60,20.3
11/17/2023 11:15,130.4,17,0.86,3.91,20.2,0.9,-3.5,20.0,0.972,87.61,15,0,456,80,7632,87.57,20.4
11/17/2023 11:30,130.4,337,0.68,2.68,20.4,1.0,-3.6,20.2,0.970,87.59,15,0,455,80,7633,87.55,20.5
11/17/2023 11:45,129.6,302,0.57,2.08,20.8,1.0,-3.6,20.4,0.958,87.57,15,0,455,80,7635,87.53,20.8
11/17/2023 12:00,120.3,116,0.63,1.99,20.8,1.1,-3.6,20.6,0.946,87.55,15,0,455,80,7635,87.51,20.9
11/17/2023 12:15,181.8,159,0.74,1.87,21.8,1.1,-3.5,21.3,0.937,87.52,15,0,454,80,7637,87.48,21.1
11/17/2023 12:30,105.7,320,0.78,2.44,21.6,1.2,-3.5,21.5,0.923,87.50,15,0,455,80,7637,87.46,21.4
11/17/2023 12:45,118.7,228,0.52,1.56,21.5,1.1,-3.6,21.1,0.929,87.48,15,0,454,80,7637,87.44,21.4
11/17/2023 13:00,219.0,328,0.73,2.55,21.6,1.1,-3.6,21.2,0.915,87.46,15,0,454,80,7640,87.42,21.4
11/17/2023 13:15,181.1,139,0.45,1.85,22.0,1.2,-3.5,21.5,0.897,87.45,15,0,454,80,7640,87.41,21.4
11/17/2023 13:30,168.8,214,0.65,1.97,22.5,1.2,-3.6,22.1,0.901,87.43,15,0,453,80,7636,87.39,21.5
11/17/2023 13:45,193.7,316,1.06,3.99,22.5,1.2,-3.5,22.4,0.898,87.40,15,0,454,80,7639,87.36,21.7
11/17/2023 14:00,87.2,278,0.59,2.14,22.1,1.2,-3.6,21.8,0.903,87.41,15,0,454,80,7640,87.37,21.7
11/17/2023 14:15,148.3,325,0.63,1.55,22.0,1.1,-3.6,21.6,0.887,87.41,15,0,454,80,7639,87.37,21.6
11/17/2023 14:30,107.5,281,0.43,1.54,22.0,1.1,-3.6,21.8,0.906,87.40,15,0,454,80,7639,87.36,21.6
11/17/2023 14:45,43.0,230,0.48,1.04,21.5,1.1,-3.6,21.4,0.943,87.42,15,0,455,80,7638,87.37,21.5
11/17/2023 15:00,44.1,206,0.53,1.55,21.5,1.1,-3.6,21.1,0.960,87.41,15,0,455,80,7640,87.37,21.4
11/17/2023 15:15,56.8,299,0.65,1.62,21.2,1.2,-3.6,21.1,0.971,87.43,15,0,456,80,7639,87.39,21.3
11/17/2023 15:30,61.2,311,1.02,2.47,21.1,1.1,-3.7,20.9,0.966,87.43,15,0,455,80,7638,87.39,21.3
11/17/2023 15:45,48.9,319,0.97,2.61,20.9,1.1,-3.7,20.8,0.968,87.43,15,0,456,80,7638,87.39,21.2
11/17/2023 16:00,30.0,243,0.50,1.09,20.9,1.1,-3.7,20.8,0.973,87.45,15,0,456,80,7640,87.40,21.1
11/17/2023 16:15,9.9,266,0.41,2.11,20.6,1.1,-3.6,20.6,0.982,87.45,15,0,457,80,7638,87.41,21.0
