z6-15949,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 6,Port 6,Port 6,Port 6,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1327,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
5/30/2024 11:00,84.4,273,0.71,2.04,20.5,1.0,-3.4,20.4,1.000,87.68,15,14,462,9,0.47,1.48,20.4,-2.3,2.5,89,7715,87.65,21.2
5/30/2024 11:15,73.6,163,0.83,2.45,20.2,0.9,-3.3,20.2,1.001,87.68,15,15,491,40,0.69,2.00,20.1,-2.4,2.5,89,7715,87.65,21.0
5/30/2024 11:30,80.0,165,0.77,1.84,20.3,0.9,-3.4,20.2,1.000,87.66,15,15,474,44,0.56,1.64,20.3,-2.3,2.5,89,7713,87.63,20.9
5/30/2024 11:45,47.8,330,0.58,3.01,20.3,0.8,-3.4,20.3,1.000,87.64,15,15,466,26,0.43,1.40,20.2,-2.4,2.5,89,7710,87.61,20.8
5/30/2024 12:00,37.9,335,1.10,3.61,19.8,0.7,-3.4,19.9,1.001,87.63,15,15,508,18,0.35,1.52,20.1,-2.4,2.5,89,7713,87.60,20.7
5/30/2024 12:15,38.6,303,1.02,2.76,19.9,0.7,-3.2,20.0,1.000,87.62,15,15,600,344,0.42,1.16,20.0,-2.4,2.4,89,7711,87.59,20.5
5/30/2024 12:30,48.5,286,1.08,2.44,19.9,0.5,-3.2,19.9,1.000,87.60,15,15,647,7,0.31,0.96,19.9,-2.3,2.5,89,7710,87.57,20.4
5/30/2024 12:45,65.2,242,0.53,1.13,20.1,0.5,-3.2,20.1,1.000,87.57,15,15,548,34,0.39,0.90,20.1,-2.3,2.4,89,7708,87.54,20.4
5/30/2024 13:00,56.6,316,0.95,2.29,20.0,0.5,-3.3,20.1,1.000,87.56,15,15,556,346,0.35,0.90,20.1,-2.3,2.4,88,7707,87.53,20.5
5/30/2024 13:15,50.2,307,0.62,2.31,20.1,0.6,-3.2,20.0,1.000,87.54,15,15,560,4,0.38,1.11,20.1,-2.3,2.4,89,7711,87.51,20.5
5/30/2024 13:30,43.2,322,1.51,2.67,19.9,0.5,-3.3,19.9,1.000,87.53,15,15,551,134,0.27,0.79,20.1,-2.3,2.4,88,7707,87.50,20.4
5/30/2024 13:45,52.2,324,1.15,3.23,19.9,0.5,-3.3,19.9,1.001,87.52,15,15,543,60,0.30,0.99,20.1,-2.3,2.5,88,7707,87.49,20.3
5/30/2024 14:00,74.3,328,1.26,2.64,20.1,0.6,-3.3,20.1,1.000,87.50,15,15,535,230,0.33,1.10,20.3,-2.3,2.4,89,7711,87.48,20.4
5/30/2024 14:15,39.4,337,1.46,3.53,19.9,0.6,-3.3,19.9,1.001,87.50,15,15,535,135,0.33,0.74,20.1,-2.3,2.4,88,7707,87.47,20.4
5/30/2024 14:30,29.7,25,0.69,2.27,19.8,0.6,-3.3,19.9,1.000,87.47,15,15,601,1,0.56,1.69,19.9,-2.3,2.4,89,7708,87.44,20.3
5/30/2024 14:45,56.0,46,0.74,2.25,19.7,0.5,-3.1,19.7,1.001,87.46,15,15,583,359,0.73,1.76,19.8,-2.3,2.4,89,7709,87.44,20.2
5/30/2024 15:00,56.4,26,0.85,2.90,19.8,0.5,-3.2,19.6,0.999,87.47,15,15,547,348,0.75,2.17,19.8,-2.3,2.5,89,7708,87.44,20.2
