z6-15899,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 2495,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
7/11/2024 8:45,51.6,0.000,0,0,14,1.05,3.02,19.6,0.999,87.73,0.6,-0.5,0.0,19.7,15,15,626,0.2,12.0,100,7874,87.66,19.7
7/11/2024 9:00,29.5,0.204,0,0,0,1.06,3.70,19.5,0.976,87.73,0.4,0.4,6.1,19.8,15,15,847,0.4,12.0,100,7849,87.66,19.5
7/11/2024 9:15,60.5,0.187,0,0,40,1.03,3.77,19.0,1.001,87.73,0.6,-0.6,1.0,19.6,15,15,723,0.2,12.0,100,7846,87.66,19.7
7/11/2024 9:30,50.7,0.136,0,0,36,1.27,3.40,19.0,1.000,87.74,0.5,-0.6,1.0,19.4,15,15,808,0.2,12.0,100,7846,87.67,19.4
7/11/2024 9:45,55.9,0.085,0,0,33,1.29,2.97,18.9,1.002,87.75,0.6,-0.5,1.0,19.3,15,15,820,0.2,12.0,100,7847,87.68,19.3
7/11/2024 10:00,53.5,0.187,0,0,73,1.30,3.64,18.9,1.001,87.76,0.6,-0.5,2.0,19.2,15,15,826,0.4,12.0,100,7846,87.69,19.2
7/11/2024 10:15,46.7,0.766,0,0,62,1.13,2.61,19.0,1.001,87.76,0.6,-0.5,8.2,19.2,15,15,817,0.4,12.0,100,7846,87.70,19.2
7/11/2024 10:30,62.9,1.685,0,0,55,0.90,2.66,19.1,1.000,87.77,0.6,-0.6,17.3,19.3,15,15,767,0.4,12.0,100,7849,87.71,19.2
7/11/2024 10:45,71.8,1.396,0,0,47,1.10,3.51,19.0,1.001,87.77,0.5,-0.6,10.2,19.3,15,15,837,0.6,12.0,100,7849,87.70,19.2
7/11/2024 11:00,51.6,0.681,0,0,30,1.41,3.91,19.1,1.001,87.77,0.7,-0.5,6.1,19.3,15,15,673,0.2,12.0,100,7849,87.70,19.2
7/11/2024 11:15,69.5,1.549,0,0,12,1.57,3.77,19.1,1.000,87.77,0.6,-0.5,12.2,19.3,15,15,891,0.8,12.0,100,7848,87.70,19.2
7/11/2024 11:30,87.5,0.562,0,0,55,1.52,4.25,19.0,1.002,87.76,0.6,-0.5,4.1,19.3,15,15,691,0.4,12.0,100,7849,87.70,19.2
7/11/2024 11:45,122.2,0.306,0,0,30,1.50,4.73,19.0,1.000,87.75,0.6,-0.5,3.1,19.4,15,15,698,0.4,12.0,100,7848,87.68,19.3
