z6-15899,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1538,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
6/25/2024 8:00,216.9,0.000,0,0,355,1.62,4.90,19.9,0.998,87.78,0.5,-0.5,0.0,20.7,15,15,482,0.0,0.0,100,8032,87.70,21.6
6/25/2024 8:15,314.8,0.000,0,0,68,1.32,4.49,20.4,1.005,87.77,0.6,-0.4,0.0,21.3,15,7,456,0.0,0.0,100,8029,87.70,22.2
6/25/2024 8:30,386.9,0.000,0,0,148,1.51,5.07,20.7,0.998,87.76,0.5,-0.4,0.0,22.2,15,0,454,0.0,0.0,100,8033,87.69,23.3
6/25/2024 8:45,361.5,0.000,0,0,203,1.70,5.01,21.2,0.996,87.77,0.5,-0.4,0.0,22.9,15,0,455,0.0,0.0,100,8035,87.70,24.2
6/25/2024 9:00,300.1,0.000,0,0,68,1.42,3.22,21.1,1.000,87.79,0.5,-0.4,0.0,23.0,15,0,454,0.0,0.0,100,8044,87.71,24.2
6/25/2024 9:15,475.7,0.000,0,0,39,1.15,2.90,21.5,0.999,87.79,0.5,-0.4,0.0,23.4,15,0,452,0.0,0.0,100,8050,87.72,24.6
6/25/2024 9:30,747.7,0.000,0,0,290,1.48,3.46,22.1,1.000,87.78,0.5,-0.4,0.0,24.4,15,0,451,0.0,0.0,100,8058,87.71,26.3
6/25/2024 9:45,716.1,0.000,0,0,27,1.61,4.84,22.4,1.003,87.79,0.5,-0.4,0.0,25.2,15,0,451,0.0,0.0,100,8061,87.72,27.5
6/25/2024 10:00,712.3,0.000,0,0,63,1.25,4.56,22.8,1.001,87.80,0.5,-0.3,0.0,25.7,13,0,450,0.0,0.0,100,8067,87.73,28.1
6/25/2024 10:15,656.1,0.000,0,0,57,1.34,3.42,22.6,0.993,87.80,0.5,-0.3,0.0,25.7,14,0,450,0.0,0.0,100,8073,87.73,28.2
6/25/2024 10:30,474.6,0.000,0,0,23,1.67,3.93,22.6,0.996,87.80,0.5,-0.4,0.0,25.6,15,0,452,0.0,0.0,100,8077,87.72,27.8
6/25/2024 10:45,425.6,0.000,0,0,18,1.58,3.59,22.7,0.989,87.80,0.5,-0.4,0.0,25.4,15,0,452,0.0,0.0,100,8076,87.73,27.1
6/25/2024 11:00,364.5,0.000,0,0,53,1.44,3.57,22.5,0.989,87.81,0.5,-0.3,0.0,25.3,15,0,451,0.0,0.0,100,8081,87.73,26.7
