z6-15899,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1930,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
8/23/2024 8:45,287.5,0.000,0,0,119,1.07,2.29,19.5,0.996,87.82,0.6,-0.5,0.0,20.7,15,0,451,0.0,0.0,100,8005,87.75,21.1
8/23/2024 9:00,329.2,0.000,0,0,53,1.40,3.41,19.6,1.000,87.83,0.8,-0.4,0.0,21.4,15,0,451,0.0,0.0,100,8006,87.76,21.9
8/23/2024 9:15,312.0,0.000,0,0,63,0.82,2.80,19.8,1.000,87.83,0.7,-0.5,0.0,21.8,15,0,451,0.0,0.0,100,7999,87.76,22.4
8/23/2024 9:30,247.6,0.000,0,0,116,0.91,2.02,20.2,1.000,87.84,0.8,-0.4,0.0,22.1,15,0,451,0.0,0.0,100,8005,87.77,22.8
8/23/2024 9:45,269.9,0.000,0,0,87,0.99,3.43,20.2,0.994,87.85,0.7,-0.4,0.0,22.1,15,0,451,0.0,0.0,100,8011,87.78,22.7
8/23/2024 10:00,287.5,0.000,0,0,178,1.31,3.31,20.2,0.999,87.85,0.8,-0.4,0.0,22.1,15,0,451,0.0,0.0,100,8014,87.78,22.8
8/23/2024 10:15,217.7,0.000,0,0,195,1.55,4.04,20.2,0.995,87.84,0.7,-0.4,0.0,21.8,15,0,452,0.0,0.0,100,8017,87.77,22.7
8/23/2024 10:30,211.4,0.000,0,0,156,1.30,4.07,20.1,0.953,87.85,0.7,-0.4,0.0,21.5,15,0,451,0.0,0.0,100,7988,87.78,22.6
8/23/2024 10:45,213.3,0.000,0,0,121,1.00,3.08,20.0,0.979,87.85,0.7,-0.4,0.0,21.4,15,0,451,0.0,0.0,100,7995,87.77,22.3
8/23/2024 11:00,197.1,0.000,0,0,197,1.02,3.12,20.1,0.979,87.85,0.7,-0.4,0.0,21.4,15,0,451,0.0,0.0,100,7998,87.77,22.1
8/23/2024 11:15,257.8,0.000,0,0,182,1.24,3.33,20.1,0.986,87.83,0.7,-0.5,0.0,21.4,15,0,451,0.0,0.0,100,8004,87.76,22.1
8/23/2024 11:30,373.7,0.000,0,0,193,1.25,3.12,20.2,0.995,87.80,0.7,-0.4,0.0,21.9,15,0,450,0.0,0.0,100,8014,87.73,22.7
8/23/2024 11:45,384.3,0.000,0,0,183,1.16,2.45,20.4,0.989,87.79,0.7,-0.4,0.0,22.3,13,0,450,0.0,0.0,100,8019,87.72,23.2
8/23/2024 12:00,443.0,0.000,0,0,115,1.14,3.16,20.9,0.971,87.78,0.8,-0.4,0.0,23.0,1,0,449,0.0,0.0,100,8029,87.70,23.9
8/23/2024 12:15,373.3,0.000,0,0,35,1.01,2.23,20.9,0.969,87.76,0.7,-0.4,0.0,23.3,2,0,450,0.0,0.0,100,8037,87.68,24.0
8/23/2024 12:30,425.9,0.000,0,0,127,0.96,2.54,21.1,0.960,87.73,0.7,-0.4,0.0,23.5,0,0,449,0.0,0.0,100,8042,87.66,24.3
8/23/2024 12:45,443.6,0.000,0,0,80,1.20,2.57,21.2,0.982,87.71,0.8,-0.3,0.0,23.8,0,0,449,0.0,0.0,100,8053,87.64,24.8
8/23/2024 13:00,655.1,0.000,0,0,62,1.17,2.98,21.8,0.976,87.68,0.8,-0.4,0.0,24.2,0,0,448,0.0,0.0,100,8066,87.61,25.0
8/23/2024 13:15,556.5,0.000,0,0,138,1.10,3.14,22.2,0.958,87.68,0.8,-0.3,0.0,24.8,0,0,448,0.0,0.0,100,8077,87.61,25.8
8/23/2024 13:30,388.6,0.000,0,0,62,1.20,3.31,21.5,0.975,87.66,0.7,-0.3,0.0,24.6,0,0,449,0.0,0.0,100,8080,87.59,25.6
