z6-15899,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 4045,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
10/3/2024 9:30,438.9,0.017,0,0,64,1.48,3.24,21.1,1.000,87.80,0.8,-0.6,1.0,22.7,15,0,451,0.0,0.0,100,8197,87.75,25.2
10/3/2024 9:45,498.7,0.017,0,0,52,1.19,2.47,21.0,0.999,87.81,0.8,-0.4,1.0,22.9,15,0,451,0.0,0.0,100,8207,87.76,25.2
10/3/2024 10:00,696.0,0.017,0,0,53,1.16,2.52,21.1,0.997,87.80,0.7,-0.3,1.0,23.2,15,0,450,0.0,0.0,100,8225,87.76,25.4
10/3/2024 10:15,646.4,0.017,0,0,63,1.04,2.73,21.2,1.009,87.80,0.8,-0.4,1.0,23.6,15,0,450,0.0,0.0,100,8237,87.75,26.0
10/3/2024 10:30,603.1,0.034,0,0,80,1.06,2.15,21.4,0.992,87.78,0.8,-0.3,1.0,23.7,15,0,451,0.0,0.0,100,8251,87.72,26.3
10/3/2024 10:45,464.5,0.017,0,0,72,1.60,2.86,21.9,0.999,87.77,0.8,-0.3,1.0,23.9,15,0,451,0.0,0.0,100,8252,87.71,26.2
10/3/2024 11:00,625.1,0.017,0,0,66,2.04,4.22,22.0,1.001,87.75,0.8,-0.3,1.0,24.0,15,0,450,0.0,0.0,100,8263,87.70,25.9
10/3/2024 11:15,404.5,0.017,0,0,69,1.06,2.52,21.9,0.991,87.74,0.8,-0.3,1.0,24.2,14,0,450,0.0,0.0,100,8263,87.69,26.2
10/3/2024 11:30,576.3,0.017,0,0,69,1.99,4.07,22.8,0.984,87.72,0.8,-0.3,1.0,24.6,13,0,451,0.0,0.0,100,8268,87.66,26.4
10/3/2024 11:45,327.6,0.034,0,0,46,1.63,2.67,22.4,0.992,87.70,0.8,-0.3,1.0,24.5,15,0,451,0.0,0.0,100,8263,87.64,26.0
10/3/2024 12:00,119.1,0.017,0,0,35,1.25,2.68,22.1,0.987,87.69,0.8,-0.3,1.0,23.8,15,3,710,0.0,0.0,100,8257,87.63,25.1
10/3/2024 12:15,177.9,0.017,0,0,6,0.80,2.62,20.5,1.002,87.68,0.7,-0.4,1.0,22.6,15,15,526,0.2,12.0,100,8252,87.61,23.3
10/3/2024 12:30,629.8,0.017,0,0,63,1.26,2.66,20.7,0.995,87.65,0.8,-0.4,1.0,22.1,15,12,452,0.0,0.0,100,8267,87.60,22.8
10/3/2024 12:45,635.1,0.034,0,0,41,1.16,2.51,21.3,1.002,87.63,0.8,-0.4,1.0,22.8,14,1,452,0.0,0.0,100,8273,87.57,23.9
10/3/2024 13:00,169.5,0.017,0,0,52,1.49,2.59,21.2,1.003,87.62,0.8,-0.4,1.0,22.7,15,0,455,0.0,0.0,100,8263,87.56,24.2
10/3/2024 13:15,170.8,0.034,0,0,50,1.06,2.21,20.9,0.998,87.60,0.7,-0.4,1.0,22.0,15,0,453,0.0,0.0,100,8260,87.54,23.5
10/3/2024 13:30,184.4,0.017,0,0,39,0.90,1.81,20.9,0.998,87.59,0.8,-0.4,1.0,21.8,15,0,453,0.0,0.0,100,8258,87.53,23.2
10/3/2024 13:45,122.6,0.017,0,0,48,0.99,2.25,20.9,0.999,87.56,0.8,-0.4,1.0,21.7,15,14,512,0.0,0.0,100,8253,87.50,22.8
10/3/2024 14:00,43.0,0.034,0,0,45,0.98,1.87,20.8,1.004,87.54,0.8,-0.4,1.0,21.3,15,15,495,0.0,0.0,100,8242,87.48,22.2
10/3/2024 14:15,29.9,0.017,0,0,33,1.09,1.71,20.7,0.999,87.53,0.8,-0.4,1.0,21.0,15,15,514,0.0,0.0,100,8243,87.47,21.7
10/3/2024 14:30,5.4,0.017,0,0,55,0.85,1.79,20.5,1.000,87.54,0.6,-0.4,1.0,20.7,15,15,814,0.0,0.0,100,8236,87.48,21.3
10/3/2024 14:45,16.1,0.017,3,18,90,0.53,1.82,20.1,1.001,87.53,0.8,-0.4,1.0,20.4,15,15,538,0.0,0.0,100,8231,87.47,20.7
10/3/2024 15:00,21.9,0.017,7,12,12,0.42,1.42,19.9,1.001,87.54,0.8,-0.5,1.0,20.1,15,15,613,0.0,0.0,100,8225,87.48,20.4
10/3/2024 15:15,58.6,0.051,6,6,149,0.82,1.80,19.8,0.998,87.55,0.8,-0.4,1.0,19.9,15,15,771,0.2,12.0,100,8225,87.49,20.1
10/3/2024 15:30,36.6,0.017,1,6,25,1.02,2.34,19.7,1.001,87.52,0.7,-0.5,1.0,19.7,15,15,604,0.2,12.0,100,8222,87.47,19.9
10/3/2024 15:45,33.6,0.017,1,37,19,1.00,1.30,19.7,1.000,87.52,0.7,-0.5,1.0,19.7,15,15,554,0.2,12.0,100,8218,87.47,19.8
10/3/2024 16:00,27.3,0.034,1,24,47,0.68,1.39,19.6,1.000,87.54,0.7,-0.4,1.0,19.7,15,15,526,0.0,0.0,100,8215,87.49,19.7
10/3/2024 16:15,22.4,0.017,2,17,322,0.77,1.38,19.7,1.000,87.55,0.7,-0.5,1.0,19.7,15,15,555,0.0,0.0,100,8210,87.49,19.6
10/3/2024 16:30,18.9,0.017,0,0,206,0.30,0.68,19.7,1.000,87.55,0.8,-0.5,1.0,19.7,15,15,537,0.0,0.0,100,8208,87.50,19.6
10/3/2024 16:45,13.5,0.017,0,0,257,0.73,1.22,19.7,0.999,87.55,0.8,-0.5,1.0,19.6,15,15,513,0.0,0.0,100,8203,87.50,19.5
10/3/2024 17:00,9.1,0.034,0,0,268,1.03,1.29,19.4,0.998,87.58,0.7,-0.4,1.0,19.4,15,15,489,0.0,0.0,100,8202,87.53,19.3
10/3/2024 17:15,5.5,0.017,0,0,237,0.74,1.27,19.6,0.994,87.60,0.8,-0.5,1.0,19.3,15,15,463,0.0,0.0,100,8197,87.54,19.2
10/3/2024 17:30,1.1,0.017,0,0,354,0.37,0.83,19.5,0.998,87.61,0.8,-0.5,1.0,19.2,15,15,465,0.0,0.0,100,8197,87.56,19.2
10/3/2024 17:45,0.0,0.034,0,0,168,0.60,1.24,19.5,0.999,87.60,0.7,-0.5,1.0,19.2,15,15,463,0.0,0.0,100,8194,87.55,19.2
10/3/2024 18:00,0.0,0.017,0,0,264,0.77,1.65,19.5,0.995,87.63,0.8,-0.5,1.0,19.2,15,8,460,0.0,0.0,100,8191,87.58,19.1
10/3/2024 18:15,0.0,0.017,0,0,315,0.77,2.12,19.5,0.993,87.66,0.8,-0.4,1.0,19.1,15,2,459,0.0,0.0,100,8190,87.61,19.1
10/3/2024 18:30,0.0,0.034,0,0,13,0.59,1.39,19.3,1.001,87.68,0.7,-0.5,1.0,19.1,15,9,462,0.0,0.0,100,8187,87.62,19.1
10/3/2024 18:45,0.0,0.017,0,0,239,0.38,0.72,19.3,1.000,87.69,0.7,-0.5,1.0,19.1,15,15,464,0.0,0.0,100,8184,87.64,19.1
10/3/2024 19:00,0.0,0.017,0,0,101,0.32,0.83,19.4,0.998,87.70,0.8,-0.5,1.0,19.1,15,15,461,0.0,0.0,100,8182,87.65,19.1
10/3/2024 19:15,0.0,0.017,0,0,225,0.89,1.66,19.5,0.997,87.70,0.8,-0.4,1.0,19.2,15,4,458,0.0,0.0,100,8182,87.64,19.1
