z6-15899,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1346,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
1/4/2024 9:00,572.9,0.000,0,0,137,1.54,4.31,19.9,0.998,87.92,0.4,-0.4,0.0,24.1,15,0,454,0.0,0.0,100,8312,87.85,26.1
1/4/2024 9:15,486.5,0.000,0,0,191,1.78,4.22,19.8,1.010,87.93,0.5,-0.4,0.0,24.1,15,0,454,0.0,0.0,100,8316,87.86,26.5
1/4/2024 9:30,571.7,0.000,0,0,172,1.84,5.75,20.0,0.998,87.93,0.3,-0.3,0.0,23.8,15,0,454,0.0,0.0,100,8333,87.86,26.0
1/4/2024 9:45,531.9,0.000,0,0,119,1.52,4.16,20.2,0.999,87.94,0.5,-0.4,0.0,24.5,15,0,454,0.0,0.0,100,8333,87.86,26.4
1/4/2024 10:00,618.1,0.000,0,0,46,1.90,5.39,19.8,1.001,87.94,0.5,-0.4,0.0,24.3,15,0,453,0.0,0.0,100,8351,87.86,25.8
1/4/2024 10:15,746.3,0.000,0,0,60,2.33,5.09,19.9,1.001,87.93,0.5,-0.4,0.0,24.8,15,0,453,0.0,0.0,100,8367,87.85,25.8
1/4/2024 10:30,635.5,0.000,0,0,101,2.08,6.82,19.8,1.002,87.92,0.5,-0.3,0.0,24.5,15,0,453,0.0,0.0,100,8377,87.84,25.8
1/4/2024 10:45,621.7,0.000,0,0,43,2.19,6.27,19.8,1.008,87.91,0.4,-0.4,0.0,24.1,15,0,453,0.0,0.0,100,8380,87.82,25.6
