z6-15899,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1811,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
2/29/2024 14:30,519.3,0.000,0,0,33,2.93,7.67,21.2,0.930,87.66,0.5,-0.4,0.0,23.7,7,0,448,0.0,0.0,100,8430,87.56,24.3
2/29/2024 14:45,354.1,0.000,0,0,53,2.97,9.49,20.7,0.951,87.65,0.4,-0.2,0.0,23.4,11,0,450,0.0,0.0,100,8416,87.54,24.0
2/29/2024 15:00,323.8,0.000,0,0,43,3.48,16.31,20.3,0.952,87.64,-0.1,0.2,0.0,22.6,15,0,451,0.0,0.0,100,8406,87.53,23.2
2/29/2024 15:15,293.9,0.000,0,0,48,3.06,8.11,20.4,0.930,87.63,0.4,-0.6,0.0,22.3,15,0,452,0.0,0.0,100,8399,87.52,22.8
2/29/2024 15:30,117.7,0.000,0,0,35,2.70,6.38,20.5,0.917,87.62,0.6,-0.6,0.0,21.8,15,0,453,0.0,0.0,100,8385,87.51,22.3
2/29/2024 15:45,109.7,0.000,0,0,28,3.00,8.45,20.2,0.927,87.63,0.2,-0.4,0.0,21.3,15,0,454,0.0,0.0,100,8375,87.51,21.8
2/29/2024 16:00,99.7,0.000,0,0,89,2.91,9.20,20.0,0.926,87.64,0.3,-0.6,0.0,20.9,15,0,454,0.0,0.0,100,8371,87.52,21.4
2/29/2024 16:15,103.1,0.000,0,0,93,2.31,7.76,19.9,0.923,87.64,0.4,-0.5,0.0,20.6,15,0,454,0.0,0.0,100,8362,87.53,21.1
2/29/2024 16:30,71.8,0.000,0,0,94,2.47,6.97,19.7,0.931,87.65,0.3,-0.6,0.0,20.4,15,0,454,0.0,0.0,100,8357,87.54,20.7
2/29/2024 16:45,69.7,0.000,0,0,27,3.08,9.46,19.4,0.949,87.67,0.4,-0.5,0.0,20.1,15,0,456,0.0,0.0,100,8349,87.56,20.4
2/29/2024 17:00,51.1,0.000,0,0,112,2.81,6.53,19.4,0.944,87.67,0.3,-0.8,0.0,19.8,15,0,455,0.0,0.0,100,8342,87.57,20.0
2/29/2024 17:15,44.1,0.000,0,0,43,2.55,9.07,19.2,0.959,87.68,0.7,-0.2,0.0,19.6,15,0,458,0.0,0.0,100,8337,87.57,19.8
2/29/2024 17:30,30.9,0.000,0,0,125,2.23,5.51,19.0,0.971,87.70,0.4,-0.6,0.0,19.3,15,0,458,0.0,0.0,100,8334,87.59,19.5
2/29/2024 17:45,10.6,0.000,0,0,182,2.19,5.60,18.8,0.988,87.71,0.3,-0.5,0.0,19.0,15,2,460,0.0,0.0,100,8327,87.60,19.2
