z6-15899,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1545,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
10/3/2023 9:45,827.0,0.000,0,0,83,1.61,4.06,24.4,0.955,87.68,0.4,-0.3,0.0,29.8,0,0,449,0.0,0.0,100,8359,87.57,31.5
10/3/2023 10:00,619.1,0.000,0,0,76,1.76,2.96,23.9,0.986,87.69,0.4,-0.3,0.0,28.9,0,0,449,0.0,0.0,100,8352,87.57,31.1
10/3/2023 10:15,680.8,0.000,0,0,83,1.74,2.73,23.4,0.989,87.68,0.3,-0.4,0.0,28.1,1,0,449,0.0,0.0,100,8353,87.57,30.3
10/3/2023 10:30,224.5,0.000,0,0,90,1.13,1.80,22.9,0.980,87.69,0.3,-0.3,0.0,27.0,9,0,451,0.0,0.0,100,8338,87.56,29.4
10/3/2023 10:45,62.4,0.000,0,0,60,0.99,2.59,22.6,0.966,87.69,0.3,-0.4,0.0,25.0,15,0,456,0.0,0.0,100,8318,87.55,27.4
10/3/2023 11:00,81.1,0.000,0,0,66,0.70,1.67,22.0,0.972,87.69,0.3,-0.4,0.0,23.8,15,14,458,0.0,0.0,100,8308,87.54,25.6
10/3/2023 11:15,169.9,0.000,0,0,68,0.60,1.43,21.9,0.971,87.67,0.3,-0.4,0.0,23.3,15,10,452,0.0,0.0,100,8304,87.53,24.8
10/3/2023 11:30,350.5,0.000,0,0,68,1.10,2.07,22.1,0.992,87.65,0.3,-0.5,0.0,23.8,15,0,450,0.0,0.0,100,8307,87.51,25.0
10/3/2023 11:45,463.7,0.000,0,0,87,1.08,2.19,22.5,0.993,87.62,0.3,-0.4,0.0,24.8,9,0,450,0.0,0.0,100,8310,87.49,25.6
10/3/2023 12:00,339.5,0.000,0,0,59,0.69,1.50,22.7,0.977,87.60,0.3,-0.4,0.0,25.3,8,0,450,0.0,0.0,100,8309,87.47,26.1
10/3/2023 12:15,361.9,0.000,0,0,60,1.55,2.96,23.0,0.988,87.58,0.3,-0.5,0.0,25.8,7,0,451,0.0,0.0,100,8308,87.45,26.5
10/3/2023 12:30,99.9,0.000,0,0,77,0.85,1.82,23.0,0.959,87.58,0.3,-0.4,0.0,25.0,15,6,456,0.0,0.0,100,8298,87.44,25.8
10/3/2023 12:45,283.0,0.000,0,0,51,1.10,2.38,22.5,0.969,87.54,0.3,-0.4,0.0,24.5,15,0,450,0.0,0.0,100,8299,87.42,25.0
10/3/2023 13:00,572.2,0.000,0,0,71,1.52,3.38,22.8,0.980,87.50,0.3,-0.5,0.0,25.2,7,0,448,0.0,0.0,100,8307,87.38,25.4
10/3/2023 13:15,737.3,0.000,0,0,59,1.55,3.35,23.6,0.948,87.47,0.4,-0.4,0.0,26.4,0,0,447,0.0,0.0,100,8311,87.35,26.5
10/3/2023 13:30,835.4,0.000,0,0,102,1.51,3.98,23.9,0.952,87.45,0.3,-0.3,0.0,27.2,0,0,446,0.0,0.0,100,8313,87.33,27.5
10/3/2023 13:45,258.0,0.000,0,0,61,1.51,4.81,23.2,0.966,87.45,0.3,-0.3,0.0,27.0,3,3,559,0.0,0.0,100,8304,87.33,27.6
10/3/2023 14:00,124.6,0.460,1,17,198,1.85,3.67,22.1,0.977,87.44,0.3,-0.4,6.1,24.8,15,15,886,0.0,0.0,100,8298,87.31,25.5
10/3/2023 14:15,118.3,0.136,0,0,228,1.96,5.39,21.4,0.979,87.43,0.3,-0.5,1.0,22.5,15,15,789,0.0,0.0,100,8291,87.29,23.6
10/3/2023 14:30,177.6,0.579,1,31,261,1.62,5.70,21.2,0.987,87.41,0.3,-0.5,5.1,21.7,15,15,848,0.0,0.0,100,8286,87.28,22.6
10/3/2023 14:45,164.3,0.034,1,27,93,0.93,3.82,21.2,1.000,87.42,0.4,-0.5,1.0,21.6,15,15,691,0.0,0.0,100,8281,87.29,22.5
10/3/2023 15:00,104.5,1.174,0,0,233,1.76,5.03,20.7,1.003,87.42,0.3,-0.6,11.2,21.3,15,15,932,0.2,12.0,100,8275,87.28,21.9
10/3/2023 15:15,99.5,0.238,0,0,207,2.59,6.26,20.5,0.990,87.40,0.3,-0.6,3.1,20.6,15,15,648,0.2,12.0,100,8273,87.27,21.2
10/3/2023 15:30,104.4,0.000,0,0,209,2.51,5.59,20.6,0.978,87.39,0.3,-0.4,0.0,20.4,15,15,521,0.0,0.0,100,8268,87.26,20.9
10/3/2023 15:45,144.3,0.000,0,0,230,2.42,5.20,20.7,0.979,87.39,0.4,-0.6,0.0,20.5,15,15,466,0.0,0.0,100,8267,87.26,20.9
10/3/2023 16:00,182.6,0.000,0,0,230,2.83,6.91,20.8,0.976,87.39,0.2,-0.7,0.0,20.8,15,13,456,0.0,0.0,100,8265,87.27,21.1
10/3/2023 16:15,126.1,0.000,2,33,234,2.63,4.60,20.9,0.970,87.40,0.3,-0.5,0.0,21.0,15,0,454,0.0,0.0,100,8263,87.27,21.2
10/3/2023 16:30,63.8,0.000,0,0,222,1.88,4.33,21.0,0.966,87.41,0.4,-0.6,0.0,21.0,15,0,454,0.0,0.0,100,8260,87.29,21.2
10/3/2023 16:45,45.5,0.000,0,0,214,1.22,2.03,20.9,0.970,87.47,0.4,-0.5,0.0,20.9,15,0,455,0.0,0.0,100,8257,87.35,21.1
10/3/2023 17:00,30.1,0.000,0,0,7,0.99,2.29,21.0,0.961,87.47,0.3,-0.5,0.0,20.8,15,0,455,0.0,0.0,100,8255,87.35,21.0
10/3/2023 17:15,5.4,0.000,0,0,213,1.30,4.77,20.8,0.964,87.51,0.4,-0.6,0.0,20.7,15,0,454,0.0,0.0,100,8250,87.39,20.9
10/3/2023 17:30,0.5,0.306,0,0,194,1.81,3.68,20.4,0.977,87.51,0.3,-0.7,4.1,20.3,15,15,834,0.0,0.0,100,8248,87.38,20.7
10/3/2023 17:45,0.0,0.374,0,0,164,1.51,3.84,20.1,0.992,87.53,0.3,-0.6,3.1,19.7,15,15,935,0.0,0.0,100,8242,87.40,20.2
10/3/2023 18:00,0.0,0.051,0,0,219,1.64,3.87,20.0,0.986,87.54,0.3,-0.6,1.0,19.5,15,15,774,0.0,0.0,100,8239,87.42,19.9
10/3/2023 18:15,0.0,0.051,0,0,217,2.03,4.10,20.0,0.982,87.57,0.3,-0.6,1.0,19.5,15,15,775,0.0,0.0,100,8235,87.44,19.8
10/3/2023 18:30,0.0,0.783,0,0,139,0.94,2.90,19.6,1.000,87.59,0.2,-0.6,5.1,19.4,15,15,851,0.0,0.0,100,8235,87.46,19.7
10/3/2023 18:45,0.0,2.072,1,12,175,0.54,1.45,19.4,1.000,87.62,0.3,-0.6,26.5,19.4,15,15,1014,0.0,0.0,100,8231,87.49,19.5
10/3/2023 19:00,0.0,5.102,3,12,203,1.56,5.00,19.2,1.000,87.64,0.3,-0.6,31.6,19.2,15,15,1029,1.2,24.0,100,8227,87.52,19.3
10/3/2023 19:15,0.0,3.145,1,12,210,2.08,5.00,18.8,1.000,87.67,0.3,-0.6,26.5,18.9,15,15,998,2.0,12.0,100,8228,87.55,19.1
10/3/2023 19:30,0.0,1.379,0,0,230,1.78,4.03,18.5,1.001,87.68,0.4,-0.6,7.1,18.7,15,15,1000,0.6,12.0,100,8225,87.55,18.9
10/3/2023 19:45,0.0,1.498,0,0,235,2.70,5.58,18.2,1.000,87.69,0.4,-0.6,9.2,18.3,15,15,999,1.0,12.0,100,8221,87.56,18.6
10/3/2023 20:00,0.0,0.970,0,0,222,2.47,4.61,18.1,1.000,87.71,0.3,-0.6,5.1,18.1,15,15,946,0.6,12.0,100,8219,87.59,18.6
10/3/2023 20:15,0.0,0.715,0,0,194,1.51,4.86,18.2,1.000,87.72,0.3,-0.6,5.1,18.1,15,15,949,0.4,12.0,100,8218,87.60,18.5
10/3/2023 20:30,0.0,0.272,0,0,253,0.77,2.24,18.3,0.999,87.73,0.3,-0.7,2.0,18.2,15,15,941,0.0,0.0,100,8215,87.60,18.4
10/3/2023 20:45,0.0,0.221,0,0,284,1.04,3.02,18.4,0.996,87.72,0.3,-0.6,2.0,18.2,15,15,946,0.0,0.0,100,8213,87.60,18.4
10/3/2023 21:00,0.0,0.238,0,0,299,0.85,1.65,18.7,0.989,87.75,0.3,-0.6,2.0,18.3,15,15,949,0.0,0.0,100,8210,87.63,18.4
10/3/2023 21:15,0.0,0.255,0,0,224,1.35,3.52,18.8,0.975,87.77,0.3,-0.7,1.0,18.2,15,15,963,0.0,0.0,100,8208,87.65,18.3
10/3/2023 21:30,0.0,0.272,0,0,193,1.92,3.70,19.3,0.947,87.76,0.2,-0.6,2.0,18.2,15,15,907,0.0,0.0,100,8205,87.64,18.3
10/3/2023 21:45,0.0,0.085,0,0,180,1.91,4.25,19.6,0.932,87.75,0.3,-0.5,1.0,18.2,15,15,766,0.0,0.0,100,8204,87.63,18.4
10/3/2023 22:00,0.0,0.000,0,0,185,2.08,3.82,19.7,0.935,87.75,0.4,-0.6,0.0,18.4,15,15,631,0.0,0.0,100,8206,87.63,18.5
10/3/2023 22:15,0.0,0.000,0,0,200,1.61,3.35,19.6,0.950,87.75,0.3,-0.6,0.0,18.5,15,15,574,0.0,0.0,100,8200,87.63,18.6
10/3/2023 22:30,0.0,0.000,0,0,227,1.73,2.82,19.0,0.981,87.74,0.4,-0.6,0.0,18.5,15,15,531,0.0,0.0,100,8202,87.62,18.6
10/3/2023 22:45,0.0,0.000,0,0,227,0.97,2.02,18.7,0.992,87.73,0.3,-0.7,0.0,18.3,15,15,524,0.0,0.0,100,8200,87.61,18.4
10/3/2023 23:00,0.0,0.000,0,0,263,1.20,1.82,18.6,0.988,87.74,0.4,-0.7,0.0,18.2,15,15,510,0.0,0.0,100,8196,87.61,18.3
10/3/2023 23:15,0.0,0.000,0,0,267,1.34,1.84,18.6,0.982,87.72,0.3,-0.6,0.0,18.1,15,15,509,0.0,0.0,100,8193,87.60,18.2
10/3/2023 23:30,0.0,0.000,0,0,242,1.40,2.19,18.4,0.989,87.69,0.3,-0.6,0.0,18.0,15,15,513,0.0,0.0,100,8194,87.57,18.1
10/3/2023 23:45,0.0,0.000,0,0,228,1.13,2.85,18.7,0.977,87.67,0.3,-0.6,0.0,18.1,15,15,506,0.0,0.0,100,8193,87.55,18.1
10/4/2023 0:00,0.0,0.000,0,0,241,1.26,2.72,19.2,0.955,87.64,0.3,-0.7,0.0,18.2,15,15,484,0.0,0.0,100,8194,87.52,18.2
10/4/2023 0:15,0.0,0.000,0,0,211,1.21,2.92,19.8,0.939,87.61,0.3,-0.6,0.0,18.5,15,15,477,0.0,0.0,100,8162,87.49,18.7
10/4/2023 0:30,0.0,0.000,0,0,208,1.00,3.34,19.4,0.946,87.60,0.3,-0.6,0.0,18.7,15,14,460,0.0,0.0,100,8170,87.48,18.8
10/4/2023 0:45,0.0,0.000,0,0,194,1.46,3.34,19.6,0.960,87.59,0.3,-0.6,0.0,18.7,15,0,456,0.0,0.0,100,8169,87.47,18.7
10/4/2023 1:00,0.0,0.000,0,0,203,1.76,4.45,19.3,0.984,87.59,0.4,-0.6,0.0,18.8,15,0,457,0.0,0.0,100,8168,87.47,18.8
10/4/2023 1:15,0.0,0.000,0,0,211,1.77,4.65,18.9,0.999,87.58,0.3,-0.6,0.0,18.7,15,0,459,0.0,0.0,100,8167,87.46,18.7
10/4/2023 1:30,0.0,0.000,0,0,244,1.51,4.71,18.9,0.991,87.57,0.3,-0.6,0.0,18.5,15,0,459,0.0,0.0,100,8165,87.45,18.6
10/4/2023 1:45,0.0,0.000,0,0,229,1.13,3.41,18.8,0.993,87.56,0.3,-0.6,0.0,18.5,15,1,460,0.0,0.0,100,8164,87.44,18.5
10/4/2023 2:00,0.0,0.000,0,0,208,1.56,4.10,18.8,0.989,87.55,0.4,-0.6,0.0,18.4,15,0,459,0.0,0.0,100,8161,87.42,18.4
10/4/2023 2:15,0.0,0.000,0,0,186,1.28,3.56,18.9,0.986,87.52,0.4,-0.6,0.0,18.4,15,0,459,0.0,0.0,100,8162,87.40,18.4
10/4/2023 2:30,0.0,0.000,0,0,226,1.53,5.41,18.8,0.991,87.53,0.3,-0.6,0.0,18.4,15,0,459,0.0,0.0,100,8159,87.41,18.4
10/4/2023 2:45,0.0,0.000,0,0,196,1.77,4.39,18.8,0.987,87.53,0.3,-0.7,0.0,18.4,15,0,457,0.0,0.0,100,8159,87.41,18.4
10/4/2023 3:00,0.0,0.000,0,0,190,1.15,2.83,18.9,0.983,87.53,0.3,-0.6,0.0,18.4,15,0,457,0.0,0.0,100,8158,87.41,18.4
10/4/2023 3:15,0.0,0.000,0,0,226,0.98,1.38,18.4,0.998,87.53,0.3,-0.6,0.0,18.3,15,0,458,0.0,0.0,100,8155,87.41,18.3
