z6-15899,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1533,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
12/5/2023 10:45,713.7,0.000,0,0,129,2.92,8.67,21.7,0.898,87.75,0.4,-0.6,0.0,24.9,15,0,452,0.0,0.0,100,8441,87.63,25.8
12/5/2023 11:00,635.5,0.000,0,0,170,2.80,10.07,21.8,0.898,87.71,0.5,-0.5,0.0,25.1,15,0,452,0.0,0.0,100,8444,87.60,26.0
12/5/2023 11:15,827.7,0.000,0,0,185,2.90,6.96,22.0,0.879,87.69,0.8,-0.3,0.0,25.4,15,0,451,0.0,0.0,100,8451,87.58,26.2
12/5/2023 11:30,804.0,0.000,0,0,153,3.09,7.98,22.0,0.885,87.66,0.6,-0.3,0.0,25.7,15,0,451,0.0,0.0,100,8456,87.55,26.6
12/5/2023 11:45,738.9,0.000,0,0,173,3.25,7.50,22.4,0.879,87.63,0.5,-0.1,0.0,25.7,15,0,451,0.0,0.0,100,8455,87.52,26.8
12/5/2023 12:00,618.6,0.000,0,0,157,3.21,8.47,21.9,0.883,87.64,0.6,-0.5,0.0,25.1,15,0,451,0.0,0.0,100,8453,87.50,26.5
12/5/2023 12:15,804.1,0.000,0,0,170,3.02,12.30,22.4,0.857,87.60,0.5,-0.3,0.0,25.3,15,0,450,0.0,0.0,100,8455,87.48,26.4
12/5/2023 12:30,632.0,0.000,0,0,142,2.76,5.83,22.4,0.862,87.59,0.6,-0.4,0.0,25.5,15,0,450,0.0,0.0,100,8444,87.47,26.5
12/5/2023 12:45,735.9,0.000,0,0,129,3.03,7.39,22.3,0.864,87.57,0.3,-0.5,0.0,25.4,15,0,450,0.0,0.0,100,8453,87.45,26.3
12/5/2023 13:00,786.1,0.000,0,0,46,2.71,6.93,22.3,0.903,87.53,0.3,-0.3,0.0,25.7,15,0,451,0.0,0.0,100,8451,87.41,26.5
12/5/2023 13:15,631.1,0.000,0,0,43,3.41,9.13,21.7,0.953,87.52,0.4,-0.1,0.0,25.6,15,0,451,0.0,0.0,100,8446,87.39,26.4
12/5/2023 13:30,728.7,0.000,0,0,149,3.08,8.31,22.3,0.930,87.49,0.2,-0.6,0.0,25.3,15,0,450,0.0,0.0,100,8444,87.37,26.2
12/5/2023 13:45,686.3,0.000,0,0,62,3.08,8.90,22.2,0.943,87.49,0.6,-0.6,0.0,25.6,14,0,451,0.0,0.0,100,8440,87.37,26.3
12/5/2023 14:00,563.1,0.000,0,0,49,3.03,7.91,21.8,0.952,87.49,0.1,-0.9,0.0,25.0,15,0,451,0.0,0.0,100,8435,87.36,25.6
12/5/2023 14:15,568.9,0.000,0,0,124,3.17,6.68,22.0,0.931,87.48,0.1,-0.3,0.0,25.2,14,0,453,0.0,0.0,100,8431,87.36,25.8
12/5/2023 14:30,250.8,0.000,0,0,77,2.81,8.26,21.5,0.955,87.47,0.2,-0.4,0.0,24.3,15,0,453,0.0,0.0,100,8416,87.34,25.0
12/5/2023 14:45,316.7,0.000,0,0,61,3.34,9.68,21.2,0.941,87.48,0.7,-0.2,0.0,23.3,15,0,453,0.0,0.0,100,8408,87.35,24.1
12/5/2023 15:00,103.5,0.000,0,0,54,3.11,7.65,21.0,0.951,87.48,0.4,-0.5,0.0,22.5,15,0,454,0.0,0.0,100,8392,87.34,23.2
12/5/2023 15:15,54.5,0.000,0,0,161,2.64,6.32,21.0,0.919,87.49,0.5,-0.6,0.0,21.7,15,0,454,0.0,0.0,100,8383,87.35,22.4
12/5/2023 15:30,41.3,0.000,0,0,74,2.75,8.71,20.7,0.918,87.49,0.4,-0.8,0.0,21.2,15,0,454,0.0,0.0,100,8373,87.35,21.8
12/5/2023 15:45,85.8,0.000,0,0,51,2.78,7.90,20.4,0.942,87.50,0.4,-0.3,0.0,20.9,15,2,473,0.0,0.0,100,8366,87.36,21.3
12/5/2023 16:00,123.8,0.000,0,0,56,3.16,8.24,19.9,0.999,87.51,0.5,-0.5,0.0,20.7,15,15,478,0.0,0.0,100,8361,87.38,20.9
12/5/2023 16:15,120.7,0.000,0,0,114,2.97,8.11,19.9,1.000,87.51,0.5,-0.6,0.0,20.5,15,7,462,0.0,0.0,100,8357,87.38,20.6
12/5/2023 16:30,48.6,0.357,0,0,92,3.39,8.68,19.7,1.001,87.52,0.0,-0.6,4.1,20.2,15,15,762,0.0,0.0,100,8349,87.39,20.4
12/5/2023 16:45,32.5,0.153,0,0,137,2.78,7.89,19.1,1.000,87.52,0.3,-0.6,5.1,19.6,15,15,764,0.0,0.0,100,8346,87.39,19.8
12/5/2023 17:00,23.5,0.000,0,0,43,2.87,7.83,19.1,1.000,87.53,0.4,-0.8,0.0,19.3,15,15,745,0.0,0.0,100,8339,87.40,19.5
12/5/2023 17:15,7.7,0.000,0,0,76,2.96,7.84,18.9,1.000,87.53,0.8,-1.0,0.0,19.1,15,15,621,0.2,12.0,100,8336,87.41,19.3
12/5/2023 17:30,0.6,0.000,0,0,112,3.06,8.30,18.7,1.000,87.54,0.6,-0.8,0.0,18.9,15,15,581,0.0,0.0,100,8330,87.41,19.0
12/5/2023 17:45,0.0,0.017,0,0,130,3.29,9.38,18.8,0.997,87.56,0.7,-0.5,1.0,18.7,15,15,617,0.0,0.0,100,8324,87.43,18.7
12/5/2023 18:00,0.0,0.000,0,0,185,3.11,9.21,19.0,0.987,87.58,0.4,-0.6,0.0,18.6,15,15,572,0.0,0.0,100,8318,87.45,18.6
12/5/2023 18:15,0.0,0.000,0,0,188,3.35,7.66,18.9,0.984,87.59,0.1,-0.6,0.0,18.4,15,15,532,0.0,0.0,100,8319,87.47,18.4
12/5/2023 18:30,0.0,0.000,0,0,192,3.49,7.98,18.9,0.985,87.61,0.3,-0.7,0.0,18.3,15,15,525,0.0,0.0,100,8311,87.49,18.3
12/5/2023 18:45,0.0,0.000,0,0,179,2.68,8.12,18.9,0.978,87.63,0.3,-0.6,0.0,18.3,15,15,534,0.0,0.0,100,8309,87.51,18.3
12/5/2023 19:00,0.0,0.017,0,0,162,2.71,6.77,18.8,0.985,87.65,0.2,-0.4,1.0,18.3,15,15,518,0.0,0.0,100,8304,87.52,18.3
12/5/2023 19:15,0.0,0.000,0,0,187,3.18,6.62,18.8,0.985,87.65,0.5,-1.1,0.0,18.3,15,15,495,0.0,0.0,100,8300,87.53,18.2
12/5/2023 19:30,0.0,0.000,0,0,196,3.31,7.92,18.9,0.979,87.66,0.3,-0.5,0.0,18.2,15,15,463,0.0,0.0,100,8298,87.55,18.1
12/5/2023 19:45,0.0,0.000,0,0,207,3.28,8.62,18.8,0.980,87.68,0.3,-0.8,0.0,18.2,15,15,461,0.0,0.0,100,8295,87.56,18.1
12/5/2023 20:00,0.0,0.000,0,0,196,3.17,6.54,18.9,0.974,87.69,0.1,-0.6,0.0,18.2,15,6,465,0.0,0.0,100,8290,87.57,18.2
12/5/2023 20:15,0.0,0.000,0,0,207,3.19,9.14,18.8,0.983,87.71,0.4,-0.4,0.0,18.2,15,15,464,0.0,0.0,100,8289,87.58,18.2
12/5/2023 20:30,0.0,0.017,0,0,197,2.89,6.57,18.7,0.983,87.72,0.3,-0.5,1.0,18.2,15,14,460,0.0,0.0,100,8283,87.60,18.1
12/5/2023 20:45,0.0,0.017,0,0,196,2.68,6.68,18.7,0.981,87.73,0.4,-0.6,1.0,18.2,15,15,570,0.0,0.0,100,8280,87.60,18.0
12/5/2023 21:00,0.0,0.051,0,0,182,2.92,7.45,18.7,0.975,87.74,0.5,-0.7,2.0,18.1,15,15,763,0.0,0.0,100,8277,87.62,17.9
12/5/2023 21:15,0.0,0.034,0,0,223,3.15,9.92,18.7,0.977,87.73,0.5,-0.8,1.0,18.0,15,15,683,0.0,0.0,100,8275,87.61,17.8
12/5/2023 21:30,0.0,0.017,0,0,240,3.39,7.14,18.6,0.974,87.73,0.5,-0.4,1.0,17.9,15,15,650,0.0,0.0,100,8273,87.62,17.7
