z6-15899,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1440,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
2/14/2024 14:15,690.1,0.000,0,0,88,2.69,6.82,21.2,0.834,87.59,0.5,-0.5,0.0,23.9,0,0,448,0.0,0.0,100,8492,87.49,24.4
2/14/2024 14:30,665.4,0.000,0,0,128,3.66,11.86,21.0,0.814,87.57,0.0,-0.3,0.0,24.0,0,0,448,0.0,0.0,100,8485,87.47,24.6
2/14/2024 14:45,616.3,0.000,0,0,116,2.87,9.97,21.1,0.813,87.56,0.3,-0.4,0.0,23.9,0,0,448,0.0,0.0,100,8475,87.45,24.5
2/14/2024 15:00,567.3,0.000,0,0,33,3.80,8.82,20.9,0.816,87.56,0.5,-0.7,0.0,23.7,0,0,448,0.0,0.0,100,8466,87.45,24.4
2/14/2024 15:15,276.2,0.000,0,0,173,3.43,7.80,20.5,0.824,87.57,0.6,-0.3,0.0,23.1,4,0,451,0.0,0.0,100,8453,87.45,23.9
2/14/2024 15:30,41.1,0.000,0,0,40,3.05,7.72,20.4,0.832,87.56,0.4,-0.3,0.0,21.7,15,0,452,0.0,0.0,100,8434,87.44,22.6
2/14/2024 15:45,35.2,0.000,0,0,154,3.20,9.35,20.1,0.844,87.57,0.3,-0.5,0.0,20.7,15,0,452,0.0,0.0,100,8421,87.45,21.6
2/14/2024 16:00,29.3,0.000,0,0,190,3.11,8.37,19.8,0.858,87.57,0.3,-0.5,0.0,20.2,15,0,453,0.0,0.0,100,8410,87.45,20.9
2/14/2024 16:15,46.7,0.000,0,0,159,3.35,8.58,19.7,0.870,87.56,0.5,-0.3,0.0,19.9,15,0,454,0.0,0.0,100,8402,87.44,20.4
2/14/2024 16:30,42.8,0.000,0,0,164,3.02,6.93,19.5,0.888,87.57,0.3,-0.7,0.0,19.7,15,0,454,0.0,0.0,100,8395,87.45,20.1
2/14/2024 16:45,41.3,0.000,0,0,140,3.15,6.98,19.2,0.909,87.57,0.5,-0.5,0.0,19.5,15,0,454,0.0,0.0,100,8385,87.45,19.7
2/14/2024 17:00,44.6,0.000,0,0,180,3.71,11.92,19.0,0.915,87.58,0.4,-0.6,0.0,19.2,15,0,454,0.0,0.0,100,8379,87.47,19.5
2/14/2024 17:15,56.7,0.000,0,0,198,2.89,6.75,18.9,0.927,87.58,0.4,-0.6,0.0,19.2,15,0,455,0.0,0.0,100,8374,87.47,19.4
2/14/2024 17:30,30.8,0.000,0,0,180,3.41,7.30,18.7,0.952,87.59,0.4,-0.5,0.0,19.0,15,0,455,0.0,0.0,100,8366,87.48,19.2
2/14/2024 17:45,9.1,0.000,0,0,142,3.02,7.16,18.6,0.961,87.60,0.4,-0.5,0.0,18.8,15,0,456,0.0,0.0,100,8362,87.49,19.0
2/14/2024 18:00,0.4,0.000,0,0,147,2.49,5.66,18.4,0.974,87.60,0.3,-0.6,0.0,18.5,15,0,458,0.0,0.0,100,8355,87.49,18.7
2/14/2024 18:15,0.0,0.000,0,0,182,3.05,7.52,18.2,0.986,87.60,0.4,-0.5,0.0,18.3,15,0,458,0.0,0.0,100,8351,87.50,18.5
2/14/2024 18:30,0.0,0.000,0,0,161,3.17,7.68,18.1,0.984,87.61,0.6,-1.2,0.0,18.1,15,0,458,0.0,0.0,100,8348,87.51,18.3
2/14/2024 18:45,0.0,0.000,0,0,149,2.99,8.15,18.2,0.978,87.63,0.4,-0.8,0.0,18.1,15,0,458,0.0,0.0,100,8342,87.53,18.2
2/14/2024 19:00,0.0,0.000,0,0,195,2.93,8.69,18.0,0.996,87.64,0.2,-0.4,0.0,18.0,15,0,458,0.0,0.0,100,8338,87.54,18.2
2/14/2024 19:15,0.0,0.000,0,0,170,2.93,6.77,18.0,0.989,87.66,0.5,-0.6,0.0,17.9,15,0,459,0.0,0.0,100,8334,87.55,18.1
2/14/2024 19:30,0.0,0.000,0,0,174,3.00,7.65,17.9,1.000,87.67,0.3,-0.5,0.0,17.9,15,13,460,0.0,0.0,100,8332,87.56,18.0
2/14/2024 19:45,0.0,0.000,0,0,89,3.29,11.15,17.8,0.998,87.67,0.2,-0.8,0.0,17.7,15,9,462,0.0,0.0,100,8324,87.57,17.8
2/14/2024 20:00,0.0,0.000,0,0,176,3.37,8.62,17.9,0.993,87.68,0.4,-0.6,0.0,17.8,15,6,460,0.0,0.0,100,8321,87.58,17.8
2/14/2024 20:15,0.0,0.000,0,0,173,3.35,7.52,18.0,0.989,87.69,0.8,-0.4,0.0,17.8,15,1,459,0.0,0.0,100,8318,87.60,17.8
2/14/2024 20:30,0.0,0.000,0,0,180,3.05,6.56,18.1,0.971,87.70,0.2,-0.9,0.0,17.8,15,9,470,0.0,0.0,100,8317,87.59,17.8
2/14/2024 20:45,0.0,0.000,0,0,175,2.81,8.93,18.0,0.981,87.70,0.4,-1.1,0.0,17.7,15,15,470,0.0,0.0,100,8312,87.61,17.6
2/14/2024 21:00,0.0,0.000,0,0,176,3.52,9.38,18.0,0.986,87.71,0.8,-0.7,0.0,17.6,15,15,462,0.0,0.0,100,8308,87.61,17.5
2/14/2024 21:15,0.0,0.000,0,0,210,3.75,7.73,17.9,0.983,87.71,-0.4,0.0,0.0,17.5,15,7,458,0.0,0.0,100,8304,87.61,17.4
2/14/2024 21:30,0.0,0.000,0,0,175,3.44,9.03,17.9,0.972,87.71,0.3,-0.6,0.0,17.5,15,1,459,0.0,0.0,100,8300,87.60,17.4
2/14/2024 21:45,0.0,0.000,0,0,198,3.32,9.23,17.9,0.964,87.71,0.5,-0.9,0.0,17.6,15,0,457,0.0,0.0,100,8299,87.61,17.4
2/14/2024 22:00,0.0,0.000,0,0,189,3.04,8.16,17.9,0.964,87.71,0.1,-0.7,0.0,17.6,15,0,458,0.0,0.0,100,8299,87.62,17.5
2/14/2024 22:15,0.0,0.000,0,0,194,3.14,7.63,17.9,0.969,87.71,0.4,-0.7,0.0,17.6,15,0,459,0.0,0.0,100,8296,87.61,17.4
2/14/2024 22:30,0.0,0.000,0,0,208,3.30,9.02,17.8,0.971,87.71,0.2,-0.5,0.0,17.6,15,0,459,0.0,0.0,100,8292,87.61,17.4
2/14/2024 22:45,0.0,0.000,0,0,187,3.40,7.68,17.8,0.972,87.69,0.4,-0.7,0.0,17.6,15,0,460,0.0,0.0,100,8287,87.59,17.3
2/14/2024 23:00,0.0,0.000,0,0,159,3.19,9.59,17.8,0.978,87.68,0.3,-0.8,0.0,17.6,15,0,459,0.0,0.0,100,8286,87.58,17.3
2/14/2024 23:15,0.0,0.000,0,0,165,3.63,9.90,17.8,0.987,87.65,0.6,-0.1,0.0,17.6,15,0,459,0.0,0.0,100,8284,87.56,17.4
2/14/2024 23:30,0.0,0.000,0,0,177,3.27,7.52,17.9,0.992,87.64,0.4,-0.8,0.0,17.7,15,0,459,0.0,0.0,100,8282,87.55,17.5
2/14/2024 23:45,0.0,0.000,0,0,165,3.49,7.02,17.9,0.996,87.64,0.3,-0.8,0.0,17.7,15,0,459,0.0,0.0,100,8280,87.54,17.6
2/15/2024 0:00,0.0,0.000,0,0,167,3.11,8.15,17.9,0.999,87.62,0.4,-0.7,0.0,17.7,15,1,460,0.0,0.0,100,8276,87.53,17.6
2/15/2024 0:15,0.0,0.000,0,0,140,3.30,9.49,18.1,0.989,87.61,0.3,-0.6,0.0,17.8,15,7,459,0.0,0.0,100,8248,87.51,17.8
2/15/2024 0:30,0.0,0.000,0,0,178,3.34,8.08,18.2,0.964,87.60,0.3,-0.5,0.0,17.8,15,13,464,0.0,0.0,100,8256,87.50,17.9
2/15/2024 0:45,0.0,0.000,0,0,193,2.84,6.90,18.2,0.993,87.59,0.4,-0.6,0.0,17.9,15,13,460,0.0,0.0,100,8254,87.48,17.8
2/15/2024 1:00,0.0,0.000,0,0,185,3.23,9.01,18.3,0.995,87.58,0.4,-1.1,0.0,18.0,15,15,462,0.0,0.0,100,8251,87.49,17.9
2/15/2024 1:15,0.0,0.000,0,0,161,3.03,8.11,18.4,0.991,87.57,0.4,-0.6,0.0,18.1,15,12,475,0.0,0.0,100,8251,87.48,18.0
2/15/2024 1:30,0.0,0.000,0,0,179,2.89,6.89,18.3,0.993,87.57,0.3,-0.5,0.0,17.9,15,15,477,0.0,0.0,100,8248,87.48,17.9
2/15/2024 1:45,0.0,0.000,0,0,180,3.03,8.00,18.2,0.993,87.57,0.5,-0.9,0.0,17.8,15,14,460,0.0,0.0,100,8247,87.47,17.8
2/15/2024 2:00,0.0,0.000,0,0,159,2.68,6.37,18.1,0.992,87.58,0.3,-0.5,0.0,17.7,15,15,460,0.0,0.0,100,8243,87.49,17.8
2/15/2024 2:15,0.0,0.000,0,0,166,3.05,8.85,18.1,0.996,87.58,0.5,-0.7,0.0,17.8,15,15,533,0.0,0.0,100,8240,87.48,17.7
2/15/2024 2:30,0.0,0.017,0,0,123,2.92,8.25,18.0,0.998,87.59,0.6,-0.7,1.0,17.7,15,15,569,0.0,0.0,100,8240,87.49,17.6
2/15/2024 2:45,0.0,0.034,0,0,149,2.90,8.02,17.9,0.998,87.60,0.4,-0.9,1.0,17.7,15,15,616,0.0,0.0,100,8235,87.51,17.5
2/15/2024 3:00,0.0,0.017,0,0,166,2.70,7.33,18.0,0.988,87.60,0.4,-0.8,1.0,17.5,15,15,572,0.0,0.0,100,8235,87.51,17.4
2/15/2024 3:15,0.0,0.000,0,0,215,2.40,7.36,17.9,0.991,87.61,0.1,-0.6,0.0,17.5,15,15,564,0.0,0.0,100,8233,87.52,17.4
2/15/2024 3:30,0.0,0.000,0,0,131,1.98,7.18,17.8,0.992,87.63,0.5,-0.5,0.0,17.5,15,15,528,0.0,0.0,100,8231,87.53,17.4
2/15/2024 3:45,0.0,0.000,0,0,148,2.50,9.18,17.9,0.988,87.63,0.3,-0.7,0.0,17.5,15,15,470,0.0,0.0,100,8232,87.54,17.4
2/15/2024 4:00,0.0,0.000,0,0,224,2.16,6.14,17.9,0.990,87.64,0.4,-0.6,0.0,17.5,15,15,462,0.0,0.0,100,8230,87.55,17.5
2/15/2024 4:15,0.0,0.000,0,0,185,2.19,5.65,17.9,0.993,87.66,0.3,-0.6,0.0,17.5,15,15,539,0.0,0.0,100,8229,87.57,17.5
2/15/2024 4:30,0.0,0.153,0,0,179,2.60,6.43,17.9,0.990,87.67,0.4,-0.7,3.1,17.5,15,15,745,0.0,0.0,100,8225,87.58,17.4
2/15/2024 4:45,0.0,0.017,0,0,184,2.67,5.75,17.8,0.993,87.69,0.5,-0.6,1.0,17.4,15,15,692,0.0,0.0,100,8224,87.59,17.3
2/15/2024 5:00,0.0,0.017,0,0,172,2.44,5.58,17.7,0.997,87.70,0.4,-0.6,1.0,17.4,15,15,677,0.0,0.0,100,8220,87.61,17.3
2/15/2024 5:15,0.0,0.085,0,0,172,2.18,6.73,17.7,0.991,87.71,0.1,-0.7,2.0,17.3,15,15,677,0.0,0.0,100,8219,87.62,17.2
2/15/2024 5:30,0.0,0.017,0,0,188,2.38,7.45,17.7,0.988,87.72,0.4,-0.5,1.0,17.2,15,15,710,0.0,0.0,100,8216,87.62,17.2
2/15/2024 5:45,0.0,0.034,0,0,137,2.06,5.01,17.7,0.993,87.73,0.3,-0.5,1.0,17.3,15,15,707,0.0,0.0,100,8217,87.64,17.3
2/15/2024 6:00,0.0,0.272,0,0,30,1.99,6.76,17.7,0.998,87.73,0.4,-0.7,4.1,17.4,15,15,866,0.0,0.0,100,8213,87.64,17.4
2/15/2024 6:15,0.1,0.255,0,0,150,2.25,8.21,17.7,1.000,87.75,0.3,-0.8,3.1,17.5,15,15,939,0.0,0.0,100,8212,87.66,17.4
2/15/2024 6:30,1.0,0.153,0,0,76,2.57,7.81,17.6,1.000,87.77,0.4,-0.4,1.0,17.4,15,15,939,0.2,12.0,100,8210,87.69,17.4
2/15/2024 6:45,10.1,0.085,0,0,148,2.37,6.39,17.4,1.000,87.80,0.4,-0.5,1.0,17.3,15,15,755,0.2,12.0,100,8212,87.71,17.3
2/15/2024 7:00,12.1,0.068,0,0,142,2.51,6.82,17.5,1.000,87.82,0.5,-0.6,1.0,17.3,15,15,931,0.2,12.0,100,8209,87.73,17.3
2/15/2024 7:15,9.8,0.323,0,0,62,1.91,7.83,17.5,1.000,87.85,0.3,-0.7,6.1,17.4,15,15,1080,0.0,0.0,100,8205,87.75,17.4
2/15/2024 7:30,22.3,0.613,0,0,27,2.94,9.11,17.4,0.999,87.87,0.5,-0.4,5.1,17.4,15,15,1024,1.2,12.0,100,8206,87.78,17.4
2/15/2024 7:45,26.0,0.153,0,0,13,1.80,7.42,17.4,0.999,87.88,0.3,-0.5,1.0,17.4,15,15,1056,0.4,12.0,100,8203,87.78,17.4
2/15/2024 8:00,49.7,1.226,0,0,23,2.88,7.70,17.3,0.999,87.91,0.4,-0.5,8.2,17.4,15,15,984,1.8,12.0,100,8201,87.82,17.4
2/15/2024 8:15,50.8,0.783,0,0,32,3.02,9.34,17.0,1.002,87.94,0.4,-0.5,6.1,17.3,15,15,960,2.0,12.0,100,8200,87.86,17.3
2/15/2024 8:30,49.6,0.119,0,0,20,2.63,7.38,16.7,1.003,87.95,0.2,-0.6,2.0,17.1,15,15,974,0.2,12.0,100,8190,87.86,17.1
2/15/2024 8:45,39.3,0.409,0,0,5,2.89,9.03,16.9,0.999,87.97,0.2,-0.7,6.1,16.9,15,15,1010,0.8,12.0,100,8192,87.88,17.0
2/15/2024 9:00,66.7,0.409,0,0,16,2.55,5.87,17.0,1.001,87.99,0.5,-0.4,9.2,17.0,15,15,849,0.4,12.0,100,8191,87.90,17.1
2/15/2024 9:15,92.9,0.119,0,0,152,2.18,5.35,17.1,0.998,87.98,0.3,-0.8,1.0,17.2,15,15,946,0.2,12.0,100,8177,87.89,17.3
