z6-16041,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 7,Port 7,Port 8,Port 8
Records: 1525,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
12/26/2023 12:30,0,0,444,649.4,0.000,0,0,80,0.93,2.06,24.1,0.866,88.14,1.0,-1.9,0.0,28.3,98,7791,88.08,28.6
12/26/2023 12:45,0,0,447,321.6,0.000,0,0,64,0.85,3.04,23.7,0.874,88.14,0.9,-1.9,0.0,27.3,99,7793,88.06,28.1
12/26/2023 13:00,0,0,446,328.4,0.000,0,0,47,0.78,2.33,23.7,0.868,88.13,1.0,-1.9,0.0,26.2,99,7796,88.05,27.2
12/26/2023 13:15,0,0,448,288.2,0.000,0,0,58,0.80,1.69,23.5,0.890,88.11,0.9,-1.9,0.0,26.0,99,7798,88.03,26.9
12/26/2023 13:30,0,0,448,237.5,0.000,0,0,44,0.72,1.56,22.8,0.910,88.10,0.9,-1.9,0.0,25.2,99,7798,88.02,26.2
12/26/2023 13:45,6,0,451,128.3,0.000,0,0,31,0.80,1.61,22.2,0.919,88.09,0.9,-1.9,0.0,24.5,99,7795,88.01,25.3
12/26/2023 14:00,11,0,449,251.0,0.000,0,0,39,0.74,1.37,21.9,0.933,88.08,0.9,-1.9,0.0,23.7,100,7804,88.00,24.3
12/26/2023 14:15,0,0,448,508.5,0.000,0,0,60,0.79,1.54,22.6,0.936,88.05,0.9,-1.9,0.0,24.8,100,7810,87.99,24.8
