z6-16041,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 2015,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
5/21/2024 8:15,15,8,543,127.6,0.000,0,0,33,0.70,1.77,21.0,0.995,88.01,#N/A,#N/A,0.0,22.0,0.0,0.0,100,7947,87.94,23.2
5/21/2024 8:30,15,15,569,108.6,0.000,0,0,43,1.00,2.65,20.6,0.999,88.04,#N/A,#N/A,0.0,21.5,0.0,0.0,100,7950,87.97,22.5
5/21/2024 8:45,15,12,456,221.4,0.000,0,0,67,0.80,2.08,20.3,1.001,88.06,#N/A,#N/A,0.0,21.3,0.0,0.0,100,7949,87.99,22.1
5/21/2024 9:00,15,0,453,240.4,0.000,0,0,30,0.60,1.91,20.5,1.001,88.07,#N/A,#N/A,0.0,21.5,0.0,0.0,100,7951,88.01,22.3
5/21/2024 9:15,15,0,450,329.9,0.000,0,0,88,0.53,1.27,20.7,0.996,88.07,#N/A,#N/A,0.0,21.9,0.0,0.0,100,7953,88.00,22.7
5/21/2024 9:30,15,0,452,335.4,0.000,0,0,71,0.73,1.76,21.6,1.001,88.06,#N/A,#N/A,0.0,22.8,0.0,0.0,100,7957,87.99,23.5
5/21/2024 9:45,15,0,452,265.5,0.000,0,0,54,0.83,2.06,21.7,1.004,88.04,#N/A,#N/A,0.0,23.2,0.0,0.0,100,7950,87.98,24.1
5/21/2024 10:00,15,0,451,324.5,0.000,0,0,77,0.87,1.63,21.9,0.999,88.04,#N/A,#N/A,0.0,23.3,0.0,0.0,100,7951,87.97,24.2
