z6-16041,Port 1,Port 1,Port 1,Port 4,Port 5,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 873,PHYTOS 31,PHYTOS 31,PHYTOS 31,Unrecognized,Unrecognized,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, Sensor Output, Sensor Output, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
7/17/2024 10:15,15,15,513,0,0,0,0,100,8119,88.15,25.2
7/17/2024 10:30,15,15,468,0,0,0,0,100,8137,88.14,25.2
7/17/2024 10:45,12,5,454,0,0,0,0,100,8145,88.12,25.4
7/17/2024 11:00,15,15,501,0,0,0,0,100,8155,88.11,25
7/17/2024 11:15,11,4,450,0,0,0,0,100,8168,88.09,25.4
7/17/2024 11:30,8,0,450,0,0,0,0,100,8183,88.08,26.2
7/17/2024 11:45,11,0,450,0,0,3,168,100,8184,88.09,26.4
7/17/2024 12:00,15,0,451,0,0,0,0,100,8194,88.08,26.1
7/17/2024 12:15,12,0,450,0,0,0,0,100,8203,88.06,26.3
7/17/2024 12:30,0,0,449,0,0,0,0,100,8222,88.04,27
7/17/2024 12:45,0,0,448,0,0,0,0,100,8238,88.03,27.8
7/17/2024 13:00,0,0,449,0,0,0,0,100,8243,88.02,28.3
7/17/2024 13:15,0,0,448,0,0,0,0,100,8257,88.01,28.5
7/17/2024 13:30,0,0,448,0,0,0,0,100,8264,88.02,29.3
7/17/2024 13:45,0,0,449,0,0,0,0,100,8263,88.02,29.9
7/17/2024 14:00,1,0,450,0,0,0,0,100,8260,88.02,29.9
7/17/2024 14:15,15,0,452,0,0,0,0,100,8244,88,28.9
7/17/2024 14:30,15,0,451,0,0,0,0,100,8239,88.01,27.2
7/17/2024 14:45,15,0,452,0,0,0,0,100,8232,88.01,26.2
7/17/2024 15:00,15,0,454,0,0,0,0,100,8232,88.02,25.6
7/17/2024 15:15,15,0,452,0,0,0,0,100,8229,88,25.2
7/17/2024 15:30,15,4,511,0,0,0,0,100,8223,88.01,25
7/17/2024 15:45,15,15,543,0,0,0,0,100,8216,88.03,24.4
7/17/2024 16:00,15,15,495,0,0,0,0,100,8213,88.04,23.9
7/17/2024 16:15,15,15,478,0,0,0,0,100,8208,88.06,23.3
7/17/2024 16:30,15,15,472,0,0,0,0,100,8203,88.07,22.9
