z6-16041,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 7,Port 7,Port 8,Port 8
Records: 3261,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
2/9/2024 11:30,0,0,439,912.1,0.000,0,0,73,0.77,1.90,22.7,0.905,88.15,1.0,-1.9,0.0,27.5,100,7982,88.10,30.0
2/9/2024 11:45,0,0,439,909.5,0.000,0,0,74,0.95,1.65,23.5,0.877,88.13,1.0,-1.9,0.0,27.4,100,7985,88.07,29.8
2/9/2024 12:00,0,0,437,922.7,0.000,0,0,48,0.92,1.45,22.9,0.922,88.11,1.1,-1.9,0.0,27.7,100,7990,88.05,29.8
2/9/2024 12:15,0,0,441,752.5,0.000,0,0,32,0.83,1.50,22.1,0.940,88.11,1.0,-1.9,0.0,27.6,100,7998,88.05,29.0
2/9/2024 12:30,0,0,447,314.7,0.000,0,0,40,0.73,1.79,21.0,0.970,88.13,1.0,-1.9,0.0,26.0,100,7996,88.06,27.1
2/9/2024 12:45,0,0,448,276.7,0.000,0,0,73,0.61,1.46,20.6,0.957,88.12,0.9,-1.9,0.0,24.1,100,7996,88.05,25.6
2/9/2024 13:00,0,0,449,251.3,0.000,0,0,43,0.58,1.06,20.5,0.955,88.11,0.9,-1.9,0.0,23.0,100,7998,88.03,24.8
2/9/2024 13:15,0,0,450,240.6,0.000,0,0,33,0.59,1.14,19.9,0.974,88.09,0.9,-1.8,0.0,22.6,100,7996,88.01,24.2
2/9/2024 13:30,15,0,452,167.5,0.000,0,0,36,0.67,1.37,19.5,0.984,88.08,0.9,-1.9,0.0,21.8,100,7993,88.01,23.2
