z6-16041,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1323,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
5/7/2024 13:15,0,0,445,533.6,0.000,0,0,88,0.77,1.39,25.9,0.820,87.93,0.8,-1.8,0.0,28.0,0.0,0.0,100,8093,87.85,31.1
5/7/2024 13:30,0,0,446,337.7,0.000,0,0,36,0.87,1.67,25.1,0.858,87.92,0.8,-1.9,0.0,28.1,0.0,0.0,100,8093,87.84,31.0
5/7/2024 13:45,0,0,447,334.1,0.000,0,0,43,0.81,1.99,25.0,0.856,87.91,0.8,-1.8,0.0,27.7,0.0,0.0,100,8093,87.83,30.1
5/7/2024 14:00,0,0,446,368.1,0.000,0,0,27,0.76,2.02,24.8,0.859,87.90,0.8,-1.9,0.0,27.4,0.0,0.0,100,8092,87.81,29.4
5/7/2024 14:15,0,0,446,426.1,0.000,0,0,38,0.89,1.71,25.0,0.856,87.89,0.8,-1.9,0.0,27.3,0.0,0.0,100,8096,87.81,29.2
5/7/2024 14:30,0,0,447,262.6,0.000,0,0,50,0.66,1.35,25.4,0.849,87.86,0.9,-1.9,0.0,27.6,0.0,0.0,100,8094,87.78,29.5
5/7/2024 14:45,0,0,449,236.2,0.000,1,17,29,1.09,2.59,24.6,0.884,87.85,0.8,-1.8,0.0,27.2,0.0,0.0,100,8095,87.77,29.0
5/7/2024 15:00,4,0,451,345.7,0.000,2,17,33,1.15,2.69,23.8,0.944,87.86,0.8,-1.8,0.0,26.5,0.0,0.0,100,8097,87.78,28.2
5/7/2024 15:15,15,4,461,76.9,0.000,8,16,41,1.02,2.49,23.2,0.953,87.87,0.8,-1.8,0.0,25.3,0.0,0.0,100,8089,87.79,27.1
5/7/2024 15:30,15,0,456,76.4,0.000,2,10,80,0.74,1.85,22.9,0.945,87.84,0.7,-1.8,0.0,24.1,0.0,0.0,100,8085,87.75,25.8
5/7/2024 15:45,15,0,456,28.7,0.000,0,0,25,0.62,2.02,22.5,0.958,87.85,0.7,-1.8,0.0,23.4,0.0,0.0,100,8082,87.77,24.8
5/7/2024 16:00,15,3,468,36.7,0.000,0,0,33,0.68,1.27,22.2,0.967,87.84,0.7,-1.8,0.0,22.9,0.0,0.0,100,8077,87.76,24.0
5/7/2024 16:15,15,4,455,66.7,0.000,0,0,104,0.67,1.72,22.1,0.970,87.82,0.7,-1.8,0.0,22.6,0.0,0.0,100,8073,87.75,23.6
5/7/2024 16:30,15,0,455,77.8,0.000,0,0,103,0.76,1.57,22.1,0.968,87.82,0.7,-1.8,0.0,22.5,0.0,0.0,100,8072,87.75,23.3
5/7/2024 16:45,15,0,456,64.5,0.000,0,0,71,0.69,1.59,22.1,0.966,87.83,0.7,-1.8,0.0,22.5,0.0,0.0,100,8070,87.76,23.2
5/7/2024 17:00,15,2,460,22.3,0.000,0,0,88,0.68,1.49,22.2,0.954,87.86,0.6,-1.8,0.0,22.4,0.0,0.0,100,8067,87.79,22.9
5/7/2024 17:15,15,15,460,15.3,0.000,0,0,50,0.66,1.53,22.0,0.966,87.89,0.7,-1.8,0.0,22.1,0.0,0.0,100,8062,87.82,22.7
5/7/2024 17:30,15,15,462,11.1,0.000,0,0,43,0.51,2.76,21.8,0.972,87.91,0.6,-1.8,0.0,21.9,0.0,0.0,100,8063,87.83,22.3
5/7/2024 17:45,15,15,465,3.1,0.000,0,0,74,0.58,1.47,21.5,0.977,87.92,0.6,-1.8,0.0,21.6,0.0,0.0,100,8061,87.84,22.0
5/7/2024 18:00,15,8,457,3.0,0.000,0,0,70,0.65,1.50,21.5,0.948,87.92,0.6,-1.8,0.0,21.4,0.0,0.0,100,8057,87.85,21.7
5/7/2024 18:15,15,0,457,0.0,0.000,0,0,79,0.49,2.05,21.5,0.917,87.93,0.7,-1.8,0.0,21.3,0.0,0.0,100,8055,87.86,21.5
5/7/2024 18:30,15,0,455,0.0,0.000,0,0,59,0.63,2.74,21.4,0.911,87.95,0.6,-1.7,0.0,21.1,0.0,0.0,100,8053,87.88,21.3
5/7/2024 18:45,15,0,456,0.0,0.000,0,0,117,0.50,1.32,21.6,0.896,87.95,0.7,-1.8,0.0,21.2,0.0,0.0,100,8052,87.89,21.2
5/7/2024 19:00,15,2,461,0.0,0.000,0,0,67,0.22,0.52,21.3,0.915,87.98,0.7,-1.8,0.0,21.1,0.0,0.0,100,8049,87.91,21.0
5/7/2024 19:15,15,15,464,0.0,0.000,0,0,105,0.33,0.62,20.8,0.939,88.00,0.6,-1.8,0.0,20.7,0.0,0.0,100,8048,87.93,20.7
5/7/2024 19:30,15,15,463,0.0,0.000,0,0,107,0.28,0.83,20.5,0.945,88.00,0.6,-1.8,0.0,20.4,0.0,0.0,100,8048,87.93,20.4
5/7/2024 19:45,15,15,465,0.0,0.000,0,0,69,0.19,0.56,20.4,0.949,88.02,0.6,-1.8,0.0,20.2,0.0,0.0,100,8043,87.95,20.2
5/7/2024 20:00,15,15,472,0.0,0.000,0,0,79,0.18,0.46,20.1,0.960,88.03,0.6,-1.8,0.0,19.9,0.0,0.0,100,8045,87.96,19.9
5/7/2024 20:15,15,15,477,0.0,0.000,0,0,108,0.11,0.30,19.9,0.961,88.04,0.6,-1.8,0.0,19.6,0.0,0.0,100,8039,87.97,19.7
5/7/2024 20:30,15,15,490,0.0,0.000,0,0,115,0.23,0.67,19.7,0.969,88.04,0.6,-1.8,0.0,19.4,0.0,0.0,100,8039,87.98,19.4
5/7/2024 20:45,15,15,474,0.0,0.000,0,0,138,0.75,1.53,20.1,0.953,88.06,0.6,-1.8,0.0,19.4,0.0,0.0,100,8039,87.99,19.4
5/7/2024 21:00,15,15,464,0.0,0.000,0,0,153,0.54,1.50,20.6,0.947,88.06,0.6,-1.8,0.0,19.8,0.0,0.0,100,8039,88.00,19.7
5/7/2024 21:15,15,15,461,0.0,0.000,0,0,95,0.54,1.15,20.5,0.955,88.06,0.6,-1.8,0.0,20.0,0.0,0.0,100,8038,87.99,19.8
5/7/2024 21:30,15,15,464,0.0,0.000,0,0,50,0.44,2.10,20.4,0.955,88.06,0.6,-1.8,0.0,20.0,0.0,0.0,100,8036,87.99,19.9
5/7/2024 21:45,15,15,461,0.0,0.000,0,0,44,0.63,1.90,20.5,0.956,88.06,0.6,-1.7,0.0,20.0,0.0,0.0,100,8035,88.00,19.8
5/7/2024 22:00,15,15,462,0.0,0.000,0,0,35,0.51,2.66,20.7,0.953,88.06,0.6,-1.8,0.0,20.2,0.0,0.0,100,8033,88.00,20.0
5/7/2024 22:15,15,15,461,0.0,0.000,0,0,88,0.47,1.25,20.9,0.953,88.08,0.6,-1.8,0.0,20.3,0.0,0.0,100,8032,88.01,20.1
5/7/2024 22:30,15,15,460,0.0,0.000,0,0,66,0.57,2.19,21.1,0.950,88.09,0.6,-1.8,0.0,20.5,0.0,0.0,100,8030,88.03,20.3
5/7/2024 22:45,15,6,460,0.0,0.000,0,0,57,0.81,2.65,21.4,0.946,88.10,0.6,-1.8,0.0,20.7,0.0,0.0,100,8030,88.03,20.5
5/7/2024 23:00,15,14,460,0.0,0.000,0,0,111,0.69,2.01,21.3,0.954,88.08,0.6,-1.8,0.0,20.9,0.0,0.0,100,8025,88.02,20.6
5/7/2024 23:15,15,14,461,0.0,0.000,0,0,124,0.78,3.59,21.3,0.953,88.05,0.7,-1.8,0.0,20.9,0.0,0.0,100,8026,87.99,20.7
5/7/2024 23:30,15,8,459,0.0,0.000,0,0,179,0.76,2.11,21.4,0.950,88.05,0.7,-1.8,0.0,20.9,0.0,0.0,100,8026,87.99,20.7
5/7/2024 23:45,15,2,459,0.0,0.000,0,0,60,0.64,3.14,21.4,0.944,88.05,0.7,-1.8,0.0,21.0,0.0,0.0,100,8025,87.99,20.8
5/8/2024 0:00,15,7,461,0.0,0.000,0,0,30,0.49,2.09,21.3,0.946,88.06,0.7,-1.8,0.0,21.0,0.0,0.0,100,8024,88.00,20.8
