z6-16041,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 7,Port 7,Port 8,Port 8
Records: 1249,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
11/8/2023 10:00,3,0,449,470.7,0.000,0,0,57,0.75,1.16,22.0,0.976,88.12,1.1,-1.7,0.0,23.5,100,8008,88.06,25.2
11/8/2023 10:15,0,0,449,498.3,0.000,0,0,61,0.81,1.95,22.1,0.977,88.12,1.1,-1.8,0.0,24.1,100,8017,88.05,25.7
11/8/2023 10:30,0,0,448,544.5,0.000,0,0,71,0.74,2.08,22.0,0.973,88.10,1.1,-1.7,0.0,24.2,100,8023,88.03,25.8
11/8/2023 10:45,1,0,449,482.1,0.000,0,0,63,0.75,1.70,22.0,0.966,88.07,1.1,-1.7,0.0,24.0,100,8032,88.00,26.0
11/8/2023 11:00,0,0,448,536.7,0.000,0,0,66,0.73,1.40,22.4,0.959,88.05,1.0,-1.7,0.0,24.3,100,8036,87.98,26.3
11/8/2023 11:15,0,0,446,595.8,0.000,0,0,59,0.79,1.18,23.4,0.936,88.04,1.1,-1.7,0.0,25.0,100,8045,87.98,27.1
11/8/2023 11:30,0,0,447,610.6,0.000,0,0,53,0.80,1.80,23.8,0.930,88.03,1.1,-1.7,0.0,25.7,100,8050,87.97,27.8
11/8/2023 11:45,0,0,449,440.0,0.000,0,0,55,0.82,1.23,23.3,0.954,88.02,1.1,-1.7,0.0,25.7,100,8052,87.95,27.7
11/8/2023 12:00,0,0,444,742.3,0.000,0,0,61,0.78,1.05,24.1,0.913,87.98,1.1,-1.8,0.0,25.9,100,8056,87.92,27.8
11/8/2023 12:15,0,0,448,498.9,0.000,0,0,57,0.83,1.35,24.1,0.922,87.96,1.1,-1.7,0.0,26.3,100,8058,87.89,28.6
11/8/2023 12:30,0,0,450,301.9,0.000,0,0,55,0.83,1.11,24.1,0.908,87.95,1.1,-1.8,0.0,26.0,100,8055,87.88,28.2
11/8/2023 12:45,9,0,450,246.3,0.000,0,0,57,0.76,1.29,23.3,0.913,87.95,1.0,-1.7,0.0,25.2,100,8055,87.87,27.3
11/8/2023 13:00,15,0,451,233.2,0.000,0,0,55,0.76,1.11,23.2,0.909,87.94,1.0,-1.7,0.0,24.5,100,8052,87.86,26.4
11/8/2023 13:15,15,0,451,164.9,0.000,0,0,54,0.76,1.05,23.2,0.906,87.92,1.1,-1.8,0.0,24.2,100,8051,87.85,25.9
11/8/2023 13:30,15,0,452,165.3,0.000,0,0,50,0.73,0.95,22.8,0.923,87.91,1.0,-1.8,0.0,23.8,100,8048,87.83,25.4
11/8/2023 13:45,15,0,452,156.1,0.000,0,0,52,0.70,0.85,22.8,0.916,87.89,1.1,-1.7,0.0,23.6,100,8047,87.81,24.8
11/8/2023 14:00,15,10,547,116.3,0.000,0,0,54,0.68,0.74,22.7,0.927,87.88,1.0,-1.7,0.0,23.4,100,8045,87.80,24.5
11/8/2023 14:15,15,15,495,105.1,0.000,0,0,59,0.66,0.74,22.4,0.938,87.87,1.0,-1.7,0.0,23.0,100,8045,87.79,24.2
