z6-16041,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 7,Port 7,Port 8,Port 8
Records: 8834,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
10/25/2023 12:00,9,0,450,315.9,0.000,0,0,53,0.78,0.91,22.5,0.931,88.02,1.1,-1.8,0.0,23.9,100,7991,87.95,26.1
10/25/2023 12:15,15,7,473,344.2,0.000,0,0,52,0.78,1.04,22.5,0.927,88.01,1.0,-1.8,0.0,23.8,100,7994,87.93,26.0
10/25/2023 12:30,15,2,451,250.7,0.000,0,0,49,0.77,0.94,22.2,0.931,87.99,1.0,-1.7,0.0,23.7,100,7992,87.91,25.8
10/25/2023 12:45,8,0,450,428.7,0.000,0,0,54,0.70,0.80,22.3,0.929,87.95,1.0,-1.7,0.0,23.8,100,7997,87.88,25.7
10/25/2023 13:00,0,0,448,509.8,0.000,0,0,54,0.78,0.90,23.3,0.909,87.92,1.1,-1.7,0.0,24.7,100,8001,87.85,26.6
10/25/2023 13:15,9,0,451,201.5,0.000,0,0,55,0.82,0.97,23.3,0.911,87.92,1.1,-1.8,0.0,25.0,100,7996,87.84,27.0
10/25/2023 13:30,15,1,505,126.6,0.000,0,0,52,0.76,0.85,23.1,0.894,87.91,1.0,-1.8,0.0,24.3,100,7998,87.83,26.0
10/25/2023 13:45,15,15,487,189.6,0.000,0,0,54,0.73,0.82,22.7,0.908,87.90,0.9,-1.8,0.0,23.6,100,7996,87.82,25.1
10/25/2023 14:00,15,5,450,372.9,0.000,0,0,52,0.76,0.91,22.5,0.929,87.87,1.1,-1.7,0.0,23.8,100,8003,87.79,25.2
10/25/2023 14:15,15,0,452,195.6,0.000,0,0,47,0.76,1.07,22.1,0.935,87.86,1.1,-1.7,0.0,23.9,100,7998,87.78,25.2
10/25/2023 14:30,15,8,706,182.7,0.068,0,0,55,0.73,0.92,22.2,0.927,87.84,1.0,-1.8,3.1,23.3,100,7998,87.76,24.7
10/25/2023 14:45,15,15,632,116.5,0.017,0,0,51,0.72,0.80,22.0,0.927,87.85,1.0,-1.7,1.0,22.8,100,7995,87.76,24.2
10/25/2023 15:00,15,15,601,124.0,0.000,0,0,51,0.68,0.75,21.7,0.927,87.85,1.0,-1.7,0.0,22.4,100,7993,87.77,23.5
10/25/2023 15:15,15,15,592,127.8,0.000,0,0,56,0.67,0.76,21.5,0.936,87.85,1.0,-1.7,0.0,22.1,100,7991,87.77,23.4
10/25/2023 15:30,15,15,587,79.1,0.000,1,17,54,0.68,0.76,21.6,0.931,87.84,1.0,-1.7,0.0,21.9,100,7989,87.75,23.1
10/25/2023 15:45,15,15,580,33.3,0.000,0,0,54,0.64,0.76,21.3,0.934,87.86,1.0,-1.7,0.0,21.6,100,7987,87.77,22.7
10/25/2023 16:00,15,15,574,22.0,0.000,1,24,52,0.61,0.71,21.0,0.938,87.86,1.0,-1.7,0.0,21.2,100,7988,87.78,22.1
10/25/2023 16:15,15,15,568,20.0,0.000,3,19,51,0.62,0.78,20.7,0.945,87.87,0.9,-1.7,0.0,20.9,100,7985,87.79,21.6
10/25/2023 16:30,15,15,562,17.6,0.000,1,14,49,0.60,0.73,20.4,0.949,87.88,1.0,-1.7,0.0,20.6,100,7983,87.80,21.2
10/25/2023 16:45,15,15,556,28.9,0.000,0,0,49,0.60,0.70,20.3,0.958,87.89,1.0,-1.8,0.0,20.4,100,7982,87.81,21.0
10/25/2023 17:00,15,15,550,24.5,0.000,0,0,49,0.60,0.89,20.2,0.963,87.90,0.9,-1.7,0.0,20.3,100,7980,87.82,20.8
10/25/2023 17:15,15,15,546,2.1,0.000,0,0,53,0.61,1.12,20.1,0.965,87.93,0.9,-1.7,0.0,20.1,100,7981,87.84,20.6
