z6-16041,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 7,Port 7,Port 8,Port 8
Records: 1439,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
10/11/2023 9:00,15,15,467,753.5,0.000,0,0,56,0.86,1.33,24.6,0.908,88.08,1.1,-1.8,0.0,27.1,100,8086,88.02,28.1
10/11/2023 9:15,15,7,454,714.9,0.000,0,0,56,0.85,1.02,25.6,0.874,88.10,1.1,-1.8,0.0,28.2,100,8093,88.03,29.9
10/11/2023 9:30,2,0,443,715.7,0.000,0,0,56,0.89,1.10,26.2,0.817,88.10,1.1,-1.7,0.0,28.9,100,8104,88.03,31.4
10/11/2023 9:45,0,0,445,507.4,0.000,0,0,53,0.88,1.05,26.4,0.804,88.10,1.1,-1.7,0.0,29.2,100,8109,88.03,31.4
10/11/2023 10:00,0,0,447,389.7,0.000,0,0,55,0.89,1.04,26.1,0.835,88.11,1.1,-1.8,0.0,28.8,100,8108,88.03,31.1
10/11/2023 10:15,0,0,447,391.3,0.000,0,0,53,0.85,1.01,26.0,0.830,88.11,1.1,-1.8,0.0,28.2,100,8105,88.03,30.4
10/11/2023 10:30,0,0,447,432.9,0.000,0,0,56,0.88,1.05,25.6,0.855,88.09,1.0,-1.8,0.0,27.9,100,8108,88.01,29.8
10/11/2023 10:45,0,0,449,229.0,0.000,0,0,54,0.82,0.96,25.3,0.851,88.08,1.1,-1.7,0.0,27.3,100,8105,87.99,29.3
10/11/2023 11:00,0,0,448,344.2,0.000,0,0,54,0.80,0.88,25.2,0.852,88.06,1.1,-1.8,0.0,27.0,100,8104,87.97,28.6
10/11/2023 11:15,0,0,449,232.3,0.000,0,0,52,0.81,0.99,24.6,0.884,88.04,1.1,-1.7,0.0,26.7,100,8099,87.95,28.1
