z6-16041,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 7,Port 7,Port 8,Port 8
Records: 1346,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
9/12/2023 10:00,0,0,447,737.7,0.000,0,0,73,1.21,2.60,23.6,0.913,88.18,1.1,-1.7,0.0,26.7,100,8162,88.11,30.3
9/12/2023 10:15,0,0,444,852.4,0.000,0,0,92,1.41,2.48,23.7,0.910,88.17,1.1,-1.8,0.0,27.2,100,8168,88.11,30.9
9/12/2023 10:30,0,0,443,847.3,0.000,0,0,75,1.27,2.67,23.8,0.901,88.18,1.1,-1.8,0.0,27.5,100,8175,88.11,31.3
9/12/2023 10:45,0,0,446,635.7,0.000,0,0,71,1.36,3.06,23.6,0.925,88.17,1.1,-1.8,0.0,27.5,100,8175,88.09,31.4
9/12/2023 11:00,0,0,443,901.8,0.000,0,0,49,1.27,3.54,23.7,0.910,88.15,1.1,-1.8,0.0,27.2,100,8184,88.07,30.7
9/12/2023 11:15,0,0,445,669.2,0.000,0,0,64,1.03,2.36,23.9,0.915,88.14,1.1,-1.8,0.0,27.6,100,8182,88.06,30.9
9/12/2023 11:30,0,0,443,656.1,0.000,0,0,41,1.08,2.61,23.7,0.910,88.15,1.1,-1.8,0.0,27.5,100,8184,88.07,30.4
9/12/2023 11:45,0,0,447,626.0,0.000,0,0,48,1.23,3.11,23.5,0.909,88.14,1.1,-1.8,0.0,27.3,100,8182,88.06,30.0
9/12/2023 12:00,0,0,443,852.2,0.000,0,0,52,1.23,2.63,24.1,0.894,88.12,1.1,-1.8,0.0,27.2,100,8180,88.05,29.8
9/12/2023 12:15,0,0,442,857.6,0.000,0,0,48,1.09,1.86,24.2,0.879,88.10,1.1,-1.8,0.0,27.7,100,8178,88.02,29.7
9/12/2023 12:30,0,0,442,753.3,0.000,0,0,32,1.12,2.27,24.2,0.894,88.09,1.1,-1.8,0.0,28.1,100,8175,88.01,29.7
9/12/2023 12:45,0,0,446,548.8,0.000,0,0,35,1.11,2.75,24.1,0.894,88.08,1.1,-1.8,0.0,28.0,100,8171,88.00,29.5
9/12/2023 13:00,0,0,444,711.3,0.000,0,0,48,1.11,2.51,24.3,0.889,88.06,1.1,-1.8,0.0,27.8,100,8171,87.98,29.2
9/12/2023 13:15,0,0,444,581.3,0.000,0,0,42,1.02,1.85,24.3,0.884,88.04,1.1,-1.8,0.0,27.8,100,8168,87.96,29.4
9/12/2023 13:30,8,8,517,250.3,0.017,0,0,41,1.11,1.69,23.5,0.933,88.05,1.1,-1.8,1.0,27.3,100,8162,87.96,28.7
9/12/2023 13:45,15,13,1035,247.0,0.970,0,0,45,0.92,2.39,22.5,0.965,88.03,1.0,-1.8,22.4,25.9,100,8161,87.94,27.2
9/12/2023 14:00,15,15,856,70.9,0.357,1,17,45,0.83,1.86,21.9,0.975,88.03,1.0,-1.7,11.2,24.2,100,8153,87.93,25.3
9/12/2023 14:15,15,15,571,209.0,0.017,1,12,57,0.79,1.52,21.3,0.985,88.00,0.9,-1.7,1.0,22.9,100,8150,87.91,24.0
9/12/2023 14:30,15,15,505,231.8,0.000,0,0,73,0.95,2.10,21.1,0.991,87.98,0.9,-1.7,0.0,22.6,100,8148,87.90,23.9
9/12/2023 14:45,15,15,594,158.6,0.000,4,20,40,0.74,1.66,21.1,0.988,87.96,1.0,-1.7,0.0,22.4,100,8146,87.88,23.5
9/12/2023 15:00,15,15,519,186.9,0.000,0,0,83,0.82,2.54,21.1,0.986,87.99,0.9,-1.8,0.0,22.2,100,8143,87.90,23.4
9/12/2023 15:15,15,15,493,130.6,0.000,0,0,39,0.82,2.96,21.1,0.987,87.96,1.0,-1.7,0.0,22.1,100,8141,87.88,23.3
9/12/2023 15:30,15,15,501,41.7,0.000,0,0,46,0.69,1.72,21.0,0.974,87.99,0.9,-1.7,0.0,21.8,100,8137,87.91,22.8
9/12/2023 15:45,15,15,541,62.7,0.000,0,0,36,0.83,1.81,20.7,0.983,88.00,1.0,-1.8,0.0,21.4,100,8133,87.92,22.3
9/12/2023 16:00,15,15,555,71.8,0.017,0,0,41,0.73,1.16,20.6,0.985,88.00,0.9,-1.7,1.0,21.2,100,8131,87.91,22.0
9/12/2023 16:15,15,15,995,50.7,0.545,0,0,55,0.83,2.18,20.6,0.978,88.00,1.0,-1.7,9.2,21.1,100,8127,87.91,21.8
9/12/2023 16:30,15,15,936,22.7,0.596,0,0,57,0.77,1.98,20.6,0.977,88.00,0.9,-1.7,4.1,20.8,100,8124,87.92,21.4
9/12/2023 16:45,15,15,760,15.4,0.494,0,0,31,0.84,2.50,20.4,0.982,88.00,0.9,-1.7,5.1,20.5,100,8122,87.91,21.0
9/12/2023 17:00,15,15,658,10.7,0.017,0,0,35,0.83,2.55,20.3,0.981,88.00,1.0,-1.7,1.0,20.3,100,8122,87.92,20.7
9/12/2023 17:15,15,15,828,2.8,0.051,0,0,54,1.01,4.52,20.2,0.982,88.01,0.9,-1.7,1.0,20.1,100,8119,87.93,20.5
9/12/2023 17:30,15,15,669,2.0,0.017,0,0,78,0.81,1.82,20.1,0.980,88.01,1.0,-1.7,1.0,20.0,100,8115,87.93,20.4
9/12/2023 17:45,15,15,629,0.1,0.017,0,0,109,0.92,1.98,20.0,0.987,88.03,0.9,-1.8,1.0,20.0,100,8114,87.95,20.3
9/12/2023 18:00,15,15,642,0.1,0.000,0,0,57,1.03,3.37,19.8,0.989,88.06,0.9,-1.7,0.0,19.8,100,8110,87.98,20.1
9/12/2023 18:15,15,15,621,0.0,0.000,0,0,77,0.78,1.85,19.8,0.982,88.08,0.8,-1.7,0.0,19.7,100,8108,88.00,20.0
