z6-15996,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 7,Port 7,Port 8,Port 8
Records: 1539,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,Unrecognized,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, Sensor Output,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
11/15/2023 9:15,15,0,455,276.7,0.000,0,0,182,1.11,2.19,19.9,0.999,86.02,1.5,0.1,0.0,21.4,0,100,8000,85.87,22.1
11/15/2023 9:30,15,0,454,297.4,0.000,0,0,167,1.32,2.74,20.1,0.999,86.02,1.5,0.1,0.0,21.6,0,100,8005,85.86,22.7
11/15/2023 9:45,11,0,450,454.3,0.000,0,0,178,1.12,2.24,20.3,0.998,86.00,1.4,0.1,0.0,22.2,0,100,8016,85.85,23.1
11/15/2023 10:00,2,0,449,377.3,0.000,0,0,187,0.79,1.82,20.7,1.004,85.99,1.5,0.1,0.0,23.0,0,100,8020,85.83,24.2
11/15/2023 10:15,0,0,449,403.1,0.000,0,0,188,1.03,2.78,20.9,0.998,85.97,1.5,0.1,0.0,23.5,0,100,8021,85.82,24.9
11/15/2023 10:30,0,0,449,326.5,0.000,0,0,162,0.54,1.35,20.6,1.004,85.96,1.5,0.0,0.0,23.7,0,100,8025,85.80,25.0
11/15/2023 10:45,7,0,450,302.9,0.000,0,0,209,0.68,2.01,20.3,0.999,85.94,1.5,0.0,0.0,23.1,0,100,8030,85.78,24.5
11/15/2023 11:00,0,0,449,410.3,0.000,0,0,180,1.00,2.56,21.0,1.001,85.91,1.5,0.0,0.0,23.5,0,100,8034,85.76,24.8
11/15/2023 11:15,0,0,448,438.3,0.000,0,0,179,1.10,3.33,21.6,0.991,85.91,1.5,0.0,0.0,24.2,0,100,8045,85.75,25.4
11/15/2023 11:30,0,0,447,512.1,0.000,0,0,207,0.94,2.36,21.7,1.001,85.88,1.5,0.0,0.0,24.9,0,100,8051,85.74,26.1
11/15/2023 11:45,0,0,448,474.7,0.000,0,0,218,0.90,2.15,21.9,0.998,85.88,1.5,0.0,0.0,25.2,0,100,8060,85.73,26.3
