z6-15996,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 7,Port 7,Port 8,Port 8
Records: 1538,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
4/17/2024 10:30,0,0,445,850.3,0.000,0,0,273,1.06,4.17,24.2,0.694,86.17,1.6,0.1,0.0,27.1,0.0,0.0,100,8122,86.00,27.1
4/17/2024 10:45,0,0,445,865.3,0.000,0,0,293,0.87,2.61,24.4,0.724,86.18,1.5,0.1,0.0,27.0,0.0,0.0,100,8117,86.00,26.8
4/17/2024 11:00,0,0,445,885.4,0.000,0,0,316,0.97,2.44,23.9,0.782,86.18,1.5,0.1,0.0,26.9,0.0,0.0,100,8115,86.01,26.8
4/17/2024 11:15,0,0,446,897.6,0.000,0,0,210,1.03,2.84,24.4,0.791,86.17,1.5,0.0,0.0,26.7,0.0,0.0,100,8115,86.00,26.7
4/17/2024 11:30,0,0,448,901.4,0.000,0,0,210,1.63,4.81,24.5,0.787,86.16,1.5,0.1,0.0,26.7,0.0,0.0,100,8111,85.98,26.8
4/17/2024 11:45,0,0,448,904.3,0.000,0,0,196,1.61,3.41,24.4,0.755,86.15,1.5,0.2,0.0,26.4,0.0,0.0,100,8117,85.97,26.4
4/17/2024 12:00,0,0,446,891.3,0.000,0,0,218,1.27,3.55,24.5,0.774,86.14,1.5,0.1,0.0,26.6,0.0,0.0,100,8130,85.96,26.9
4/17/2024 12:15,0,0,447,892.4,0.000,0,0,184,1.47,3.95,24.5,0.783,86.12,1.5,0.0,0.0,26.6,0.0,0.0,100,8144,85.94,27.3
4/17/2024 12:30,0,0,447,888.5,0.000,0,0,182,1.26,3.24,25.3,0.780,86.10,1.5,0.1,0.0,27.0,0.0,0.0,100,8154,85.92,28.1
4/17/2024 12:45,0,0,446,871.7,0.000,0,0,197,1.50,4.98,24.9,0.786,86.09,1.5,0.1,0.0,27.2,0.0,0.0,100,8166,85.91,28.7
4/17/2024 13:00,0,0,446,852.2,0.000,0,0,217,1.31,3.58,24.6,0.791,86.08,1.5,0.1,0.0,27.0,0.0,0.0,100,8179,85.90,28.9
4/17/2024 13:15,0,0,447,807.7,0.000,0,0,232,1.20,3.57,24.5,0.812,86.07,1.5,0.0,0.0,27.0,0.0,0.0,100,8191,85.89,29.3
4/17/2024 13:30,0,0,446,784.2,0.000,0,0,219,0.94,2.59,24.8,0.814,86.05,1.5,0.0,0.0,27.2,0.0,0.0,100,8206,85.88,29.8
4/17/2024 13:45,0,0,446,754.9,0.000,0,0,230,0.98,3.29,24.8,0.819,86.04,1.5,0.0,0.0,27.6,0.0,0.0,100,8216,85.87,30.4
4/17/2024 14:00,0,0,446,758.1,0.000,0,0,214,1.08,4.29,24.5,0.820,86.03,1.6,0.0,0.0,27.5,0.0,0.0,100,8228,85.86,30.7
4/17/2024 14:15,0,0,447,698.1,0.000,0,0,254,0.95,2.78,24.6,0.822,86.02,1.6,0.0,0.0,27.7,0.0,0.0,100,8235,85.84,31.2
4/17/2024 14:30,0,0,447,647.9,0.000,0,0,217,0.98,3.07,24.9,0.822,86.01,1.6,0.0,0.0,27.8,0.0,0.0,100,8244,85.83,31.5
4/17/2024 14:45,0,0,447,587.5,0.000,0,0,181,1.18,3.86,24.9,0.818,86.01,1.5,0.1,0.0,27.9,0.0,0.0,100,8244,85.83,31.7
4/17/2024 15:00,0,0,448,553.1,0.000,0,0,186,1.20,3.81,25.0,0.818,85.99,1.6,0.0,0.0,28.0,0.0,0.0,100,8254,85.82,32.0
4/17/2024 15:15,0,0,448,497.2,0.000,0,0,194,1.19,2.64,24.6,0.810,85.98,1.5,0.0,0.0,27.8,0.0,0.0,100,8256,85.80,31.9
4/17/2024 15:30,0,0,448,450.3,0.000,0,0,262,1.12,3.36,24.2,0.819,85.98,1.5,0.0,0.0,27.5,0.0,0.0,100,8258,85.81,31.8
4/17/2024 15:45,0,0,448,396.5,0.000,0,0,242,0.88,3.06,24.0,0.825,85.98,1.6,0.0,0.0,27.2,0.0,0.0,100,8258,85.81,31.6
4/17/2024 16:00,0,0,449,329.1,0.000,0,0,208,0.94,2.95,23.8,0.831,85.98,1.6,0.0,0.0,27.0,0.0,0.0,100,8260,85.80,31.4
4/17/2024 16:15,0,0,449,280.7,0.000,0,0,216,0.91,2.03,23.6,0.833,85.99,1.5,0.0,0.0,26.5,0.0,0.0,100,8260,85.81,30.8
4/17/2024 16:30,0,0,449,216.1,0.000,0,0,198,0.81,2.38,23.2,0.845,86.00,1.5,0.0,0.0,25.9,0.0,0.0,100,8255,85.82,30.1
4/17/2024 16:45,0,0,449,233.0,0.000,0,0,248,0.78,2.52,23.0,0.856,86.00,1.5,0.0,0.0,25.7,0.0,0.0,100,8257,85.82,29.7
4/17/2024 17:00,3,0,450,130.0,0.000,0,0,239,1.03,3.19,22.5,0.869,86.01,1.5,0.1,0.0,25.1,0.0,0.0,100,8251,85.83,29.0
4/17/2024 17:15,15,0,451,78.0,0.000,0,0,298,1.02,4.42,21.3,0.892,86.02,1.5,0.1,0.0,23.6,0.0,0.0,100,8239,85.84,26.9
4/17/2024 17:30,15,0,452,44.9,0.000,0,0,257,0.99,3.25,20.8,0.891,86.04,1.5,0.1,0.0,22.2,0.0,0.0,100,8234,85.85,25.0
