z6-15996,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 7,Port 7,Port 8,Port 8
Records: 1921,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,Unrecognized,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, Sensor Output,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
1/19/2024 11:15,0,0,446,871.7,0.000,0,0,249,2.09,5.80,20.9,0.981,86.02,1.5,0.1,0.0,24.0,0,100,8216,85.89,24.8
1/19/2024 11:30,0,0,446,777.1,0.000,0,0,231,2.04,7.11,21.4,0.977,86.00,1.6,0.1,0.0,24.4,0,100,8228,85.86,25.5
1/19/2024 11:45,1,0,447,688.2,0.000,0,0,249,1.85,6.92,21.3,0.979,85.98,1.8,0.1,0.0,24.8,0,100,8230,85.84,25.8
1/19/2024 12:00,0,0,446,816.7,0.000,0,0,266,2.36,6.34,21.4,0.974,85.95,1.6,0.2,0.0,24.7,0,100,8242,85.81,25.5
1/19/2024 12:15,1,0,447,762.8,0.000,0,0,259,1.73,7.41,21.8,0.974,85.94,1.5,0.1,0.0,25.2,0,100,8250,85.79,26.3
1/19/2024 12:30,0,0,447,660.9,0.000,0,0,266,1.64,6.72,21.6,0.983,85.93,1.6,0.1,0.0,25.2,0,100,8256,85.79,26.5
1/19/2024 12:45,0,0,446,744.3,0.000,0,0,267,1.86,5.94,21.7,0.978,85.92,1.4,0.1,0.0,25.2,0,100,8263,85.78,26.6
1/19/2024 13:00,0,0,446,664.3,0.000,0,0,249,1.60,4.80,22.0,0.962,85.91,1.7,0.0,0.0,25.2,0,100,8271,85.76,26.9
