z6-15996,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 7,Port 7,Port 8,Port 8
Records: 1452,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
8/9/2023 8:00,15,15,548,163.7,0.017,0,0,229,1.27,3.33,18.2,1.000,86.30,0.9,0.1,1.0,18.6,100,7998,86.14,18.2
8/9/2023 8:15,15,15,463,191.7,0.000,0,0,218,1.25,5.53,18.4,0.999,86.30,0.9,0.1,0.0,19.1,100,8001,86.15,18.7
8/9/2023 8:30,15,1,457,254.9,0.000,0,0,221,1.24,3.94,18.7,0.995,86.30,0.9,0.1,0.0,19.5,100,8001,86.14,19.1
8/9/2023 8:45,15,0,456,374.2,0.000,0,0,198,0.95,2.79,19.4,1.001,86.29,0.9,0.1,0.0,20.8,100,8004,86.14,20.5
8/9/2023 9:00,15,0,456,421.9,0.000,0,0,229,1.09,3.98,19.7,0.996,86.31,0.9,0.1,0.0,21.6,100,8006,86.16,21.4
8/9/2023 9:15,15,0,455,582.4,0.000,0,0,186,1.18,3.37,20.7,0.994,86.32,0.9,0.1,0.0,22.7,100,8007,86.18,22.5
8/9/2023 9:30,15,0,454,692.3,0.000,0,0,211,1.26,4.20,21.2,0.993,86.32,1.0,0.1,0.0,23.6,100,8006,86.17,23.4
8/9/2023 9:45,15,0,453,772.5,0.000,0,0,219,1.42,4.43,22.0,0.978,86.31,0.9,0.1,0.0,24.7,100,8007,86.17,24.6
8/9/2023 10:00,15,0,452,815.5,0.000,0,0,244,1.31,3.28,22.4,0.961,86.32,0.9,0.1,0.0,25.2,100,8010,86.18,24.9
8/9/2023 10:15,15,0,452,812.7,0.000,0,0,205,1.42,3.47,22.7,0.968,86.32,0.9,0.1,0.0,25.9,100,8013,86.18,25.6
8/9/2023 10:30,15,0,452,683.1,0.000,0,0,248,1.25,3.38,22.4,0.977,86.32,0.9,0.0,0.0,25.9,100,8017,86.16,25.7
8/9/2023 10:45,15,0,452,705.7,0.000,0,0,231,1.28,4.34,22.6,0.967,86.31,0.9,0.1,0.0,25.7,100,8017,86.16,25.6
8/9/2023 11:00,15,0,453,833.2,0.000,0,0,274,1.56,3.60,22.5,0.972,86.30,1.0,0.0,0.0,25.9,100,8022,86.15,25.8
8/9/2023 11:15,15,0,453,481.8,0.000,0,0,230,1.48,4.43,21.7,0.985,86.30,0.9,0.1,0.0,25.2,100,8026,86.13,25.3
8/9/2023 11:30,15,0,452,737.5,0.000,0,0,173,1.48,3.90,22.6,0.958,86.27,1.0,0.1,0.0,25.2,100,8032,86.11,25.4
8/9/2023 11:45,15,0,452,868.8,0.000,0,0,215,1.24,3.02,23.0,0.956,86.26,0.9,0.1,0.0,25.7,100,8033,86.10,26.0
8/9/2023 12:00,15,0,451,884.9,0.000,0,0,218,1.20,3.51,23.1,0.940,86.25,1.0,0.1,0.0,25.7,100,8037,86.08,25.9
