z6-15996,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 7,Port 7,Port 8,Port 8
Records: 7383,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,Unrecognized,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, Sensor Output,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
8/24/2023 11:00,10,10,447,218.3,0.000,0,0,190,3.79,7.29,18.0,0.996,86.14,1.1,-0.3,0.0,18.9,0,100,8010,85.98,19.1
8/24/2023 11:15,15,14,804,205.7,0.357,0,0,190,3.84,9.58,18.1,1.001,86.15,0.5,0.0,8.2,18.8,0,100,8019,85.99,19.3
8/24/2023 11:30,15,15,788,259.7,0.068,0,0,197,3.81,8.71,18.0,1.002,86.15,0.9,-0.1,3.1,18.8,0,100,8020,85.99,19.0
8/24/2023 11:45,15,15,866,224.3,0.119,0,0,194,3.68,7.93,18.0,0.999,86.15,0.9,0.0,2.0,18.7,0,100,8023,85.99,19.0
8/24/2023 12:00,15,15,879,193.9,0.085,0,0,201,3.37,8.85,18.2,0.999,86.13,0.8,0.1,2.0,18.5,0,100,8025,85.97,18.9
8/24/2023 12:15,15,15,796,146.2,0.409,0,0,201,2.80,8.17,18.3,1.000,86.13,0.9,0.0,6.1,18.6,0,100,8026,85.97,18.9
8/24/2023 12:30,15,15,958,164.4,0.323,0,0,185,3.56,8.69,18.2,1.001,86.13,0.8,0.0,3.1,18.7,0,100,8026,85.96,18.8
8/24/2023 12:45,15,15,668,148.2,0.647,0,0,195,3.25,8.39,18.2,1.002,86.13,0.9,0.1,7.1,18.6,0,100,8027,85.96,18.7
