z6-15996,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 4,Port 5,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 2593,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ECRN-100,ECRN-100,Unrecognized,Unrecognized,Unrecognized,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, mm Precipitation, mm/h Max Precip Rate, Sensor Output, Sensor Output, Sensor Output,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
9/13/2024 9:00,5,5,467,304.2,0.000,0,0,214,1.19,1.35,19.1,0.924,86.14,1.6,0.1,0.0,19.6,0.0,0.0,0,0,0,100,8080,85.96,22.0
9/13/2024 9:15,15,15,465,160.2,0.000,0,0,207,1.16,3.24,19.0,1.002,86.18,1.6,0.1,0.0,19.7,0.0,0.0,0,0,0,100,8083,86.01,22.3
9/13/2024 9:30,15,8,457,282.6,0.000,0,0,192,1.44,4.34,19.2,1.001,86.19,1.6,0.2,0.0,19.8,0.0,0.0,0,0,0,100,8091,86.03,21.7
9/13/2024 9:45,15,0,456,354.3,0.000,0,0,189,1.56,4.61,19.9,0.997,86.20,1.6,0.2,0.0,20.8,0.0,0.0,0,0,0,100,8098,86.05,22.5
9/13/2024 10:00,15,0,456,244.5,0.000,0,0,213,1.15,4.81,19.7,1.006,86.21,1.6,0.2,0.0,21.0,0.0,0.0,0,0,0,100,8099,86.06,22.9
9/13/2024 10:15,15,0,456,294.5,0.000,0,0,206,1.09,3.44,19.7,0.999,86.21,1.6,0.2,0.0,21.3,0.0,0.0,0,0,0,100,8102,86.06,22.9
9/13/2024 10:30,15,0,457,187.9,0.000,0,0,202,1.06,2.33,19.9,1.000,86.20,1.6,0.2,0.0,21.4,0.0,0.0,0,0,0,100,8102,86.05,23.0
9/13/2024 10:45,15,0,456,245.7,0.000,0,0,195,0.90,2.67,19.6,1.000,86.19,1.5,0.1,0.0,21.2,0.0,0.0,0,0,0,100,8105,86.03,22.7
9/13/2024 11:00,15,0,456,235.0,0.000,0,0,212,1.23,4.77,19.5,0.999,86.17,1.6,0.2,0.0,21.3,0.0,0.0,0,0,0,100,8106,86.01,22.7
9/13/2024 11:15,15,0,456,237.6,0.000,0,0,223,1.36,3.43,19.5,1.004,86.14,1.6,0.2,0.0,21.1,0.0,0.0,0,0,0,100,8108,85.99,22.5
9/13/2024 11:30,15,0,456,229.3,0.000,0,0,201,1.54,3.55,19.6,0.996,86.14,1.5,0.1,0.0,21.1,0.0,0.0,0,0,0,100,8108,85.99,22.3
9/13/2024 11:45,15,0,455,249.4,0.000,0,0,186,1.37,2.14,20.0,1.001,86.14,1.5,0.1,0.0,21.2,0.0,0.0,0,0,0,100,8114,85.98,22.6
9/13/2024 12:00,15,0,454,258.3,0.000,0,0,188,1.46,3.44,20.0,0.997,86.11,1.7,0.2,0.0,21.4,0.0,0.0,0,0,0,100,8113,85.96,22.8
