z6-15996,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 7,Port 7,Port 8,Port 8
Records: 674,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
2/8/2024 11:45,15,6,452,521.4,0.000,0,0,236,1.27,3.21,17.9,0.987,86.22,1.5,0.1,0.0,20.2,0,,100,8273,86.07,21.7
2/8/2024 12:00,15,7,454,629.7,0.000,0,0,211,1.54,4.61,18.4,0.992,86.19,1.5,0.1,0.0,20.9,0,,100,8282,86.04,22.1
2/8/2024 12:15,15,2,451,593.9,0.000,0,0,194,1.54,5.44,18.8,0.987,86.17,1.6,0.0,0.0,21.3,0,,100,8286,86.02,22.7
2/8/2024 12:30,15,0,451,564.8,0.000,0,0,233,1.54,3.71,18.5,1.004,86.15,1.5,0.0,0.0,21.5,0,,100,8291,86.01,23.1
2/8/2024 12:45,15,2,470,472.8,0.000,0,0,264,1.45,5.01,18.3,0.995,86.15,1.6,0.1,0.0,21.2,0,,100,8286,86.00,22.9
2/8/2024 13:00,15,8,456,520.6,0.000,0,0,254,1.59,3.43,18.1,0.990,86.14,1.4,0.1,0.0,20.8,0,,100,8292,85.99,22.4
2/8/2024 13:15,15,12,482,427.1,0.000,0,0,248,1.29,4.01,18.1,0.997,86.14,1.5,0.0,0.0,20.5,0,,100,8295,85.98,22.0
2/8/2024 13:30,15,7,459,417.3,0.017,0,0,285,1.42,4.14,17.8,0.998,86.12,1.4,0.1,1.0,20.3,0,,100,8291,85.97,21.7
