z6-15996,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 7,Port 7,Port 8,Port 8
Records: 1337,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
6/5/2024 10:30,15,0,451,766.6,0.000,0,0,196,1.74,3.84,23.8,0.930,86.12,1.5,0.1,0.0,26.3,0.0,0.0,100,8045,85.95,28.0
6/5/2024 10:45,15,0,450,914.1,0.000,0,0,194,2.27,4.97,23.8,0.933,86.11,1.6,0.1,0.0,26.7,0.0,0.0,100,8048,85.95,28.3
6/5/2024 11:00,15,0,451,606.1,0.000,0,0,183,1.90,4.22,23.9,0.932,86.11,1.5,0.1,0.0,26.6,0.0,0.0,100,8050,85.94,28.0
6/5/2024 11:15,15,0,452,251.8,0.000,0,0,202,2.13,4.26,22.4,0.987,86.11,1.5,0.1,0.0,25.5,0.0,0.0,100,8049,85.93,26.9
6/5/2024 11:30,15,0,452,465.5,0.000,0,0,202,2.39,5.33,22.2,0.983,86.10,1.5,0.2,0.0,24.7,0.0,0.0,100,8055,85.93,26.2
6/5/2024 11:45,15,0,451,564.7,0.000,0,0,189,1.88,5.46,22.5,0.969,86.09,1.5,0.2,0.0,24.6,0.0,0.0,100,8064,85.92,26.2
6/5/2024 12:00,15,0,451,439.3,0.000,0,0,194,2.06,3.89,22.5,0.972,86.08,1.4,0.1,0.0,24.8,0.0,0.0,100,8070,85.90,26.5
6/5/2024 12:15,15,0,452,501.9,0.000,0,0,197,2.24,4.77,22.9,0.970,86.05,1.5,0.0,0.0,25.3,0.0,0.0,100,8078,85.88,27.0
6/5/2024 12:30,15,1,456,349.5,0.000,1,20,197,2.10,4.22,22.0,0.994,86.05,1.4,0.1,0.0,24.7,0.0,0.0,100,8080,85.88,26.5
6/5/2024 12:45,15,3,703,326.0,0.000,1,20,199,2.16,5.27,21.8,0.995,86.04,1.5,0.2,0.0,24.3,0.0,0.0,100,8080,85.86,26.1
