z6-15996,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 7,Port 7,Port 8,Port 8
Records: 793,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
7/31/2024 9:15,15,15,471,171.9,0.000,0,0,206,1.55,4.68,19.2,0.997,86.14,1.4,0.1,0.0,20.2,0.0,0.0,100,8010,85.98,20.8
7/31/2024 9:30,15,10,461,227.9,0.000,0,0,211,1.63,4.12,19.2,0.995,86.16,1.5,0.1,0.0,20.5,0.0,0.0,100,8012,86.00,21.1
7/31/2024 9:45,15,12,654,184.8,0.528,0,0,198,1.22,3.03,19.3,1.005,86.18,1.5,0.2,10.2,20.6,0.0,0.0,100,8016,86.02,21.2
7/31/2024 10:00,15,15,538,277.7,0.051,0,0,184,1.40,3.15,19.6,0.996,86.16,1.6,0.2,1.0,20.8,0.0,0.0,100,8019,86.01,21.1
7/31/2024 10:15,15,15,489,435.1,0.000,0,0,186,1.45,4.21,20.2,1.002,86.18,1.6,0.1,0.0,21.4,0.0,0.0,100,8026,86.02,21.8
7/31/2024 10:30,15,6,455,529.2,0.000,0,0,181,1.59,3.55,20.8,1.002,86.16,1.6,0.1,0.0,22.3,0.0,0.0,100,8033,86.00,23.3
7/31/2024 10:45,15,2,460,369.4,0.000,0,0,179,1.35,3.98,21.0,0.999,86.14,1.6,0.2,0.0,22.9,0.0,0.0,100,8037,85.98,24.5
7/31/2024 11:00,15,15,921,95.1,3.570,0,0,180,1.06,3.56,20.7,1.001,86.15,1.6,0.2,49.0,22.5,0.0,0.0,100,8034,85.99,24.1
7/31/2024 11:15,15,15,864,40.3,17.749,1,1,220,1.14,4.62,19.4,1.002,86.18,1.6,0.2,102.0,20.9,2.8,24.0,100,8031,86.02,21.8
7/31/2024 11:30,15,15,666,43.9,7.923,0,0,165,2.25,6.31,18.0,1.002,86.16,1.6,0.0,86.7,19.1,2.6,36.0,100,8026,85.99,20.1
7/31/2024 11:45,15,15,642,51.1,0.664,1,14,194,0.86,2.02,18.4,0.999,86.15,1.5,0.2,7.1,18.5,0.2,12.0,100,8023,85.98,19.5
7/31/2024 12:00,15,15,627,34.7,0.187,0,0,176,1.12,2.68,18.7,0.999,86.13,1.5,0.1,2.0,18.6,0.0,0.0,100,8021,85.96,19.3
