z6-15996,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 7,Port 7,Port 8,Port 8
Records: 5380,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
6/29/2023 10:00,15,0,452,447.5,0.000,0,0,289,1.27,3.87,21.1,0.946,86.05,0.8,0.0,0.0,23.8,100,8170,85.89,24.1
6/29/2023 10:15,15,0,452,648.5,0.000,0,0,43,1.31,4.97,21.4,0.939,86.02,0.9,0.1,0.0,23.9,100,8178,85.87,24.3
6/29/2023 10:30,15,0,452,555.9,0.000,0,0,338,1.49,5.66,21.6,0.938,86.01,0.8,0.1,0.0,24.2,100,8185,85.85,24.7
6/29/2023 10:45,15,0,451,742.7,0.000,0,0,231,1.11,5.70,22.0,0.925,86.00,0.9,0.0,0.0,24.5,100,8196,85.84,25.1
6/29/2023 11:00,15,0,452,487.0,0.000,0,0,295,1.15,5.33,21.7,0.946,85.99,0.9,0.0,0.0,24.7,100,8201,85.83,25.4
6/29/2023 11:15,15,0,452,677.1,0.000,0,0,260,1.29,4.58,22.1,0.925,85.99,0.8,0.0,0.0,24.5,100,8208,85.83,25.4
6/29/2023 11:30,11,0,450,809.5,0.000,0,0,264,1.35,4.53,22.6,0.906,85.96,0.9,0.0,0.0,24.6,100,8219,85.80,25.6
6/29/2023 11:45,4,0,450,865.3,0.000,0,0,231,1.59,6.20,22.9,0.903,85.95,0.9,0.0,0.0,25.1,100,8229,85.79,26.1
6/29/2023 12:00,9,0,450,804.3,0.000,0,0,324,1.33,3.60,22.9,0.906,85.94,0.9,0.1,0.0,25.2,100,8242,85.78,26.4
6/29/2023 12:15,3,0,450,796.5,0.000,0,0,273,1.34,3.60,23.0,0.920,85.93,0.9,0.1,0.0,25.8,100,8245,85.78,27.1
6/29/2023 12:30,1,0,449,819.6,0.000,0,0,195,1.39,3.70,23.4,0.897,85.93,0.9,0.1,0.0,25.9,100,8251,85.77,27.3
6/29/2023 12:45,1,0,450,764.7,0.000,0,0,277,1.58,4.65,23.3,0.902,85.92,0.8,0.0,0.0,26.1,100,8260,85.76,27.7
6/29/2023 13:00,1,0,450,711.9,0.000,0,0,194,1.38,4.01,23.4,0.899,85.91,0.8,0.0,0.0,26.2,100,8261,85.75,27.8
