z6-15996,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 7,Port 7,Port 8,Port 8
Records: 2101,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
7/9/2024 11:45,15,0,454,180.9,0.000,0,0,197,0.70,2.22,20.7,0.997,86.09,1.5,0.1,0.0,23.6,0.0,0.0,100,8029,85.92,25.0
7/9/2024 12:00,15,0,458,163.7,0.000,0,0,183,1.06,2.25,20.7,1.000,86.09,1.5,0.2,0.0,22.9,0.0,0.0,100,8033,85.92,24.3
7/9/2024 12:15,15,5,456,109.3,0.000,0,0,198,1.22,2.68,20.2,0.998,86.08,1.6,0.2,0.0,22.1,0.0,0.0,100,8027,85.91,23.4
7/9/2024 12:30,15,7,454,267.4,0.000,0,0,182,1.51,2.69,20.0,0.994,86.03,1.5,0.1,0.0,21.8,0.0,0.0,100,8029,85.86,23.0
7/9/2024 12:45,15,0,453,411.4,0.000,3,16,199,1.65,2.87,20.5,1.015,85.99,1.5,0.1,0.0,22.3,0.0,0.0,100,8039,85.82,23.6
7/9/2024 13:00,15,0,454,243.7,0.000,0,0,174,1.17,2.21,21.2,0.993,85.98,1.6,0.1,0.0,23.1,0.0,0.0,100,8038,85.81,24.5
7/9/2024 13:15,15,0,454,122.3,0.000,0,0,209,0.65,1.57,21.0,0.999,85.96,1.5,0.1,0.0,22.9,0.0,0.0,100,8036,85.79,24.3
7/9/2024 13:30,15,0,453,368.2,0.000,0,0,217,0.70,1.87,21.2,1.003,85.93,1.6,0.1,0.0,23.2,0.0,0.0,100,8044,85.76,24.5
7/9/2024 13:45,15,0,452,381.5,0.000,0,0,228,0.79,1.92,21.4,0.998,85.93,1.6,0.2,0.0,23.8,0.0,0.0,100,8049,85.76,25.2
7/9/2024 14:00,15,0,453,277.0,0.000,0,0,192,0.93,2.71,21.7,0.996,85.92,1.6,0.2,0.0,24.2,0.0,0.0,100,8051,85.75,25.6
