z6-15935,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 7,Port 7,Port 8,Port 8
Records: 1333,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
5/22/2024 10:45,4,0,447,610.0,0.000,0,0,74,2.00,6.94,21.9,0.969,86.15,2.0,-0.1,0.0,24.2,0.0,0.0,100,8135,86.01,25.4
5/22/2024 11:00,3,0,448,608.2,0.000,0,0,29,2.21,5.88,21.9,0.973,86.16,2.1,-0.2,0.0,24.5,0.0,0.0,100,8137,86.04,26.1
5/22/2024 11:15,0,0,449,640.7,0.000,0,0,73,1.72,4.37,22.3,0.954,86.16,2.0,-0.1,0.0,24.9,0.0,0.0,100,8139,86.04,26.4
5/22/2024 11:30,0,0,448,569.0,0.000,0,0,67,2.20,4.96,22.3,0.942,86.15,2.0,0.0,0.0,25.1,0.0,0.0,100,8138,86.04,26.6
5/22/2024 11:45,0,0,447,734.9,0.000,0,0,12,2.44,5.72,22.6,0.910,86.15,2.1,-0.2,0.0,24.8,0.0,0.0,100,8141,86.03,26.3
5/22/2024 12:00,0,0,447,857.8,0.000,0,0,3,3.06,6.45,22.7,0.914,86.14,2.1,0.0,0.0,25.3,0.0,0.0,100,8142,86.02,26.3
5/22/2024 12:15,0,0,448,710.7,0.000,0,0,358,3.14,5.85,22.7,0.900,86.13,2.1,-0.2,0.0,25.1,0.0,0.0,100,8144,86.01,26.1
5/22/2024 12:30,0,0,448,722.7,0.000,0,0,47,2.56,5.28,22.8,0.912,86.13,2.0,-0.1,0.0,25.2,0.0,0.0,100,8146,86.01,26.4
