z6-15935,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 7,Port 7,Port 8,Port 8
Records: 1439,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
3/13/2024 10:45,5,0,450,685.2,0.000,0,0,85,5.49,12.13,18.2,0.992,86.10,2.1,-0.4,0.0,20.4,0.0,0.0,100,8140,85.99,21.0
3/13/2024 11:00,11,0,451,568.8,0.000,0,0,80,5.19,11.16,18.1,0.987,86.10,2.2,-0.3,0.0,20.3,0.0,0.0,100,8143,85.99,21.2
3/13/2024 11:15,15,0,451,425.4,0.000,0,0,75,4.49,9.89,17.7,1.003,86.10,2.1,-0.3,0.0,20.0,0.0,0.0,100,8143,85.99,21.1
3/13/2024 11:30,9,0,449,897.7,0.000,0,0,88,4.84,9.90,18.8,0.982,86.06,2.0,-0.2,0.0,20.6,0.0,0.0,100,8148,85.95,21.4
3/13/2024 11:45,7,0,451,631.3,0.000,0,0,79,4.67,11.28,18.8,0.982,86.04,2.3,-0.4,0.0,21.1,0.0,0.0,100,8149,85.93,21.9
3/13/2024 12:00,14,0,450,783.9,0.000,0,0,74,4.17,11.67,18.8,0.996,86.02,2.1,-0.7,0.0,21.0,0.0,0.0,100,8153,85.91,21.9
3/13/2024 12:15,12,0,450,785.8,0.000,0,0,76,5.36,13.47,19.0,0.987,85.99,2.3,-0.1,0.0,21.3,0.0,0.0,100,8152,85.88,22.1
3/13/2024 12:30,14,0,451,787.6,0.000,0,0,79,5.47,11.04,18.8,0.991,85.97,2.1,-0.3,0.0,21.3,0.0,0.0,100,8153,85.86,22.3
3/13/2024 12:45,15,0,451,783.1,0.000,0,0,80,4.44,11.84,19.2,0.972,85.95,1.9,-0.3,0.0,21.2,0.0,0.0,100,8152,85.85,22.3
3/13/2024 13:00,12,0,450,780.9,0.000,0,0,79,4.65,10.15,19.5,0.972,85.95,2.1,-0.3,0.0,21.6,0.0,0.0,100,8151,85.83,22.9
3/13/2024 13:15,15,0,451,714.1,0.000,0,0,85,3.96,10.16,19.4,0.973,85.93,2.1,-0.2,0.0,21.6,0.0,0.0,100,8146,85.82,23.0
3/13/2024 13:30,15,0,450,645.9,0.000,0,0,81,4.93,11.48,19.4,0.966,85.91,2.0,-0.1,0.0,21.5,0.0,0.0,100,8149,85.79,22.9
3/13/2024 13:45,15,0,451,683.1,0.000,0,0,87,4.19,9.36,19.4,0.974,85.90,2.2,-0.2,0.0,21.5,0.0,0.0,100,8143,85.78,23.1
3/13/2024 14:00,15,0,451,696.7,0.000,0,0,81,4.48,12.75,20.0,0.952,85.88,2.2,-0.3,0.0,21.6,0.0,0.0,100,8145,85.76,23.4
3/13/2024 14:15,15,0,450,619.8,0.000,0,0,84,4.18,9.24,19.7,0.978,85.86,2.3,-0.2,0.0,21.9,0.0,0.0,100,8143,85.75,23.5
3/13/2024 14:30,15,0,451,349.2,0.000,0,0,85,4.20,7.99,19.2,0.993,85.86,2.3,-0.2,0.0,21.5,0.0,0.0,100,8140,85.74,23.1
3/13/2024 14:45,15,0,452,405.3,0.000,0,0,85,3.79,8.39,19.3,0.988,85.85,2.0,-0.2,0.0,21.3,0.0,0.0,100,8139,85.73,23.0
3/13/2024 15:00,15,0,452,329.4,0.000,0,0,82,3.48,8.90,18.8,0.996,85.84,2.2,-0.3,0.0,20.7,0.0,0.0,100,8137,85.73,22.2
3/13/2024 15:15,15,0,452,349.7,0.000,0,0,91,3.89,8.88,19.0,0.995,85.84,1.9,0.0,0.0,20.7,0.0,0.0,100,8134,85.72,22.5
3/13/2024 15:30,15,0,453,213.1,0.000,0,0,79,3.80,9.93,18.4,0.998,85.83,2.2,-0.1,0.0,20.3,0.0,0.0,100,8134,85.72,21.6
3/13/2024 15:45,15,0,452,338.7,0.000,0,0,81,3.57,8.08,18.7,0.994,85.82,2.0,-0.4,0.0,20.0,0.0,0.0,100,8131,85.70,21.9
3/13/2024 16:00,15,0,454,128.1,0.000,0,0,77,4.00,8.34,18.3,1.003,85.83,2.1,-0.1,0.0,19.8,0.0,0.0,100,8129,85.71,21.1
3/13/2024 16:15,15,0,454,110.3,0.000,0,0,92,3.55,7.89,18.1,1.001,85.85,2.1,-0.2,0.0,19.1,0.0,0.0,100,8126,85.73,20.2
3/13/2024 16:30,15,0,454,132.2,0.000,0,0,104,4.07,9.40,18.0,0.999,85.87,2.0,-0.2,0.0,18.8,0.0,0.0,100,8123,85.75,20.0
3/13/2024 16:45,15,0,455,85.5,0.000,0,0,105,4.08,8.82,18.0,0.998,85.87,1.8,0.6,0.0,18.5,0.0,0.0,100,8121,85.76,19.5
3/13/2024 17:00,15,0,456,58.9,0.000,0,0,108,3.48,8.56,17.8,1.001,85.88,2.0,0.0,0.0,18.3,0.0,0.0,100,8120,85.77,19.2
