z6-15979,Port 3,Port 3,Port 7,Port 7,Port 8,Port 8
Records: 1352,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
6/7/2024 9:00,0,0,100,7859,86.12,20.1
6/7/2024 9:15,0,0,100,7859,86.11,20.1
6/7/2024 9:30,0,0,100,7856,86.1,20.1
6/7/2024 9:45,0,0,100,7856,86.1,20.1
6/7/2024 10:00,0,0,100,7859,86.1,20.1
6/7/2024 10:15,0,0,100,7855,86.1,20.1
6/7/2024 10:30,0,0,100,7855,86.09,20.1
6/7/2024 10:45,0,0,100,7855,86.09,20.1
6/7/2024 11:00,0,0,100,7855,86.09,20.1
6/7/2024 11:15,0,0,100,7855,86.08,20.1
6/7/2024 11:30,0,0,100,7856,86.08,20.2
6/7/2024 11:45,0,0,100,7855,86.08,20.2
6/7/2024 12:00,0,0,100,7855,86.07,20.2
6/7/2024 12:15,0,0,100,7857,86.06,20.2
6/7/2024 12:30,0,0,100,7855,86.04,20.2
6/7/2024 12:45,0,0,100,7854,86.03,20.1
6/7/2024 13:00,0,0,100,7855,86.02,20.1
6/7/2024 13:15,0,0,100,7855,86.01,20.2
6/7/2024 13:30,0,0,100,7855,86.01,20.2
6/7/2024 13:45,0,0,100,7852,85.99,20.1
6/7/2024 14:00,0,0,100,7854,85.97,20.1
6/7/2024 14:15,0,0,100,7853,85.95,20.1
6/7/2024 14:30,0,0,100,7855,85.95,20.2
6/7/2024 14:45,0,0,100,7855,85.92,20.2
6/7/2024 15:00,0,0,100,7856,85.92,20.1
6/7/2024 15:15,0,0,100,7854,85.95,19.9
6/7/2024 15:30,0,0,100,7852,85.94,19.4
6/7/2024 15:45,0,0,100,7852,85.94,19.2
6/7/2024 16:00,0,0,100,7851,85.93,19.1
6/7/2024 16:15,0,0,100,7850,85.94,19
6/7/2024 16:30,0,0,100,7849,85.91,19.1
6/7/2024 16:45,0,0,100,7854,85.94,19.1
6/7/2024 17:00,0,0,100,7851,85.95,19
6/7/2024 17:15,0,0,100,7851,85.96,18.9
6/7/2024 17:30,0,0,100,7849,85.97,18.9
6/7/2024 17:45,0,0,100,7852,85.97,18.8
6/7/2024 18:00,0,0,100,7849,85.99,18.7
