z6-15979,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 1,Port 1,Port 1,Port 7,Port 7,Port 8,Port 8
Records: 1728,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
11/16/2023 11:00,130.7,1.243,0,0,267,1.37,2.11,19.9,0.998,85.87,2.1,-0.4,21.4,20.6,#N/A,#N/A,#N/A,100,7961,85.77,21.3
11/16/2023 11:15,185.6,0.017,0,0,268,1.31,1.89,20.1,1.001,85.84,2.1,-0.3,1,20.8,#N/A,#N/A,#N/A,100,7963,85.73,21.3
11/16/2023 11:30,284.1,0,0,0,280,1.34,2.14,20.2,1,85.81,2,-0.3,0,21.1,#N/A,#N/A,#N/A,100,7966,85.71,21.6
11/16/2023 11:45,243.5,0,0,0,309,1.36,3.07,20.3,0.999,85.79,2.1,-0.3,0,21.8,#N/A,#N/A,#N/A,100,7966,85.68,22.5
11/16/2023 12:00,215,0,0,0,318,1.31,2.25,20.6,1.001,85.77,2.1,-0.3,0,21.8,#N/A,#N/A,#N/A,100,7967,85.67,22.6
11/16/2023 12:15,271,0,0,0,330,1.71,2.62,20.7,1.004,85.75,2.1,-0.3,0,22.3,#N/A,#N/A,#N/A,100,7973,85.64,23
11/16/2023 12:30,235.7,0,0,0,331,2.07,2.65,20.9,1.001,85.73,2.2,-0.3,0,22.5,#N/A,#N/A,#N/A,100,7971,85.63,23.2
11/16/2023 12:45,101.3,0.017,0,0,357,1.73,2.62,20.5,1.003,85.72,2.2,-0.4,1,22,#N/A,#N/A,#N/A,100,7966,85.61,23
11/16/2023 13:00,117.9,0.051,0,0,349,1.55,2.45,20.3,1.001,85.7,2,-0.3,2,21.3,#N/A,#N/A,#N/A,100,7964,85.59,22.4
11/16/2023 13:15,428.3,0.153,1,27,330,1.42,2.18,20.8,0.999,85.68,2.1,-0.4,2,21.6,#N/A,#N/A,#N/A,100,7967,85.58,22.7
11/16/2023 13:30,467.9,0,0,0,308,1.54,3.09,21.8,1.002,85.66,2.1,-0.3,0,23.3,#N/A,#N/A,#N/A,100,7975,85.57,24.4
11/16/2023 13:45,175.6,0,0,0,332,1.74,2.58,20.9,1.001,85.65,2.1,-0.4,0,23.1,#N/A,#N/A,#N/A,100,7976,85.55,24.5
