z6-15979,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 1,Port 1,Port 1,Port 7,Port 7,Port 8,Port 8
Records: 200,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
11/14/2023 8:45,619.1,0,0,0,64,1.84,3.32,20.3,0.998,85.86,2.1,1.1,0,24.4,#N/A,#N/A,#N/A,100,8056,85.79,25.5
11/14/2023 9:00,576.5,0,0,0,331,1.43,2.92,21.2,1.004,85.87,2.2,-0.3,0,25.4,#N/A,#N/A,#N/A,100,8070,85.8,26.4
11/14/2023 9:15,610.5,0,0,0,338,1.87,3.28,21.1,0.998,85.89,2.2,-0.4,0,25.6,#N/A,#N/A,#N/A,100,8080,85.81,27
11/14/2023 9:30,309.7,0,0,0,343,2.31,4.12,20.4,1.003,85.92,2.2,-0.4,0,25,#N/A,#N/A,#N/A,100,8075,85.82,26.7
11/14/2023 9:45,207.6,0,0,0,340,2.18,3.31,20.3,1,85.94,2.2,-0.4,0,23.2,#N/A,#N/A,#N/A,100,8074,85.83,25.4
11/14/2023 10:00,212.5,0,0,0,326,1.7,2.87,20.8,0.998,85.94,2.1,-0.3,0,22.6,#N/A,#N/A,#N/A,100,8070,85.83,24.4
11/14/2023 10:15,382.7,0,0,0,334,1.69,3.03,21.2,1.004,85.91,2.1,-0.3,0,23.1,#N/A,#N/A,#N/A,100,8077,85.81,24.7
11/14/2023 10:30,194.8,0,0,0,358,2.08,3.59,20.6,0.998,85.9,2.1,-0.4,0,23.1,#N/A,#N/A,#N/A,100,8074,85.8,24.7
11/14/2023 10:45,156.1,0,0,0,350,1.48,2.91,20.7,0.997,85.89,2.1,-0.4,0,22.3,#N/A,#N/A,#N/A,100,8071,85.78,23.9
11/14/2023 11:00,158.4,0,0,0,345,1.66,3.26,20.5,0.999,85.86,2.1,-0.4,0,22.1,#N/A,#N/A,#N/A,100,8069,85.76,23.5
