z6-16001,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 7,Port 7,Port 8,Port 8
Records: 2235,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
7/9/2024 8:15,7,0,454,318.0,0.000,0,0,94,1.91,5.05,19.4,0.955,86.01,2.2,-0.2,0.0,20.5,0.0,0.0,93,7748,85.89,22.4
7/9/2024 8:30,15,0,454,313.9,0.000,0,0,92,2.44,6.50,19.4,0.995,86.00,2.3,-0.1,0.0,20.9,0.0,0.0,95,7759,85.90,22.6
7/9/2024 8:45,15,0,455,210.6,0.000,0,0,92,2.42,6.89,19.4,0.997,86.01,2.2,0.1,0.0,20.8,0.0,0.0,95,7763,85.90,22.5
7/9/2024 9:00,15,0,454,253.3,0.000,0,0,98,3.07,6.37,19.2,0.998,86.01,2.1,0.0,0.0,20.5,0.0,0.0,96,7767,85.90,22.0
7/9/2024 9:15,15,0,454,345.9,0.000,0,0,104,3.52,7.44,19.3,1.000,85.99,2.3,-0.1,0.0,20.6,0.0,0.0,96,7773,85.88,22.0
7/9/2024 9:30,15,0,452,401.5,0.000,0,0,106,2.65,6.26,19.8,0.993,85.95,2.3,0.0,0.0,21.0,0.0,0.0,97,7781,85.84,22.3
7/9/2024 9:45,15,0,452,353.9,0.000,0,0,114,3.61,7.94,20.4,0.985,85.96,2.1,-0.1,0.0,21.7,0.0,0.0,98,7790,85.86,22.9
7/9/2024 10:00,15,0,452,356.2,0.000,0,0,96,2.21,8.51,20.4,0.985,85.98,2.1,-0.1,0.0,21.9,0.0,0.0,99,7798,85.87,23.1
7/9/2024 10:15,15,0,451,346.7,0.000,0,0,104,1.46,4.55,20.5,0.996,85.99,2.2,-0.1,0.0,22.4,0.0,0.0,100,7804,85.88,23.6
7/9/2024 10:30,15,0,450,394.7,0.000,0,0,303,1.08,2.75,21.1,0.992,85.96,2.2,0.0,0.0,23.0,0.0,0.0,100,7811,85.85,24.3
7/9/2024 10:45,6,0,451,441.8,0.000,0,0,337,2.06,3.49,21.6,0.991,85.95,2.2,0.0,0.0,24.2,0.0,0.0,100,7819,85.85,25.0
7/9/2024 11:00,15,0,450,477.1,0.000,0,0,353,1.66,3.17,21.6,0.992,85.96,2.2,-0.1,0.0,24.5,0.0,0.0,100,7827,85.85,25.2
7/9/2024 11:15,14,0,452,376.0,0.000,0,0,356,2.11,3.58,21.0,1.009,85.97,2.2,-0.1,0.0,24.5,0.0,0.0,100,7832,85.87,25.7
7/9/2024 11:30,15,0,452,324.9,0.000,0,0,28,2.12,4.02,20.4,1.010,86.00,2.2,0.0,0.0,23.5,0.0,0.0,100,7837,85.89,24.7
7/9/2024 11:45,15,0,455,198.3,0.000,0,0,24,2.00,3.89,19.9,0.996,86.02,2.2,-0.1,0.0,22.5,0.0,0.0,100,7836,85.91,24.1
7/9/2024 12:00,15,4,460,172.5,0.000,0,0,61,2.12,3.87,19.1,1.000,86.02,2.1,-0.1,0.0,21.4,0.0,0.0,100,7833,85.91,23.1
7/9/2024 12:15,15,12,460,122.3,0.000,0,0,37,1.44,3.19,19.2,0.998,86.01,2.2,0.0,0.0,20.7,0.0,0.0,100,7834,85.90,22.4
7/9/2024 12:30,15,12,455,261.9,0.000,0,0,356,1.06,2.05,19.1,1.002,85.96,2.2,0.0,0.0,20.6,0.0,0.0,100,7836,85.85,22.0
7/9/2024 12:45,14,0,450,500.2,0.000,4,16,353,1.23,2.63,20.2,0.997,85.92,2.2,-0.1,0.0,21.6,0.0,0.0,100,7846,85.81,22.9
7/9/2024 13:00,8,0,453,257.4,0.000,0,0,317,1.21,3.25,21.2,1.004,85.90,2.3,-0.1,0.0,23.2,0.0,0.0,100,7849,85.79,24.4
7/9/2024 13:15,15,0,455,120.0,0.000,0,0,341,1.87,3.14,20.5,1.002,85.89,2.2,-0.1,0.0,22.9,0.0,0.0,100,7845,85.78,23.7
7/9/2024 13:30,15,0,452,417.3,0.000,0,0,348,1.74,4.13,20.9,0.996,85.86,2.1,-0.1,0.0,22.9,0.0,0.0,100,7852,85.75,23.6
7/9/2024 13:45,15,0,452,443.9,0.000,0,0,11,1.86,3.15,21.1,1.007,85.86,2.2,0.0,0.0,23.5,0.0,0.0,100,7859,85.75,24.3
7/9/2024 14:00,15,0,452,306.6,0.000,0,0,41,1.51,2.87,21.2,1.005,85.85,2.2,0.0,0.0,23.7,0.0,0.0,100,7862,85.74,25.0
7/9/2024 14:15,15,0,452,352.7,0.000,0,0,5,1.42,3.06,21.4,0.997,85.85,2.3,-0.1,0.0,23.8,0.0,0.0,100,7865,85.74,25.1
7/9/2024 14:30,15,0,451,449.1,0.000,0,0,347,2.18,4.43,21.3,1.005,85.84,2.2,-0.1,0.0,23.9,0.0,0.0,100,7868,85.73,25.0
7/9/2024 14:45,15,0,455,312.9,0.000,0,0,9,2.02,3.49,21.0,0.997,85.82,2.2,-0.1,0.0,24.0,0.0,0.0,100,7871,85.71,25.1
7/9/2024 15:00,15,0,454,173.8,0.000,0,0,14,1.75,4.53,20.5,1.001,85.83,2.2,-0.1,0.0,22.8,0.0,0.0,100,7868,85.72,23.9
7/9/2024 15:15,15,4,585,177.9,0.000,0,0,20,2.00,4.23,20.1,1.003,85.81,2.2,-0.1,0.0,22.0,0.0,0.0,100,7870,85.70,23.2
7/9/2024 15:30,15,15,705,144.9,2.209,0,0,359,2.17,4.92,19.5,1.003,85.78,2.1,-0.1,27.5,21.2,0.0,0.0,100,7869,85.67,22.2
7/9/2024 15:45,15,15,654,90.3,0.000,0,0,2,2.21,4.95,19.4,1.000,85.81,2.1,0.0,0.0,20.4,0.0,0.0,100,7865,85.69,21.3
7/9/2024 16:00,15,15,706,141.3,0.000,3,12,14,2.07,4.47,19.3,0.997,85.79,2.1,0.1,0.0,20.1,0.0,0.0,100,7866,85.68,20.9
7/9/2024 16:15,15,15,965,89.3,2.447,20,9,38,2.77,7.98,19.3,1.001,85.78,2.2,0.0,43.9,19.9,0.0,0.0,100,7868,85.67,20.7
7/9/2024 16:30,15,15,903,18.2,7.566,51,3,45,1.66,3.77,19.4,1.000,85.80,2.2,0.0,61.2,19.6,0.0,0.0,100,7861,85.69,20.3
7/9/2024 16:45,15,15,964,2.1,17.732,49,1,37,2.00,6.34,19.1,1.000,85.82,2.0,-0.1,141.8,19.3,0.0,0.0,100,7862,85.71,20.0
7/9/2024 17:00,15,15,835,0.0,4.353,37,1,#N/A,#N/A,#N/A,18.8,1.000,85.84,2.2,-0.1,55.1,18.9,0.0,0.0,100,7862,85.73,19.5
7/9/2024 17:15,15,15,776,0.0,1.515,25,1,#N/A,#N/A,#N/A,18.6,1.001,85.89,2.1,-0.1,12.2,18.6,0.0,0.0,100,7859,85.78,19.2
7/9/2024 17:30,15,15,716,0.0,1.243,15,1,#N/A,#N/A,#N/A,18.1,1.002,85.90,2.1,-0.1,15.3,18.4,0.0,0.0,100,7859,85.79,19.0
7/9/2024 17:45,15,15,781,0.0,0.647,12,7,#N/A,#N/A,#N/A,18.1,0.999,85.95,2.1,0.0,4.1,18.1,0.0,0.0,100,7858,85.84,18.7
7/9/2024 18:00,15,15,846,0.0,0.647,11,1,#N/A,#N/A,#N/A,18.0,1.001,85.97,2.2,0.0,4.1,18.0,0.0,0.0,100,7857,85.86,18.5
7/9/2024 18:15,15,15,728,0.0,0.698,5,1,#N/A,#N/A,#N/A,17.9,0.999,85.97,2.1,0.0,4.1,17.8,0.0,0.0,100,7857,85.86,18.4
7/9/2024 18:30,15,15,671,0.0,0.187,1,27,#N/A,#N/A,#N/A,18.0,0.999,85.99,2.2,0.0,2.0,17.8,0.0,0.0,100,7856,85.88,18.3
7/9/2024 18:45,15,15,606,0.0,0.102,0,0,#N/A,#N/A,#N/A,17.9,1.001,85.98,2.1,0.0,1.0,17.9,0.0,0.0,100,7855,85.87,18.2
7/9/2024 19:00,15,15,572,0.0,0.068,0,0,#N/A,#N/A,#N/A,17.7,1.002,85.99,2.1,0.0,1.0,17.7,0.0,0.0,100,7855,85.88,18.1
7/9/2024 19:15,15,15,486,0.0,0.000,0,0,#N/A,#N/A,#N/A,17.3,1.001,86.01,2.1,0.0,0.0,17.5,0.0,0.0,100,7852,85.90,17.9
