z6-16001,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 7,Port 7,Port 8,Port 8
Records: 4499,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
9/26/2024 12:00,0,0,449,818.5,0.000,0,0,13,1.75,3.22,23.6,0.946,86.05,2.4,-0.1,0.0,27.1,0.0,0.0,100,8206,85.90,28.2
9/26/2024 12:15,0,0,448,766.7,0.000,0,0,354,1.49,3.39,24.1,0.896,86.04,2.4,0.0,0.0,27.1,0.0,0.0,100,8222,85.88,28.3
9/26/2024 12:30,0,0,448,899.7,0.000,0,0,355,1.80,4.61,24.6,0.900,86.02,2.4,-0.1,0.0,27.8,0.0,0.0,100,8237,85.87,29.2
9/26/2024 12:45,0,0,449,729.3,0.000,0,0,9,2.10,4.60,23.9,0.921,86.00,2.4,-0.1,0.0,27.8,0.0,0.0,100,8248,85.85,29.3
9/26/2024 13:00,0,0,449,534.9,0.000,0,0,12,1.81,4.51,23.5,0.953,85.99,2.4,0.0,0.0,27.1,0.0,0.0,100,8244,85.83,28.8
9/26/2024 13:15,9,0,450,247.1,0.000,0,0,349,1.36,3.36,23.1,0.954,85.98,2.3,-0.1,0.0,26.2,0.0,0.0,100,8237,85.82,27.9
9/26/2024 13:30,15,0,451,169.4,0.000,0,0,348,1.10,3.32,22.8,0.971,85.97,2.3,0.0,0.0,25.3,0.0,0.0,100,8227,85.81,26.8
9/26/2024 13:45,15,9,680,96.7,0.664,0,0,332,1.24,3.34,22.0,0.978,85.96,2.3,0.0,7.1,24.3,0.0,0.0,100,8222,85.80,25.6
9/26/2024 14:00,15,15,912,95.9,5.370,2,26,341,1.09,2.73,20.2,1.005,85.96,2.2,0.0,34.7,22.3,0.0,0.0,100,8213,85.80,23.4
9/26/2024 14:15,15,15,870,42.7,15.604,3,14,357,1.83,4.08,17.7,1.005,85.97,2.2,0.0,138.7,19.9,5.2,96.0,100,8206,85.81,21.1
9/26/2024 14:30,15,15,881,24.9,23.681,18,5,38,2.03,4.35,16.7,0.998,85.96,2.3,-0.1,192.8,17.5,22.8,288.0,100,8202,85.79,19.2
9/26/2024 14:45,15,15,895,16.1,17.630,15,1,#N/A,#N/A,#N/A,16.8,1.001,85.92,2.2,0.0,138.7,17.1,9.8,60.0,100,8194,85.80,18.5
9/26/2024 15:00,15,15,911,16.9,8.077,23,1,#N/A,#N/A,#N/A,16.6,1.001,85.92,2.1,0.0,51.0,16.7,6.8,48.0,100,8192,85.77,17.9
9/26/2024 15:15,15,15,871,10.5,6.749,37,5,#N/A,#N/A,#N/A,16.5,0.999,85.93,2.2,0.0,58.1,16.6,4.0,48.0,100,8189,85.79,17.5
9/26/2024 15:30,15,15,829,10.0,2.498,19,4,#N/A,#N/A,#N/A,16.8,0.997,85.99,2.2,-0.1,15.3,16.6,0.4,12.0,100,8186,85.82,17.4
9/26/2024 15:45,15,15,805,8.5,1.209,3,1,#N/A,#N/A,#N/A,16.8,1.000,85.97,2.2,0.0,7.1,16.7,0.4,12.0,100,8184,85.81,17.3
9/26/2024 16:00,15,15,681,8.4,0.528,8,6,#N/A,#N/A,#N/A,16.9,1.000,85.97,2.1,0.0,4.1,16.8,0.0,0.0,100,8181,85.82,17.3
9/26/2024 16:15,15,15,664,5.9,0.357,6,8,#N/A,#N/A,#N/A,17.1,1.000,85.97,2.2,0.0,2.0,16.9,0.2,12.0,100,8178,85.83,17.4
9/26/2024 16:30,15,15,591,2.7,0.238,1,10,#N/A,#N/A,#N/A,17.2,1.000,85.97,2.1,0.0,2.0,17.1,0.0,0.0,100,8175,85.82,17.4
9/26/2024 16:45,15,15,709,2.6,0.647,1,10,#N/A,#N/A,#N/A,17.4,0.999,85.96,2.1,0.0,4.1,17.2,0.4,12.0,100,8174,85.81,17.5
9/26/2024 17:00,15,15,714,1.7,1.311,1,20,#N/A,#N/A,#N/A,17.3,1.000,85.98,2.2,-0.1,8.2,17.3,0.6,12.0,100,8172,85.84,17.6
9/26/2024 17:15,15,15,623,0.5,0.528,0,0,#N/A,#N/A,#N/A,17.1,1.000,85.98,2.2,0.0,4.1,17.1,0.4,12.0,100,8171,85.84,17.5
9/26/2024 17:30,15,15,700,0.0,0.494,0,0,#N/A,#N/A,#N/A,17.1,1.001,85.98,2.2,-0.1,4.1,17.0,0.2,12.0,100,8168,85.84,17.5
9/26/2024 17:45,15,15,701,0.0,0.647,0,0,#N/A,#N/A,#N/A,16.9,1.000,85.99,2.1,0.0,4.1,16.9,0.2,12.0,100,8165,85.84,17.4
9/26/2024 18:00,15,15,639,0.0,0.374,0,0,#N/A,#N/A,#N/A,16.7,1.000,86.01,2.2,0.0,3.1,16.7,0.2,12.0,100,8165,85.87,17.2
9/26/2024 18:15,15,15,535,0.0,0.085,0,0,#N/A,#N/A,#N/A,16.8,1.000,86.03,2.1,-0.1,1.0,16.7,0.2,12.0,100,8164,85.89,17.2
9/26/2024 18:30,15,15,478,0.0,0.000,0,0,#N/A,#N/A,#N/A,16.8,1.001,86.04,2.2,0.0,0.0,16.7,0.0,0.0,100,8156,85.90,17.2
9/26/2024 18:45,15,15,479,0.0,0.000,0,0,#N/A,#N/A,#N/A,16.9,0.997,86.05,2.1,0.0,0.0,16.8,0.0,0.0,100,8156,85.91,17.3
9/26/2024 19:00,15,15,483,0.0,0.000,0,0,#N/A,#N/A,#N/A,16.8,0.999,86.07,2.1,0.0,0.0,16.8,0.0,0.0,100,8156,85.93,17.3
9/26/2024 19:15,15,15,490,0.0,0.000,0,0,#N/A,#N/A,#N/A,16.8,1.000,86.10,2.3,0.0,0.0,16.7,0.0,0.0,100,8153,85.96,17.1
9/26/2024 19:30,15,15,497,0.0,0.000,0,0,#N/A,#N/A,#N/A,16.7,1.000,86.12,2.2,0.0,0.0,16.7,0.0,0.0,100,8150,85.98,17.0
9/26/2024 19:45,15,15,503,0.0,0.000,0,0,#N/A,#N/A,#N/A,16.7,0.998,86.14,2.2,0.0,0.0,16.6,0.0,0.0,100,8150,85.99,17.0
9/26/2024 20:00,15,15,510,0.0,0.000,0,0,#N/A,#N/A,#N/A,16.8,0.997,86.15,2.1,0.0,0.0,16.6,0.0,0.0,100,8146,86.01,16.9
9/26/2024 20:15,15,15,516,0.0,0.000,0,0,#N/A,#N/A,#N/A,16.8,0.999,86.15,2.1,0.0,0.0,16.6,0.0,0.0,100,8146,86.01,16.9
9/26/2024 20:30,15,15,512,0.0,0.000,0,0,#N/A,#N/A,#N/A,16.8,0.998,86.15,2.2,0.0,0.0,16.7,0.0,0.0,100,8142,86.01,16.9
9/26/2024 20:45,15,15,503,0.0,0.000,0,0,#N/A,#N/A,#N/A,17.0,0.994,86.16,2.2,-0.1,0.0,16.8,0.0,0.0,100,8142,86.02,17.0
9/26/2024 21:00,15,15,501,0.0,0.000,0,0,#N/A,#N/A,#N/A,17.1,0.997,86.19,2.2,0.0,0.0,16.9,0.0,0.0,100,8140,86.04,17.2
