z6-15935,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 7,Port 7,Port 8,Port 8
Records: 683,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
12/1/2023 8:45,15,0,452,291.3,0.000,0,0,83,6.95,17.07,17.5,0.979,86.00,1.3,0.5,0.0,18.8,75,7596,85.87,18.8
12/1/2023 9:00,15,0,451,598.2,0.000,0,0,89,7.06,13.90,18.1,0.995,85.97,2.3,-0.5,0.0,19.8,79,7625,85.86,19.2
12/1/2023 9:15,15,0,451,617.6,0.000,0,0,73,6.52,17.55,18.4,0.991,85.97,1.8,0.0,0.0,21.1,81,7644,85.86,19.9
12/1/2023 9:30,15,0,450,740.5,0.000,0,0,79,7.50,16.92,18.5,0.988,85.96,1.8,-0.2,0.0,21.3,83,7663,85.85,20.3
12/1/2023 9:45,15,0,450,572.5,0.000,0,0,88,7.61,15.51,18.3,0.985,85.98,2.3,-0.4,0.0,21.0,84,7670,85.86,20.5
12/1/2023 10:00,15,0,450,382.3,0.000,0,0,92,7.81,16.15,17.9,0.938,86.01,2.2,0.1,0.0,19.8,85,7677,85.88,19.9
12/1/2023 10:15,8,0,450,339.3,0.000,0,0,98,7.58,16.10,17.9,0.920,86.03,2.5,-0.4,0.0,19.3,85,7677,85.90,19.5
12/1/2023 10:30,13,0,450,340.9,0.000,0,0,90,6.74,15.42,17.8,0.932,86.02,1.5,-0.3,0.0,19.1,85,7679,85.89,19.2
12/1/2023 10:45,3,0,450,403.7,0.000,0,0,88,6.53,12.16,18.0,0.924,86.00,2.2,-0.2,0.0,19.2,86,7683,85.86,19.2
12/1/2023 11:00,0,0,449,583.1,0.000,0,0,75,5.48,14.92,18.6,0.909,85.98,1.8,-0.2,0.0,19.9,86,7688,85.86,19.5
12/1/2023 11:15,0,0,449,678.0,0.000,0,0,75,5.90,12.67,19.1,0.902,85.96,2.1,0.3,0.0,20.8,87,7694,85.83,20.1
12/1/2023 11:30,0,0,449,606.5,0.000,0,0,73,6.00,11.99,19.3,0.897,85.93,1.9,-0.2,0.0,21.1,87,7697,85.80,20.5
12/1/2023 11:45,0,0,448,711.0,0.000,0,0,76,6.42,15.61,19.5,0.894,85.90,1.8,0.0,0.0,21.3,87,7697,85.76,20.7
12/1/2023 12:00,0,0,448,851.3,0.000,0,0,72,8.00,15.95,19.9,0.873,85.86,2.1,-0.4,0.0,21.6,87,7698,85.74,21.0
