z6-15935,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 7,Port 7,Port 8,Port 8
Records: 1422,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
2/27/2024 15:00,15,0,451,578.7,0.000,0,0,80,6.60,11.58,18.7,0.978,85.91,2.2,0.1,0.0,20.6,0.0,0.0,100,8137,85.79,21.9
2/27/2024 15:15,15,0,452,382.9,0.000,0,0,77,5.58,10.53,18.5,0.991,85.91,2.1,-0.1,0.0,20.4,0.0,0.0,100,8137,85.79,21.9
2/27/2024 15:30,15,0,452,467.4,0.000,0,0,74,6.04,10.93,18.4,0.991,85.90,2.2,-0.2,0.0,20.2,0.0,0.0,100,8134,85.78,21.7
2/27/2024 15:45,15,0,452,340.7,0.000,0,0,81,5.14,10.27,18.4,0.989,85.89,2.1,-0.2,0.0,20.1,0.0,0.0,100,8132,85.78,21.7
2/27/2024 16:00,15,0,453,322.7,0.000,0,0,80,6.09,10.75,18.1,0.994,85.88,2.1,-0.4,0.0,19.7,0.0,0.0,100,8127,85.76,21.2
2/27/2024 16:15,15,0,453,260.1,0.000,0,0,84,5.50,12.52,18.0,0.999,85.88,2.0,-0.1,0.0,19.5,0.0,0.0,100,8124,85.77,21.1
2/27/2024 16:30,15,0,454,217.7,0.000,0,0,80,5.68,10.21,17.8,0.998,85.89,2.1,-0.6,0.0,19.1,0.0,0.0,100,8123,85.78,20.5
2/27/2024 16:45,15,0,454,135.3,0.000,0,0,79,5.62,9.94,17.6,1.000,85.89,2.3,0.1,0.0,18.6,0.0,0.0,100,8122,85.77,19.8
2/27/2024 17:00,15,0,455,86.5,0.000,0,0,82,5.73,12.21,17.5,0.998,85.90,2.0,-0.1,0.0,18.1,0.0,0.0,100,8119,85.78,19.1
2/27/2024 17:15,15,0,456,84.7,0.000,0,0,82,5.91,11.46,17.4,0.997,85.90,2.0,-0.2,0.0,17.9,0.0,0.0,100,8117,85.78,18.9
2/27/2024 17:30,15,0,460,39.3,0.000,0,0,83,5.22,12.33,17.2,1.000,85.92,2.1,-0.1,0.0,17.7,0.0,0.0,100,8115,85.80,18.6
2/27/2024 17:45,15,4,459,12.3,0.000,0,0,81,6.21,12.31,16.9,1.001,85.92,2.2,-0.2,0.0,17.3,0.0,0.0,100,8109,85.80,18.0
2/27/2024 18:00,15,6,460,1.1,0.000,0,0,86,6.00,12.57,16.9,0.999,85.92,2.1,-0.1,0.0,17.0,0.0,0.0,100,8110,85.80,17.7
2/27/2024 18:15,15,15,461,0.0,0.000,0,0,83,5.51,9.90,16.7,1.000,85.94,2.1,-0.1,0.0,16.8,0.0,0.0,100,8106,85.82,17.5
2/27/2024 18:30,15,4,456,0.0,0.000,0,0,84,6.80,12.20,16.8,0.995,85.94,2.3,0.0,0.0,16.7,0.0,0.0,100,8105,85.82,17.2
2/27/2024 18:45,15,0,457,0.0,0.000,0,0,97,6.15,17.41,16.8,0.987,85.95,1.9,0.0,0.0,16.7,0.0,0.0,100,8102,85.83,17.0
2/27/2024 19:00,15,0,457,0.0,0.000,0,0,92,6.65,14.75,16.9,0.980,85.95,2.0,-0.1,0.0,16.6,0.0,0.0,100,8100,85.82,16.9
2/27/2024 19:15,15,0,458,0.0,0.000,0,0,80,6.33,13.09,16.7,0.990,85.96,2.2,0.2,0.0,16.6,0.0,0.0,100,8099,85.84,16.8
2/27/2024 19:30,15,0,458,0.0,0.000,0,0,93,5.73,10.60,16.6,1.000,85.98,2.0,-0.2,0.0,16.5,0.0,0.0,100,8099,85.86,16.8
2/27/2024 19:45,15,0,460,0.0,0.000,0,0,83,5.50,9.41,16.6,0.999,85.99,2.1,-0.4,0.0,16.5,0.0,0.0,100,8097,85.88,16.8
2/27/2024 20:00,15,3,458,0.0,0.000,0,0,89,6.06,11.08,16.7,0.997,86.00,2.0,0.1,0.0,16.5,0.0,0.0,100,8096,85.88,16.8
2/27/2024 20:15,15,3,460,0.0,0.000,0,0,85,5.93,11.27,16.6,0.999,86.01,1.9,-0.6,0.0,16.5,0.0,0.0,100,8094,85.90,16.8
