z6-15935,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 7,Port 7,Port 8,Port 8
Records: 2978,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
3/16/2024 13:00,15,0,453,445.4,0.000,0,0,82,2.95,6.71,20.0,1.000,85.85,2.1,-0.2,0.0,22.4,0.0,0.0,100,8060,85.74,23.6
3/16/2024 13:15,15,0,453,694.7,0.000,0,0,71,4.06,9.05,20.4,0.995,85.81,2.0,-0.2,0.0,22.4,0.0,0.0,100,8061,85.71,23.8
3/16/2024 13:30,15,0,453,493.1,0.000,0,0,68,3.94,10.12,20.0,1.001,85.81,2.2,-0.2,0.0,22.4,0.0,0.0,100,8062,85.71,23.8
3/16/2024 13:45,15,12,919,225.5,0.068,0,0,65,3.91,8.79,19.3,0.999,85.81,2.0,-0.1,2.0,21.6,0.0,0.0,100,8064,85.70,22.9
3/16/2024 14:00,15,15,626,423.1,0.119,0,0,64,3.68,8.15,19.2,0.997,85.79,2.1,-0.5,2.0,20.7,0.0,0.0,100,8064,85.68,22.2
3/16/2024 14:15,15,15,504,277.3,0.000,0,0,78,3.04,7.59,19.3,0.998,85.78,2.0,0.0,0.0,20.6,0.0,0.0,100,8066,85.67,22.2
3/16/2024 14:30,15,13,460,240.6,0.000,0,0,54,3.50,7.46,19.2,1.001,85.78,2.0,-0.2,0.0,20.3,0.0,0.0,100,8064,85.67,21.7
3/16/2024 14:45,15,3,468,184.1,0.000,0,0,56,3.21,8.36,18.9,1.001,85.77,2.1,-0.3,0.0,20.1,0.0,0.0,100,8064,85.66,21.4
3/16/2024 15:00,15,8,455,260.4,0.000,0,0,76,2.60,5.95,18.9,1.001,85.76,2.0,-0.1,0.0,19.9,0.0,0.0,100,8061,85.65,21.1
3/16/2024 15:15,15,0,458,235.7,0.000,0,0,60,3.00,5.96,19.3,1.005,85.74,2.2,-0.2,0.0,20.3,0.0,0.0,100,8062,85.63,21.6
3/16/2024 15:30,15,9,462,112.3,0.000,0,0,51,3.14,6.51,19.1,1.000,85.74,2.1,-0.1,0.0,20.1,0.0,0.0,100,8062,85.63,21.1
3/16/2024 15:45,15,15,465,115.4,0.000,0,0,65,3.13,7.08,19.1,1.000,85.73,2.1,-0.2,0.0,19.8,0.0,0.0,100,8059,85.62,20.7
3/16/2024 16:00,15,2,461,147.4,0.000,0,0,78,2.49,6.12,19.1,0.998,85.73,2.0,-0.1,0.0,19.8,0.0,0.0,100,8058,85.63,20.7
3/16/2024 16:15,15,15,527,93.1,0.000,0,0,68,3.47,7.45,19.0,1.000,85.75,2.1,-0.2,0.0,19.7,0.0,0.0,100,8056,85.64,20.5
