z6-15935,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 7,Port 7,Port 8,Port 8
Records: 1738,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
1/12/2024 9:15,1,0,449,573.9,0.000,0,0,69,1.44,3.41,20.7,0.986,86.16,4.4,-1.1,0.0,25.5,100,8099,86.09,24.4
1/12/2024 9:30,0,0,449,629.4,0.000,0,0,72,1.39,3.48,21.1,0.984,86.17,2.3,-0.3,0.0,26.1,100,8102,86.10,25.0
1/12/2024 9:45,0,0,449,585.7,0.000,0,0,75,1.71,3.76,21.2,0.984,86.18,2.2,-0.3,0.0,25.9,100,8106,86.09,25.4
1/12/2024 10:00,0,0,449,724.1,0.000,0,0,74,1.81,4.77,21.5,0.978,86.17,2.2,-0.3,0.0,26.0,100,8111,86.09,25.4
1/12/2024 10:15,0,0,448,805.2,0.000,0,0,81,1.63,4.34,22.0,0.968,86.17,2.2,-0.3,0.0,26.6,100,8115,86.09,26.0
1/12/2024 10:30,0,0,447,852.8,0.000,0,0,43,1.62,3.04,22.7,0.964,86.14,2.2,-0.3,0.0,27.2,100,8119,86.07,26.8
1/12/2024 10:45,0,0,449,457.5,0.000,0,0,12,2.02,3.82,21.6,0.993,86.15,2.2,-0.3,0.0,26.5,100,8119,86.06,26.8
1/12/2024 11:00,0,0,448,479.6,0.000,0,0,56,1.42,4.26,21.8,0.972,86.15,2.2,-0.3,0.0,25.3,100,8118,86.05,26.1
1/12/2024 11:15,0,0,449,248.2,0.000,0,0,88,1.56,3.63,21.1,0.995,86.14,2.1,-0.3,0.0,24.7,100,8113,86.04,25.8
1/12/2024 11:30,2,0,449,431.5,0.000,0,0,15,1.94,3.88,20.6,0.988,86.12,2.2,-0.3,0.0,23.5,100,8115,86.02,24.8
1/12/2024 11:45,7,0,450,249.9,0.000,0,0,50,1.92,4.08,20.2,1.003,86.11,2.1,-0.3,0.0,23.1,100,8111,86.01,24.4
1/12/2024 12:00,3,0,450,406.5,0.000,0,0,63,1.85,4.31,20.4,0.988,86.10,2.1,-0.3,0.0,22.8,100,8109,85.99,24.2
1/12/2024 12:15,15,0,450,305.5,0.000,0,0,47,2.16,4.46,19.8,1.000,86.09,2.1,-0.3,0.0,22.1,100,8109,85.98,23.5
1/12/2024 12:30,11,0,450,302.9,0.000,0,0,34,1.88,4.21,19.8,0.997,86.05,2.1,-0.3,0.0,22.1,100,8108,85.95,23.3
1/12/2024 12:45,15,0,451,139.8,0.000,0,0,19,1.81,4.44,19.5,1.001,86.04,2.1,-0.2,0.0,21.6,100,8105,85.93,22.8
1/12/2024 13:00,15,0,451,179.5,0.000,0,0,43,1.70,3.44,19.5,0.997,86.02,2.1,-0.2,0.0,21.0,100,8102,85.91,22.2
1/12/2024 13:15,15,0,451,176.7,0.000,0,0,21,1.64,3.36,19.4,1.001,86.01,2.1,-0.3,0.0,20.8,100,8103,85.90,21.9
1/12/2024 13:30,15,0,450,238.9,0.000,0,0,71,1.39,2.82,19.6,0.996,85.99,2.1,-0.3,0.0,20.9,100,8099,85.89,21.9
1/12/2024 13:45,15,0,451,183.1,0.000,0,0,355,2.04,3.86,19.6,1.000,85.98,2.1,-0.3,0.0,21.2,100,8102,85.87,22.0
1/12/2024 14:00,15,0,450,198.7,0.000,0,0,3,1.48,3.03,19.7,0.997,85.96,2.1,-0.3,0.0,21.0,100,8100,85.86,21.8
1/12/2024 14:15,15,0,450,270.4,0.000,0,0,43,2.35,5.12,19.7,1.001,85.95,2.0,-0.3,0.0,21.4,100,8101,85.85,22.1
