z6-15979,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 7,Port 7,Port 8,Port 8
Records: 2580,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,Battery,Battery,Barometer,Barometer
Timestamp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
10/13/2023 12:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8291,85.84,26.7
10/13/2023 12:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8280,85.82,27.0
10/13/2023 12:30,#N/A,#N/A,429,516.1,0.000,0,0,21,1.79,4.08,22.1,0.941,85.90,2.1,-0.3,0.0,24.8,100,8270,85.79,26.5
10/13/2023 12:45,#N/A,#N/A,449,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8270,85.76,26.2
10/13/2023 13:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8260,85.76,25.6
10/13/2023 13:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8249,85.76,24.8
10/13/2023 13:30,#N/A,#N/A,399,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8242,85.76,23.5
10/13/2023 13:45,5,5,483,250.5,0.000,0,0,176,1.97,3.21,19.6,0.938,85.84,2.1,-0.4,0.0,20.3,100,8241,85.74,22.2
10/13/2023 14:00,10,9,423,279.2,0.000,0,0,210,0.87,2.22,19.9,1.002,85.82,2.0,-0.3,0.0,20.6,100,8239,85.71,22.2
10/13/2023 14:15,#N/A,#N/A,296,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8237,85.69,23.0
10/13/2023 14:30,1,#N/A,451,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8232,85.68,23.8
10/13/2023 14:45,2,#N/A,450,248.0,0.017,0,0,72,1.66,7.31,21.3,0.632,85.81,1.9,-0.5,1.0,22.4,100,8231,85.71,24.4
10/13/2023 15:00,1,#N/A,450,244.7,0.017,0,0,291,0.73,1.60,21.8,0.738,85.81,2.3,-0.4,1.0,22.5,100,8222,85.70,24.7
10/13/2023 15:15,1,#N/A,452,66.0,0.000,0,0,316,0.54,0.82,20.7,0.623,85.79,2.2,-0.4,0.0,21.7,100,8220,85.69,23.8
10/13/2023 15:30,#N/A,#N/A,406,53.0,0.000,0,0,259,0.74,1.19,20.5,0.817,85.80,2.1,-0.3,0.0,21.6,100,8208,85.69,22.7
10/13/2023 15:45,3,3,322,123.0,0.000,0,0,303,1.29,1.67,19.9,0.629,85.79,2.1,-0.3,0.0,21.1,100,8204,85.70,22.0
10/13/2023 16:00,4,2,344,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8199,85.70,21.6
10/13/2023 16:15,1,1,527,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8192,85.71,20.9
10/13/2023 16:30,#N/A,#N/A,389,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8190,85.72,20.4
