z6-15949,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 7,Port 7,Port 8,Port 8
Records: 4907,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
6/14/2023 9:30,134.6,141,1.42,4.53,21.4,1.0,-2.9,21.2,0.948,87.57,15,0,453,79,7625,87.50,21.4
6/14/2023 9:45,125.6,144,1.19,3.67,22.2,1.0,-3.0,21.8,0.931,87.58,15,0,452,79,7626,87.51,21.5
6/14/2023 10:00,244.1,349,1.02,4.08,22.4,1.1,-3.0,22.1,0.916,87.58,15,0,452,79,7631,87.51,22.0
6/14/2023 10:15,214.8,11,1.19,4.07,22.5,1.0,-3.0,22.1,0.920,87.57,15,0,452,80,7639,87.50,22.6
6/14/2023 10:30,189.5,1,1.47,4.29,22.5,1.0,-2.9,22.3,0.912,87.56,15,0,452,81,7646,87.48,23.3
6/14/2023 10:45,138.8,334,1.30,4.37,22.4,1.0,-3.1,22.0,0.913,87.57,15,0,452,81,7644,87.49,23.5
6/14/2023 11:00,131.8,19,0.87,2.94,22.4,1.1,-3.1,22.1,0.916,87.57,15,0,452,81,7644,87.49,23.3
6/14/2023 11:15,117.9,350,0.97,3.23,22.3,1.1,-3.1,22.0,0.922,87.56,15,0,452,81,7644,87.48,23.0
6/14/2023 11:30,122.9,343,0.59,2.40,22.4,1.1,-3.0,22.2,0.930,87.53,15,0,452,81,7646,87.46,22.9
