z6-15949,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 7,Port 7,Port 8,Port 8
Records: 3060,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
8/4/2023 12:30,143.4,126,2.95,8.96,22.1,1.8,-2.6,21.9,0.918,87.62,15,0,453,60,7467,87.56,22.7
8/4/2023 12:45,175.4,128,2.37,8.65,22.6,1.2,-3.2,22.3,0.894,87.60,15,0,453,60,7464,87.54,22.5
8/4/2023 13:00,288.2,128,2.56,7.00,22.8,1.0,-3.2,22.6,0.887,87.57,15,0,453,60,7466,87.51,22.5
8/4/2023 13:15,407.2,127,2.49,9.22,23.2,1.1,-3.0,23.0,0.888,87.55,15,0,452,61,7476,87.49,22.9
8/4/2023 13:30,233.1,35,2.33,8.27,23.1,0.7,-3.2,22.9,0.905,87.53,15,0,453,62,7482,87.47,23.5
8/4/2023 13:45,121.6,67,2.38,7.65,23.0,1.2,-3.5,22.7,0.914,87.54,15,0,453,62,7483,87.47,23.6
8/4/2023 14:00,224.9,62,2.10,7.13,23.0,1.0,-3.5,22.8,0.912,87.53,15,0,453,62,7482,87.47,23.5
8/4/2023 14:15,194.6,355,3.33,9.33,22.4,0.8,-3.5,22.4,0.931,87.53,15,0,453,62,7482,87.47,23.3
8/4/2023 14:30,169.7,349,2.82,11.68,22.6,0.7,-3.6,22.4,0.933,87.52,15,0,453,62,7483,87.46,23.2
8/4/2023 14:45,124.1,357,3.27,10.72,22.3,0.8,-3.6,22.2,0.940,87.50,15,0,453,62,7485,87.44,23.0
8/4/2023 15:00,139.3,2,2.68,8.63,22.2,0.8,-3.6,22.1,0.950,87.48,15,0,453,62,7485,87.42,22.8
8/4/2023 15:15,420.0,125,2.62,8.07,22.6,1.0,-3.3,22.4,0.924,87.48,15,0,453,62,7482,87.42,22.7
8/4/2023 15:30,396.2,119,2.23,6.64,22.6,1.2,-3.4,22.6,0.900,87.48,15,0,453,62,7485,87.42,22.9
8/4/2023 15:45,346.8,122,2.38,6.02,22.5,1.1,-3.6,22.3,0.902,87.47,15,0,453,62,7483,87.41,22.8
8/4/2023 16:00,74.2,138,1.98,10.30,22.5,1.3,-3.4,22.3,0.910,87.47,15,0,453,62,7483,87.40,22.7
8/4/2023 16:15,50.5,133,2.28,8.89,22.2,1.1,-3.5,22.1,0.911,87.48,15,0,453,62,7482,87.42,22.5
8/4/2023 16:30,55.8,126,2.33,8.71,22.0,1.4,-3.4,21.9,0.928,87.48,15,0,453,62,7482,87.42,22.3
8/4/2023 16:45,30.2,88,2.49,7.36,21.7,0.9,-3.5,21.6,0.949,87.49,15,0,453,62,7484,87.42,22.1
8/4/2023 17:00,20.3,112,2.35,9.38,21.3,1.5,-3.6,21.2,0.975,87.49,15,0,453,62,7481,87.42,21.9
8/4/2023 17:15,20.9,120,2.37,6.67,21.1,1.0,-3.2,21.0,0.981,87.50,15,0,454,62,7482,87.43,21.7
8/4/2023 17:30,12.1,138,2.43,6.69,20.9,1.0,-3.3,20.8,0.984,87.50,15,0,454,61,7478,87.44,21.4
8/4/2023 17:45,5.1,122,2.53,8.11,20.8,0.9,-3.6,20.7,0.982,87.51,15,0,454,61,7477,87.45,21.2
8/4/2023 18:00,0.0,125,2.34,6.88,20.7,1.0,-3.1,20.6,0.979,87.52,15,0,454,61,7478,87.46,21.0
8/4/2023 18:15,0.0,108,2.08,7.63,20.6,1.2,-2.8,20.6,0.981,87.53,15,0,454,61,7478,87.48,20.9
8/4/2023 18:30,0.0,122,2.42,8.53,20.6,1.1,-3.2,20.5,0.977,87.55,15,0,454,61,7478,87.49,20.7
8/4/2023 18:45,0.0,110,2.17,6.01,20.5,0.8,-3.5,20.4,0.977,87.56,15,0,454,61,7475,87.50,20.6
8/4/2023 19:00,0.0,117,2.45,8.63,20.4,1.0,-3.4,20.4,0.984,87.57,15,1,455,61,7476,87.51,20.5
8/4/2023 19:15,0.0,99,2.12,6.13,20.2,1.0,-3.5,20.3,0.996,87.59,15,10,471,61,7476,87.53,20.5
8/4/2023 19:30,0.0,121,2.62,6.99,20.2,0.7,-3.2,20.1,1.000,87.61,15,7,455,61,7475,87.56,20.3
8/4/2023 19:45,0.0,106,2.11,5.30,20.4,0.9,-3.4,20.3,0.981,87.62,15,0,454,61,7474,87.56,20.2
8/4/2023 20:00,0.0,114,2.70,10.45,20.4,0.9,-3.1,20.4,0.966,87.64,15,0,454,61,7473,87.58,20.2
8/4/2023 20:15,0.0,113,2.83,7.92,20.3,0.8,-3.2,20.3,0.969,87.65,15,0,454,60,7472,87.59,20.1
8/4/2023 20:30,0.0,113,2.58,7.49,20.2,1.0,-3.4,20.1,0.975,87.65,15,0,454,60,7471,87.60,20.1
8/4/2023 20:45,0.0,79,1.83,4.65,20.1,0.9,-3.5,20.0,0.979,87.66,15,0,454,60,7472,87.61,20.1
8/4/2023 21:00,0.0,107,2.03,5.96,20.0,0.9,-3.3,20.0,0.978,87.66,15,0,455,61,7474,87.61,20.0
8/4/2023 21:15,0.0,88,1.84,6.25,20.0,0.6,-3.3,19.9,0.987,87.68,15,0,454,61,7474,87.63,20.0
8/4/2023 21:30,0.0,100,1.99,5.05,20.1,0.7,-3.5,20.0,0.974,87.68,15,0,454,60,7472,87.63,19.9
8/4/2023 21:45,0.0,116,2.30,6.42,20.0,0.8,-3.3,20.0,0.973,87.69,15,0,454,60,7471,87.64,19.9
8/4/2023 22:00,0.0,113,2.80,7.72,20.2,1.0,-3.0,20.1,0.964,87.70,15,0,454,60,7472,87.65,19.9
8/4/2023 22:15,0.0,124,2.33,8.27,20.0,1.0,-3.3,20.0,0.972,87.70,15,0,456,60,7470,87.64,19.9
8/4/2023 22:30,0.0,121,2.39,7.21,19.9,0.8,-3.3,19.9,0.992,87.70,15,7,463,60,7470,87.64,19.9
8/4/2023 22:45,0.0,113,2.03,5.84,19.9,0.8,-3.5,19.9,1.000,87.70,15,15,477,60,7470,87.64,19.9
8/4/2023 23:00,0.0,15,2.06,7.65,19.8,0.6,-3.4,19.8,1.000,87.69,15,15,488,60,7471,87.63,19.9
8/4/2023 23:15,0.0,55,2.52,7.71,19.9,0.6,-3.5,19.9,0.999,87.69,15,15,564,60,7469,87.64,19.9
8/4/2023 23:30,0.0,18,2.08,9.26,19.8,0.4,-3.3,19.9,1.001,87.69,15,15,540,60,7470,87.64,19.9
8/4/2023 23:45,0.0,0,2.69,8.22,19.6,0.3,-3.3,19.7,0.999,87.67,15,15,585,60,7469,87.61,19.9
8/5/2023 0:00,0.0,10,3.05,8.35,19.4,-0.1,-3.4,19.5,1.000,87.72,15,15,639,60,7470,87.66,19.8
8/5/2023 0:15,0.0,13,2.22,9.91,19.3,0.0,-3.2,19.5,0.999,87.71,15,15,544,60,7466,87.65,19.7
8/5/2023 0:30,0.0,120,2.17,5.92,18.7,0.2,-2.8,19.1,0.999,87.67,15,15,485,60,7464,87.61,19.5
8/5/2023 0:45,0.0,123,2.33,5.24,18.6,0.7,-3.4,19.2,1.000,87.65,15,15,482,59,7463,87.60,19.2
8/5/2023 1:00,0.0,110,2.09,5.26,18.8,0.5,-3.1,19.3,1.000,87.64,15,15,496,60,7464,87.58,19.1
8/5/2023 1:15,0.0,117,1.83,4.46,18.8,0.2,-3.0,19.2,1.000,87.63,15,15,498,59,7463,87.57,19.1
8/5/2023 1:30,0.0,122,2.26,5.20,18.6,0.8,-2.8,19.1,1.000,87.62,15,15,541,59,7463,87.57,19.0
8/5/2023 1:45,0.0,118,2.03,7.66,18.5,0.1,-3.0,19.0,1.000,87.61,15,15,512,59,7463,87.56,19.0
8/5/2023 2:00,0.0,129,2.27,6.07,18.5,0.2,-2.7,19.0,1.001,87.63,15,15,486,59,7463,87.57,18.9
