z6-15949,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 7,Port 7,Port 8,Port 8
Records: 1331,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
5/31/2023 12:30,398.4,290,0.88,2.57,23.2,1.1,-3.1,22.8,0.794,87.62,0,0,449,93,7744,87.55,23.4
5/31/2023 12:45,375.0,32,1.16,3.13,23.6,1.2,-3.0,23.6,0.773,87.60,0,0,449,93,7749,87.52,23.7
5/31/2023 13:00,402.8,355,1.04,2.76,23.9,1.1,-3.1,23.7,0.755,87.58,0,0,449,94,7754,87.50,24.0
5/31/2023 13:15,218.4,142,1.06,3.87,24.0,1.3,-3.0,23.8,0.740,87.57,0,0,449,94,7755,87.49,24.1
5/31/2023 13:30,191.3,160,0.95,3.68,23.8,1.2,-3.1,23.3,0.762,87.55,0,0,449,94,7755,87.47,24.0
5/31/2023 13:45,148.5,192,0.76,1.98,23.9,1.2,-3.1,23.5,0.775,87.53,0,0,449,94,7757,87.45,24.0
5/31/2023 14:00,158.0,147,1.00,2.42,23.4,1.2,-3.0,23.1,0.801,87.52,0,0,449,94,7754,87.44,23.8
5/31/2023 14:15,194.6,183,0.78,2.52,23.5,1.2,-3.1,23.0,0.798,87.51,0,0,449,94,7757,87.43,23.9
5/31/2023 14:30,132.9,183,0.92,2.63,23.3,1.1,-3.1,23.0,0.794,87.50,0,0,449,95,7758,87.42,24.0
5/31/2023 14:45,92.8,83,0.62,2.36,22.9,1.2,-3.1,22.8,0.820,87.51,2,0,450,94,7757,87.43,23.8
5/31/2023 15:00,105.5,192,0.63,2.34,22.5,1.1,-3.1,22.1,0.842,87.50,13,0,450,94,7757,87.42,23.4
5/31/2023 15:15,152.2,65,0.70,2.33,22.3,1.0,-3.0,22.1,0.838,87.48,1,0,450,94,7757,87.40,23.3
5/31/2023 15:30,183.3,175,0.93,2.35,22.3,1.2,-3.1,22.0,0.835,87.47,4,0,450,94,7757,87.40,23.3
5/31/2023 15:45,162.6,164,1.01,3.34,22.2,1.0,-3.1,21.9,0.835,87.47,2,0,450,95,7758,87.39,23.3
5/31/2023 16:00,99.2,160,1.35,5.51,21.8,1.0,-3.1,21.6,0.852,87.45,15,0,450,95,7758,87.37,22.9
5/31/2023 16:15,62.4,155,0.83,2.76,21.4,1.1,-3.2,21.2,0.851,87.44,15,0,450,95,7760,87.37,22.6
5/31/2023 16:30,54.2,126,0.80,3.82,21.2,1.0,-3.2,21.0,0.864,87.47,15,0,451,94,7757,87.40,22.2
5/31/2023 16:45,50.4,322,0.70,2.69,21.1,1.0,-3.1,20.9,0.879,87.47,15,0,451,94,7756,87.39,21.9
5/31/2023 17:00,43.8,175,1.39,6.34,20.7,1.2,-3.1,20.6,0.889,87.47,15,2,452,94,7757,87.39,21.6
5/31/2023 17:15,34.6,170,1.12,3.71,20.4,1.0,-3.1,20.2,0.903,87.48,15,0,451,94,7754,87.41,21.2
5/31/2023 17:30,31.9,187,1.02,3.74,20.3,0.9,-3.2,20.2,0.900,87.49,15,0,451,94,7754,87.42,21.0
5/31/2023 17:45,19.8,175,1.05,4.16,19.9,0.9,-3.1,19.9,0.896,87.52,15,0,451,94,7754,87.45,20.7
5/31/2023 18:00,8.4,165,1.09,4.01,19.6,1.1,-3.2,19.5,0.900,87.52,15,0,452,94,7754,87.44,20.5
5/31/2023 18:15,0.0,163,0.99,4.17,19.3,0.9,-3.2,19.2,0.901,87.51,15,0,452,94,7755,87.44,20.1
5/31/2023 18:30,0.0,173,1.29,7.02,19.0,1.0,-3.3,18.9,0.904,87.54,15,0,452,94,7754,87.46,19.8
5/31/2023 18:45,0.0,170,0.84,3.22,19.0,0.9,-3.2,18.9,0.911,87.56,15,0,452,94,7753,87.49,19.5
5/31/2023 19:00,0.0,26,0.79,2.66,19.0,0.7,-3.2,18.9,0.917,87.59,15,0,452,94,7753,87.52,19.4
5/31/2023 19:15,0.0,38,0.82,2.38,19.0,0.8,-3.2,18.9,0.920,87.62,15,0,452,94,7751,87.55,19.3
5/31/2023 19:30,0.0,59,0.65,2.25,19.0,0.8,-3.2,19.0,0.920,87.63,15,0,452,94,7752,87.56,19.2
5/31/2023 19:45,0.0,59,1.12,2.47,19.1,0.9,-3.1,19.0,0.919,87.65,15,0,452,94,7752,87.59,19.1
5/31/2023 20:00,0.0,67,1.55,3.73,19.3,0.8,-3.1,19.1,0.902,87.67,15,0,452,94,7750,87.61,19.1
5/31/2023 20:15,0.0,40,0.93,2.85,19.4,0.9,-3.1,19.3,0.872,87.68,15,0,451,94,7752,87.61,19.0
5/31/2023 20:30,0.0,34,0.55,1.78,19.4,0.8,-3.2,19.4,0.865,87.69,15,0,451,94,7750,87.63,19.1
5/31/2023 20:45,0.0,315,0.55,1.52,19.4,0.9,-3.2,19.4,0.878,87.71,15,0,451,94,7751,87.64,19.1
5/31/2023 21:00,0.0,195,0.73,1.82,19.4,0.9,-3.2,19.4,0.891,87.71,15,0,452,93,7748,87.64,19.1
5/31/2023 21:15,0.0,181,0.80,3.28,19.4,0.9,-3.1,19.4,0.903,87.71,15,0,452,93,7749,87.64,19.2
5/31/2023 21:30,0.0,163,0.91,2.52,19.4,1.0,-3.2,19.3,0.909,87.71,15,0,452,93,7749,87.65,19.2
5/31/2023 21:45,0.0,173,0.62,2.30,19.3,0.9,-3.2,19.3,0.917,87.73,15,0,452,94,7750,87.66,19.2
5/31/2023 22:00,0.0,191,0.65,2.16,19.4,0.9,-3.2,19.3,0.920,87.72,15,0,452,94,7752,87.66,19.2
5/31/2023 22:15,0.0,166,1.01,3.17,19.3,0.9,-3.1,19.3,0.922,87.72,15,14,479,94,7750,87.66,19.2
5/31/2023 22:30,0.0,155,1.22,3.03,19.3,0.9,-3.1,19.3,0.932,87.73,15,7,453,94,7752,87.66,19.1
5/31/2023 22:45,0.0,149,0.84,2.41,19.2,0.8,-3.1,19.4,0.932,87.73,15,4,665,93,7748,87.66,19.1
5/31/2023 23:00,0.0,179,0.48,1.74,18.7,0.2,-2.9,18.9,0.955,87.72,15,15,590,93,7746,87.65,19.0
5/31/2023 23:15,0.0,205,0.53,1.42,18.6,0.1,-3.0,18.7,0.973,87.72,15,15,544,93,7749,87.65,18.8
5/31/2023 23:30,0.0,204,0.54,2.59,18.6,0.0,-2.8,18.7,0.981,87.70,15,15,529,93,7749,87.64,18.8
5/31/2023 23:45,0.0,220,0.65,1.99,18.7,0.1,-2.9,18.7,0.989,87.69,15,15,542,93,7748,87.63,18.7
6/1/2023 0:00,0.0,185,0.58,2.26,18.8,0.0,-2.8,18.8,0.983,87.69,15,15,487,93,7745,87.63,18.7
6/1/2023 0:15,0.0,183,1.20,4.69,18.8,0.3,-2.8,18.8,0.981,87.67,15,15,467,91,7725,87.61,18.9
6/1/2023 0:30,0.0,167,1.17,4.97,18.8,0.1,-2.8,18.9,0.978,87.65,15,15,502,88,7703,87.58,18.9
6/1/2023 0:45,0.0,153,1.32,4.64,18.8,0.1,-2.8,18.8,0.976,87.62,15,15,499,85,7678,87.56,19.3
6/1/2023 1:00,0.0,170,1.09,4.88,18.8,0.2,-2.9,18.8,0.977,87.62,15,15,501,86,7686,87.55,19.2
6/1/2023 1:15,0.0,177,1.02,2.98,18.7,0.3,-2.9,18.8,0.986,87.58,15,15,557,86,7688,87.52,18.9
6/1/2023 1:30,0.0,162,1.11,3.97,18.8,0.2,-2.9,18.9,0.984,87.55,15,15,526,86,7689,87.49,18.8
6/1/2023 1:45,0.0,174,1.18,4.32,18.8,0.2,-2.9,18.8,0.974,87.51,15,15,487,86,7690,87.45,18.7
6/1/2023 2:00,0.0,162,1.35,4.45,18.8,0.5,-3.0,18.8,0.952,87.50,15,15,466,86,7690,87.44,18.7
