z6-15954,Port 1,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 6,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 3069,PYR,PYR,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, W/m² Solar Radiation, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
5/4/2023 10:30,970.6,963.5,22.4,0.840,87.92,4,0,449,22.6,0.823,87.81,0,0,447,100,8588,87.74,25.0
5/4/2023 10:45,840.3,736.3,22.6,0.848,87.92,4,0,450,22.6,0.833,87.81,0,0,447,100,8593,87.75,25.5
5/4/2023 11:00,770.7,503.7,23.0,0.847,87.91,3,0,450,22.3,0.856,87.81,0,0,449,100,8600,87.75,25.7
5/4/2023 11:15,710.8,487.6,22.9,0.848,87.90,3,0,450,22.3,0.855,87.80,0,0,448,100,8597,87.74,25.6
5/4/2023 11:30,430.5,376.1,22.4,0.856,87.91,14,0,450,21.9,0.860,87.80,0,0,449,100,8590,87.76,24.9
5/4/2023 11:45,673.6,620.7,22.6,0.858,87.90,10,0,450,22.0,0.862,87.79,0,0,449,100,8586,87.75,24.5
5/4/2023 12:00,921.9,882.9,22.6,0.852,87.88,5,0,450,22.1,0.859,87.77,0,0,448,100,8580,87.73,24.3
5/4/2023 12:15,719.8,451.2,22.7,0.848,87.85,9,0,450,22.2,0.855,87.74,0,0,449,100,8574,87.70,24.1
5/4/2023 12:30,668.7,287.5,22.9,0.847,87.82,3,0,449,22.5,0.849,87.71,0,0,449,100,8567,87.68,23.9
5/4/2023 12:45,474.6,249.9,22.8,0.850,87.79,4,0,450,22.4,0.853,87.68,0,0,450,100,8564,87.65,23.9
5/4/2023 13:00,531.4,244.1,22.9,0.849,87.78,11,0,450,22.6,0.846,87.68,1,0,450,100,8558,87.64,23.8
5/4/2023 13:15,247.2,248.5,22.7,0.858,87.78,15,0,450,22.5,0.855,87.67,0,0,449,100,8555,87.63,23.7
5/4/2023 13:30,306.9,245.4,22.9,0.855,87.77,12,0,450,22.7,0.849,87.66,0,0,449,100,8549,87.62,23.8
5/4/2023 13:45,252.7,267.2,22.9,0.858,87.74,15,0,451,22.7,0.853,87.64,2,0,450,100,8542,87.60,23.9
5/4/2023 14:00,270.8,369.7,22.9,0.866,87.73,15,0,450,22.6,0.865,87.63,0,0,449,100,8543,87.58,23.9
5/4/2023 14:15,201.4,298.1,22.8,0.860,87.73,15,0,450,22.6,0.857,87.62,0,0,449,100,8535,87.58,23.9
5/4/2023 14:30,204.5,235.1,22.7,0.859,87.72,15,0,450,22.4,0.859,87.62,0,0,450,100,8533,87.58,24.0
5/4/2023 14:45,247.9,254.5,22.6,0.868,87.72,15,0,450,22.3,0.866,87.62,1,0,449,100,8531,87.57,23.8
5/4/2023 15:00,225.0,241.1,22.6,0.869,87.70,15,0,451,22.3,0.868,87.60,4,0,450,100,8525,87.56,23.9
5/4/2023 15:15,269.0,273.7,22.3,0.878,87.69,15,0,451,22.1,0.877,87.59,3,0,449,100,8520,87.55,23.6
5/4/2023 15:30,292.2,350.6,22.2,0.891,87.69,15,0,450,22.0,0.888,87.58,5,0,448,100,8517,87.55,23.5
5/4/2023 15:45,223.2,227.8,22.2,0.885,87.69,15,0,451,21.9,0.884,87.58,8,0,450,100,8512,87.55,23.6
5/4/2023 16:00,210.2,194.5,21.8,0.909,87.69,15,0,452,21.6,0.906,87.59,11,0,451,100,8507,87.56,23.1
5/4/2023 16:15,139.2,120.3,21.5,0.921,87.71,15,0,452,21.4,0.915,87.61,15,0,451,100,8504,87.57,22.7
5/4/2023 16:30,95.8,80.9,21.3,0.930,87.73,15,0,452,21.3,0.917,87.63,15,0,451,100,8500,87.58,22.4
