z6-15954,Port 1,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 6,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 2590,PYR,PYR,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, W/m² Solar Radiation, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
7/12/2023 9:15,550.8,524.2,21.9,0.870,88.11,15,0,451,21.8,0.857,88.00,0,0,449,100,8377,87.93,23.7
7/12/2023 9:30,441.1,397.5,21.7,0.870,88.12,15,0,451,21.7,0.857,88.00,1,0,450,100,8373,87.93,23.9
7/12/2023 9:45,431.2,388.9,21.8,0.886,88.13,15,0,451,22.0,0.860,88.01,8,0,449,100,8380,87.94,23.9
7/12/2023 10:00,666.3,628.8,22.7,0.867,88.12,15,0,451,21.9,0.876,88.01,0,0,447,100,8390,87.94,24.1
7/12/2023 10:15,715.8,668.7,23.2,0.858,88.10,15,0,451,22.2,0.875,87.99,0,0,448,100,8399,87.93,24.4
7/12/2023 10:30,593.3,539.2,22.9,0.862,88.09,15,0,450,22.2,0.876,87.98,1,0,448,100,8408,87.92,24.4
7/12/2023 10:45,666.7,594.0,22.9,0.874,88.08,14,0,450,22.2,0.880,87.97,0,0,447,100,8418,87.91,24.6
7/12/2023 11:00,402.6,340.9,22.7,0.877,88.06,15,0,452,21.8,0.897,87.95,7,0,450,100,8416,87.89,24.5
7/12/2023 11:15,689.9,642.2,22.8,0.896,88.05,15,0,450,22.1,0.905,87.94,5,0,446,100,8431,87.87,24.4
7/12/2023 11:30,754.0,708.4,23.9,0.858,88.04,14,0,451,22.9,0.876,87.93,0,0,448,100,8442,87.87,25.4
7/12/2023 11:45,560.7,490.2,23.7,0.864,88.05,13,0,449,22.9,0.880,87.94,0,0,446,100,8447,87.87,25.6
7/12/2023 12:00,617.8,526.2,24.0,0.838,88.01,1,0,449,23.3,0.849,87.90,0,0,447,100,8452,87.83,26.1
7/12/2023 12:15,507.0,242.4,23.7,0.837,88.00,8,0,450,23.1,0.850,87.89,0,0,448,100,8451,87.82,25.9
7/12/2023 12:30,420.8,222.1,24.1,0.833,87.98,4,0,451,23.4,0.844,87.87,0,0,450,100,8449,87.80,25.8
7/12/2023 12:45,345.7,220.3,22.9,0.881,87.97,15,0,451,22.2,0.898,87.86,12,0,450,100,8445,87.80,24.9
7/12/2023 13:00,173.8,141.2,23.3,0.879,87.95,15,0,451,22.7,0.885,87.84,6,0,450,100,8443,87.78,24.7
7/12/2023 13:15,121.4,99.4,22.6,0.900,87.95,15,0,452,22.0,0.910,87.84,15,0,451,100,8437,87.78,24.1
7/12/2023 13:30,117.9,96.3,22.2,0.929,87.95,15,0,452,22.0,0.926,87.84,15,0,457,100,8431,87.77,23.6
7/12/2023 13:45,172.5,143.4,22.3,0.932,87.92,15,0,452,22.0,0.927,87.81,15,0,451,100,8432,87.74,23.4
7/12/2023 14:00,256.9,213.1,22.5,0.923,87.90,15,0,452,22.1,0.921,87.79,15,0,451,100,8435,87.72,23.5
7/12/2023 14:15,118.7,98.7,22.3,0.926,87.91,15,0,453,21.9,0.930,87.80,15,0,452,100,8429,87.74,23.3
7/12/2023 14:30,85.3,70.9,21.8,0.950,87.92,15,2,574,21.6,0.947,87.81,15,6,804,100,8425,87.74,22.9
7/12/2023 14:45,72.0,60.2,21.4,0.964,87.91,15,15,565,21.3,0.955,87.80,15,15,960,100,8421,87.73,22.4
7/12/2023 15:00,45.0,38.1,21.1,0.976,87.88,15,15,534,21.0,0.964,87.77,15,15,730,100,8418,87.71,21.8
7/12/2023 15:15,28.0,23.1,21.0,0.985,87.87,15,15,586,20.9,0.971,87.76,15,15,953,100,8414,87.71,21.3
7/12/2023 15:30,81.3,68.1,20.8,0.995,87.88,15,15,557,20.7,0.979,87.77,15,15,953,100,8412,87.71,21.0
7/12/2023 15:45,121.0,102.9,20.8,0.999,87.88,15,15,522,20.6,0.986,87.77,15,15,744,100,8409,87.70,20.9
7/12/2023 16:00,53.1,44.5,20.6,1.001,87.87,15,15,504,20.6,0.988,87.75,15,15,621,100,8406,87.69,20.8
7/12/2023 16:15,42.1,35.2,20.5,1.001,87.87,15,15,574,20.5,0.991,87.76,15,15,1005,100,8403,87.70,20.7
7/12/2023 16:30,21.4,17.9,20.4,0.999,87.87,15,15,546,20.3,0.993,87.75,15,15,718,100,8401,87.70,20.6
7/12/2023 16:45,11.0,8.2,20.2,1.000,87.86,15,15,535,20.1,0.999,87.74,15,15,786,100,8398,87.68,20.4
7/12/2023 17:00,5.7,3.8,20.1,1.001,87.86,15,15,586,20.0,1.000,87.74,15,15,865,100,8396,87.68,20.3
7/12/2023 17:15,6.4,4.9,20.0,1.000,87.87,15,15,569,19.9,1.000,87.76,15,15,787,100,8393,87.70,20.2
7/12/2023 17:30,8.1,6.6,19.8,1.000,87.88,15,15,583,19.7,0.999,87.77,15,15,705,100,8390,87.70,20.0
7/12/2023 17:45,4.2,1.6,19.6,1.000,87.89,15,15,537,19.6,1.001,87.78,15,15,635,100,8388,87.71,19.9
7/12/2023 18:00,2.2,1.5,19.5,0.999,87.92,15,15,497,19.4,1.000,87.81,15,15,610,100,8387,87.74,19.7
7/12/2023 18:15,0.0,0.0,19.7,1.000,87.93,15,15,492,19.4,0.999,87.82,15,15,603,100,8384,87.75,19.7
7/12/2023 18:30,0.0,0.0,19.7,0.999,87.94,15,15,509,19.5,1.000,87.82,15,15,570,100,8384,87.76,19.7
7/12/2023 18:45,0.0,0.0,19.7,1.001,87.95,15,15,564,19.5,1.000,87.84,15,15,567,100,8382,87.77,19.7
7/12/2023 19:00,0.0,0.0,19.7,1.000,87.96,15,15,560,19.5,1.000,87.85,15,15,712,100,8380,87.78,19.7
7/12/2023 19:15,0.0,0.0,19.7,1.000,87.97,15,15,573,19.6,0.999,87.86,15,15,827,100,8378,87.79,19.7
7/12/2023 19:30,0.0,0.0,19.7,1.000,87.98,15,15,568,19.6,1.000,87.87,15,15,951,100,8374,87.80,19.7
7/12/2023 19:45,0.0,0.0,19.6,1.000,88.00,15,15,558,19.5,1.000,87.88,15,15,682,100,8371,87.81,19.7
7/12/2023 20:00,0.0,0.0,19.8,1.000,88.00,15,15,562,19.6,1.000,87.89,15,15,739,100,8372,87.82,19.7
7/12/2023 20:15,0.0,0.0,19.8,1.000,88.01,15,15,547,19.7,1.000,87.90,15,15,707,100,8368,87.83,19.7
7/12/2023 20:30,0.0,0.0,19.8,1.000,88.01,15,15,589,19.7,0.999,87.89,15,15,720,100,8368,87.83,19.7
7/12/2023 20:45,0.0,0.0,19.8,1.000,88.01,15,15,501,19.7,0.999,87.90,15,15,618,100,8373,87.84,19.7
7/12/2023 21:00,0.0,0.0,19.9,0.999,88.01,15,15,480,19.8,0.999,87.90,15,15,575,100,8365,87.83,19.7
