z6-15954,Port 1,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 6,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 3548,PYR,PYR,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, W/m² Solar Radiation, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
6/5/2023 10:00,311.1,267.2,23.7,0.860,88.15,1,0,449,22.9,0.877,88.05,1,0,449,100,8364,87.97,24.9
6/5/2023 10:15,295.0,249.0,23.9,0.850,88.14,0,0,449,22.8,0.868,88.05,0,0,449,100,8368,87.97,25.1
6/5/2023 10:30,398.4,346.4,24.2,0.836,88.14,0,0,449,22.9,0.865,88.05,0,0,449,100,8377,87.97,25.3
6/5/2023 10:45,425.2,370.2,24.5,0.810,88.15,0,0,449,23.1,0.844,88.05,0,0,448,100,8380,87.98,25.5
6/5/2023 11:00,509.9,449.5,24.8,0.815,88.13,0,0,448,23.6,0.843,88.03,0,0,448,100,8393,87.97,25.9
6/5/2023 11:15,452.5,392.8,24.8,0.823,88.13,0,0,448,24.2,0.836,88.03,0,0,448,100,8397,87.96,26.5
6/5/2023 11:30,368.8,312.4,24.4,0.809,88.14,0,0,449,24.1,0.811,88.04,0,0,448,100,8404,87.97,26.8
6/5/2023 11:45,334.4,280.5,24.5,0.828,88.14,0,0,449,23.8,0.842,88.05,0,0,448,100,8405,87.98,26.7
6/5/2023 12:00,438.0,343.9,24.6,0.831,88.13,0,0,449,23.4,0.854,88.04,0,0,448,100,8409,87.97,26.6
6/5/2023 12:15,693.1,299.0,24.5,0.763,88.12,0,0,446,23.7,0.784,88.02,0,0,447,100,8412,87.96,26.5
6/5/2023 12:30,431.9,233.5,24.6,0.696,88.11,0,0,446,24.5,0.704,88.00,0,0,447,100,8412,87.94,26.5
6/5/2023 12:45,390.4,247.2,24.9,0.735,88.09,0,0,447,24.0,0.761,87.99,0,0,447,100,8413,87.93,26.4
6/5/2023 13:00,287.7,219.0,24.5,0.725,88.08,0,0,447,24.4,0.731,87.99,0,0,447,100,8410,87.92,26.4
6/5/2023 13:15,237.3,199.8,24.5,0.731,88.06,0,0,447,23.7,0.754,87.97,0,0,448,100,8411,87.90,26.1
6/5/2023 13:30,260.0,224.1,24.3,0.744,88.04,0,0,447,23.9,0.757,87.95,0,0,447,100,8412,87.88,26.0
6/5/2023 13:45,285.3,241.3,24.4,0.769,88.01,0,0,447,24.1,0.775,87.91,0,0,448,100,8412,87.85,26.1
6/5/2023 14:00,201.8,193.5,24.3,0.791,87.98,0,0,449,23.6,0.808,87.89,0,0,449,100,8409,87.82,26.0
6/5/2023 14:15,148.3,127.3,23.5,0.847,87.97,0,0,449,22.6,0.866,87.88,0,0,450,100,8407,87.81,25.2
6/5/2023 14:30,154.0,130.0,23.5,0.857,87.96,0,0,449,22.7,0.871,87.87,0,0,449,100,8406,87.80,24.8
6/5/2023 14:45,111.5,95.0,23.4,0.858,87.96,5,0,450,22.7,0.871,87.86,5,0,450,100,8405,87.80,24.7
6/5/2023 15:00,91.4,80.2,22.6,0.882,87.94,14,0,450,22.1,0.891,87.85,15,0,450,100,8397,87.78,24.1
6/5/2023 15:15,140.3,123.2,22.6,0.889,87.93,13,0,450,22.2,0.888,87.84,15,0,450,100,8397,87.77,23.9
6/5/2023 15:30,118.5,98.0,22.5,0.891,87.93,15,0,451,21.9,0.900,87.83,15,0,451,100,8396,87.77,23.6
6/5/2023 15:45,119.6,98.5,22.4,0.897,87.92,15,0,450,21.8,0.904,87.83,15,0,451,100,8394,87.77,23.3
6/5/2023 16:00,93.0,77.1,22.5,0.897,87.92,15,0,451,22.0,0.904,87.83,15,0,451,100,8390,87.77,23.3
6/5/2023 16:15,34.1,27.8,22.1,0.909,87.94,15,0,452,21.5,0.919,87.85,15,0,452,100,8386,87.79,23.0
6/5/2023 16:30,22.5,19.8,21.2,0.921,87.96,15,7,609,21.1,0.920,87.86,15,4,661,100,8384,87.80,22.4
6/5/2023 16:45,29.1,25.5,21.0,0.909,88.00,15,15,569,21.1,0.896,87.91,15,15,607,100,8381,87.84,22.1
6/5/2023 17:00,22.5,18.9,21.0,0.914,88.00,15,15,557,21.1,0.895,87.90,15,15,576,100,8380,87.84,21.8
6/5/2023 17:15,3.8,3.1,20.7,0.934,88.01,15,15,742,20.8,0.917,87.91,15,15,943,100,8377,87.85,21.7
