z6-15982,Port 1,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 6,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 2979,PYR,PYR,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, W/m² Solar Radiation, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
8/5/2023 8:45,1741.1,55.8,19.0,1.001,87.71,15,15,472,19.0,1.000,87.70,15,11,458,73,7577,87.61,19.2
8/5/2023 9:00,1734.2,52.4,19.3,1.000,87.70,15,3,456,19.2,0.998,87.69,15,0,457,73,7581,87.61,19.1
8/5/2023 9:15,1723.9,89.5,19.4,1.000,87.71,15,0,452,19.3,0.993,87.70,15,0,455,72,7572,87.62,19.2
8/5/2023 9:30,1707.1,88.6,19.7,0.996,87.72,15,0,452,19.6,0.978,87.71,15,0,454,73,7578,87.63,19.4
8/5/2023 9:45,1702.7,110.8,19.8,0.989,87.72,15,2,453,19.7,0.969,87.70,15,0,453,73,7577,87.62,19.5
8/5/2023 10:00,1685.3,110.2,20.0,0.979,87.73,15,10,452,19.9,0.963,87.71,15,0,453,73,7579,87.63,19.6
8/5/2023 10:15,1667.7,124.1,20.3,0.966,87.73,15,0,452,20.2,0.952,87.72,15,0,453,73,7581,87.63,19.8
8/5/2023 10:30,1644.8,96.7,20.5,0.952,87.72,15,4,457,20.4,0.940,87.71,15,0,453,74,7586,87.62,20.0
8/5/2023 10:45,1625.1,105.1,20.5,0.956,87.69,15,6,503,20.4,0.941,87.68,15,0,455,74,7583,87.60,20.2
8/5/2023 11:00,1613.3,129.1,20.7,0.957,87.65,15,5,452,20.5,0.943,87.64,15,0,453,74,7588,87.56,20.3
8/5/2023 11:15,1592.5,114.1,20.9,0.949,87.64,15,0,456,20.8,0.938,87.63,15,0,454,74,7589,87.55,20.5
8/5/2023 11:30,1604.0,116.8,20.6,0.958,87.66,15,13,507,20.6,0.940,87.65,15,9,463,75,7591,87.56,20.4
