z6-16008,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 5,Port 5,Port 5,Port 7,Port 7,Port 8,Port 8
Records: 1912,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
5/16/2023 11:30,62.8,57,1.17,2.99,20.2,0.2,-3.0,20.3,0.891,88.34,15,5,455,66,1.15,2.99,20.4,4.4,-3.4,89,7715,88.15,22.0
5/16/2023 11:45,61.5,85,1.28,3.15,20.2,0.1,-3.0,20.1,0.902,88.33,15,0,457,96,1.46,3.22,20.3,4.4,-3.5,89,7715,88.14,21.5
5/16/2023 12:00,73.2,87,1.95,4.29,20.1,0.1,-3.0,20.0,0.897,88.32,15,0,453,115,1.86,3.95,20.3,4.5,-3.5,90,7716,88.13,21.3
5/16/2023 12:15,85.7,23,1.51,3.79,20.1,0.0,-3.0,20.1,0.896,88.31,15,6,460,37,1.80,4.29,20.3,4.4,-3.4,89,7715,88.13,21.1
5/16/2023 12:30,104.6,17,1.04,3.19,20.2,0.1,-3.0,20.1,0.910,88.30,15,9,457,33,1.31,2.94,20.4,4.4,-3.5,90,7717,88.12,21.1
5/16/2023 12:45,82.8,69,1.14,4.39,20.3,0.1,-3.1,20.2,0.912,88.28,15,0,452,57,1.22,3.48,20.5,4.5,-3.5,90,7716,88.10,21.2
5/16/2023 13:00,57.5,108,2.41,4.04,20.0,0.1,-2.9,19.9,0.917,88.27,15,1,463,134,2.32,4.39,20.2,4.4,-3.5,90,7719,88.09,21.1
5/16/2023 13:15,65.0,89,2.15,5.54,19.9,0.1,-2.8,19.8,0.928,88.25,15,15,548,120,1.97,4.82,20.0,4.5,-3.5,90,7719,88.07,20.9
5/16/2023 13:30,79.5,123,0.78,3.84,20.1,0.2,-2.9,20.0,0.936,88.22,15,15,726,82,0.73,3.59,20.1,4.5,-3.6,90,7718,88.05,20.8
5/16/2023 13:45,96.1,79,0.37,1.01,20.2,0.3,-2.9,20.3,0.938,88.20,15,15,574,57,0.51,1.31,20.3,4.6,-3.6,90,7721,88.02,21.0
