z6-16008,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5,Port 5,Port 5,Port 5,Port 7,Port 7,Port 8,Port 8
Records: 1918,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
8/23/2023 9:45,78.2,114,1.70,5.19,20.2,0.9,-2.9,20.1,0.911,87.90,15,7,469,154,1.78,5.70,20.4,4.9,-3.5,54,7416,87.68,20.8
8/23/2023 10:00,75.4,123,1.37,5.01,20.3,1.0,-2.9,20.2,0.917,87.90,15,14,467,167,1.46,4.62,20.5,4.9,-3.4,54,7418,87.69,20.7
8/23/2023 10:15,68.8,123,1.27,3.98,20.3,1.0,-2.9,20.3,0.914,87.91,15,15,479,167,1.27,3.92,20.5,4.9,-3.5,54,7417,87.70,20.7
8/23/2023 10:30,65.0,122,0.76,3.37,20.3,1.0,-3.0,20.2,0.932,87.92,15,15,625,163,0.80,2.95,20.4,4.9,-3.5,54,7418,87.71,20.6
8/23/2023 10:45,70.1,128,0.99,2.80,20.3,1.2,-2.9,20.2,0.937,87.94,15,15,634,157,1.23,3.62,20.4,4.9,-3.5,54,7417,87.73,20.6
8/23/2023 11:00,85.9,71,0.70,3.04,20.2,1.1,-2.9,20.3,0.948,87.93,15,15,568,106,0.93,3.84,20.4,4.9,-3.5,54,7420,87.73,20.7
8/23/2023 11:15,97.4,129,0.65,3.13,20.3,1.1,-2.9,20.4,0.947,87.92,15,15,545,107,0.95,2.49,20.5,4.9,-3.5,55,7422,87.72,20.8
8/23/2023 11:30,107.7,133,1.25,6.87,20.3,1.2,-2.8,20.3,0.941,87.91,15,15,534,152,1.57,5.85,20.5,4.9,-3.5,55,7424,87.71,20.9
8/23/2023 11:45,109.7,112,1.92,5.75,20.2,1.2,-2.8,20.2,0.936,87.89,15,15,497,140,2.21,5.48,20.4,4.8,-3.5,55,7425,87.69,20.9
8/23/2023 12:00,119.2,113,1.18,4.83,20.3,1.0,-2.8,20.3,0.938,87.87,15,15,487,132,1.48,4.62,20.6,5.0,-3.5,55,7428,87.67,21.0
8/23/2023 12:15,150.0,124,1.28,3.73,20.8,1.1,-2.9,20.8,0.930,87.84,15,15,467,144,1.65,6.04,21.0,4.9,-3.5,56,7432,87.65,21.3
8/23/2023 12:30,174.0,120,1.86,5.67,21.2,1.0,-2.9,21.2,0.906,87.82,15,1,454,139,1.79,6.33,21.5,4.9,-3.5,56,7437,87.62,21.8
8/23/2023 12:45,161.5,120,2.53,5.09,21.5,1.1,-3.0,21.4,0.897,87.80,15,0,453,143,2.01,5.32,21.8,5.0,-3.5,56,7438,87.60,22.1
8/23/2023 13:00,159.3,121,1.77,6.14,22.0,1.1,-3.0,21.8,0.887,87.78,15,0,453,127,1.38,5.12,22.3,4.9,-3.5,57,7441,87.58,22.5
8/23/2023 13:15,147.8,120,2.26,5.63,21.8,1.1,-2.9,21.8,0.877,87.76,15,0,453,131,1.99,5.96,22.0,5.0,-3.5,58,7449,87.56,22.8
8/23/2023 13:30,153.4,119,2.31,6.24,21.6,1.0,-2.9,21.4,0.892,87.73,15,0,453,137,2.19,5.13,21.8,5.0,-3.4,58,7449,87.53,22.8
8/23/2023 13:45,158.9,109,2.00,6.10,21.8,1.0,-3.1,21.6,0.891,87.72,15,3,453,134,1.82,5.97,22.1,5.0,-3.5,58,7453,87.52,22.9
8/23/2023 14:00,146.9,110,2.15,5.42,21.8,1.0,-3.1,21.6,0.887,87.70,15,0,453,139,2.28,4.97,22.0,5.0,-3.5,59,7457,87.50,23.0
8/23/2023 14:15,126.7,127,2.00,5.62,21.6,1.1,-2.8,21.4,0.893,87.69,15,0,453,152,2.04,5.54,21.8,5.0,-3.5,59,7460,87.49,23.0
8/23/2023 14:30,106.2,132,1.20,4.03,21.5,1.0,-3.0,21.3,0.904,87.68,15,0,454,122,1.34,4.40,21.7,4.9,-3.4,59,7460,87.48,22.9
8/23/2023 14:45,120.8,119,1.99,6.26,21.1,0.9,-2.9,20.9,0.908,87.66,15,0,454,137,2.13,5.46,21.2,4.9,-3.5,60,7466,87.46,22.7
8/23/2023 15:00,135.3,129,1.80,5.99,21.1,1.1,-2.9,20.8,0.919,87.64,15,0,453,138,2.00,6.23,21.3,5.0,-3.4,60,7466,87.44,22.7
8/23/2023 15:15,90.1,121,2.73,8.27,20.7,1.1,-3.0,20.6,0.910,87.62,15,0,454,146,3.09,7.78,20.9,5.0,-3.5,60,7467,87.42,22.6
8/23/2023 15:30,69.2,99,2.69,7.32,20.3,1.1,-2.9,20.2,0.922,87.62,15,0,455,125,2.62,6.64,20.5,4.9,-3.5,60,7469,87.42,22.0
8/23/2023 15:45,60.6,111,1.87,5.25,20.1,1.0,-2.9,20.0,0.936,87.62,15,0,455,128,2.18,5.18,20.3,4.9,-3.5,60,7468,87.42,21.5
8/23/2023 16:00,48.9,95,2.13,7.32,20.1,1.1,-2.9,20.0,0.935,87.60,15,0,455,122,2.22,7.77,20.3,4.9,-3.5,60,7465,87.41,21.2
8/23/2023 16:15,35.3,99,2.93,7.86,20.0,0.9,-2.7,19.9,0.933,87.62,15,0,455,124,2.97,8.18,20.1,5.0,-3.4,59,7463,87.42,20.9
