z6-15917,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 2784,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
10/5/2023 10:30,40.1,9.111,0,0,8,0.86,2.37,20.4,0.985,85.56,2.3,-1.3,102.0,21.8,15,15,964,1.0,24.0,100,8052,85.47,22.5
10/5/2023 10:45,57.4,18.004,0,0,38,0.69,2.12,18.7,1.002,85.55,2.1,-1.3,174.4,20.4,15,15,961,7.4,48.0,100,8048,85.46,21.1
10/5/2023 11:00,78.7,7.872,0,0,161,0.52,1.22,18.4,1.000,85.53,2.2,-1.3,50.0,19.3,15,15,948,6.8,48.0,100,8050,85.44,20.2
10/5/2023 11:15,72.7,2.821,0,0,29,0.79,1.47,18.6,1.001,85.52,2.1,-1.3,33.7,19.0,15,15,779,3.8,36.0,100,8050,85.42,19.9
10/5/2023 11:30,95.3,2.923,0,0,89,0.82,1.65,18.4,1.000,85.49,2.1,-1.3,41.8,18.9,15,15,879,3.4,48.0,100,8048,85.39,19.7
10/5/2023 11:45,93.9,0.306,0,0,49,0.64,1.60,18.2,0.996,85.47,2.1,-1.3,5.1,18.9,15,15,709,0.4,12.0,100,8048,85.38,19.6
10/5/2023 12:00,63.5,0.477,2,10,65,0.65,1.67,18.5,0.999,85.47,2.1,-1.3,7.1,18.9,15,15,793,0.8,12.0,100,8046,85.38,19.5
10/5/2023 12:15,52.2,1.583,2,6,30,0.71,1.30,18.6,0.999,85.46,2.2,-1.3,19.4,18.8,15,15,824,2.6,36.0,100,8044,85.36,19.4
10/5/2023 12:30,70.1,1.566,2,6,32,0.85,1.48,18.4,1.002,85.43,2.1,-1.2,10.2,18.8,15,15,884,2.8,24.0,100,8042,85.34,19.3
10/5/2023 12:45,72.7,1.191,0,0,29,0.72,1.23,18.5,1.001,85.41,2.1,-1.3,9.2,18.8,15,15,776,1.8,12.0,100,8042,85.32,19.3
10/5/2023 13:00,64.2,0.102,1,20,30,0.63,1.23,18.7,1.001,85.38,2.1,-1.3,1.0,19.0,15,15,734,0.2,12.0,100,8042,85.29,19.4
