z6-15917,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1347,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
12/22/2023 9:15,202.2,0.000,0,0,349,4.26,8.49,17.8,1.003,85.31,2.3,-1.3,0.0,18.2,15,15,510,0.2,12.0,100,8110,85.29,18.5
12/22/2023 9:30,284.9,0.000,0,0,352,4.18,8.43,17.9,1.001,85.32,2.3,-0.7,0.0,18.6,15,15,569,0.0,0.0,100,8110,85.29,18.8
12/22/2023 9:45,533.9,0.000,0,0,355,4.19,8.76,18.1,0.997,85.29,2.0,-2.0,0.0,19.2,15,15,596,0.0,0.0,100,8115,85.28,19.5
12/22/2023 10:00,580.0,0.000,0,0,0,3.76,9.80,18.3,1.003,85.28,2.3,-1.2,0.0,20.0,15,15,473,0.0,0.0,100,8118,85.27,20.6
12/22/2023 10:15,628.7,0.000,0,0,1,3.57,6.14,18.4,0.997,85.27,2.3,-1.6,0.0,20.4,15,15,464,0.0,0.0,100,8118,85.26,21.3
12/22/2023 10:30,622.1,0.000,0,0,351,4.43,9.62,18.5,0.996,85.27,2.0,-1.5,0.0,20.7,15,8,718,0.0,0.0,100,8121,85.25,21.9
12/22/2023 10:45,524.8,0.000,0,0,346,5.01,9.97,18.1,1.002,85.28,2.1,-1.9,0.0,20.0,15,15,643,0.4,12.0,100,8125,85.26,21.0
12/22/2023 11:00,662.5,0.000,0,0,340,5.28,9.09,18.2,0.994,85.26,2.4,-1.6,0.0,20.0,15,15,616,0.6,12.0,100,8129,85.24,21.1
