z6-15917,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1432,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
9/20/2023 12:15,440.1,0.000,0,0,347,1.55,4.58,21.4,0.932,85.29,2.1,-1.2,0.0,23.7,0,0,444,0.0,0.0,100,8211,85.19,24.6
9/20/2023 12:30,531.4,0.000,0,0,340,1.71,3.27,21.9,0.918,85.25,2.3,-1.3,0.0,24.2,0,0,445,0.0,0.0,100,8216,85.16,25.3
9/20/2023 12:45,361.3,0.000,0,0,355,1.26,2.97,21.7,0.932,85.23,2.3,-1.4,0.0,24.0,0,0,445,0.0,0.0,100,8222,85.13,25.2
9/20/2023 13:00,354.9,0.000,0,0,0,1.13,2.56,21.6,0.946,85.21,2.2,-1.3,0.0,24.0,0,0,445,0.0,0.0,100,8225,85.11,25.2
9/20/2023 13:15,339.7,0.000,0,0,12,1.24,2.75,21.8,0.940,85.21,2.2,-1.3,0.0,24.0,0,0,445,0.0,0.0,100,8229,85.11,25.2
9/20/2023 13:30,494.0,0.000,1,17,346,2.14,4.68,21.5,0.948,85.19,2.2,-1.3,0.0,24.0,0,0,445,0.0,0.0,100,8239,85.09,25.3
9/20/2023 13:45,299.1,0.000,1,17,347,1.44,3.17,21.4,0.934,85.18,2.2,-1.3,0.0,23.6,0,0,445,0.0,0.0,100,8241,85.08,24.9
9/20/2023 14:00,287.7,0.000,0,0,338,1.78,3.58,21.1,0.944,85.17,2.3,-1.3,0.0,23.2,0,0,446,0.0,0.0,100,8244,85.07,24.5
