z6-15917,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1435,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
1/23/2024 11:15,600.1,0.000,0,0,353,4.12,7.95,18.0,0.994,85.34,4.6,-0.1,0.0,19.3,15,15,529,0.0,0.0,100,8177,85.33,19.9
1/23/2024 11:30,429.5,0.000,0,0,346,5.01,8.51,17.4,1.005,85.33,4.6,-0.5,0.0,19.3,15,15,516,0.0,0.0,100,8183,85.31,20.0
1/23/2024 11:45,327.1,0.000,0,0,347,4.75,10.06,17.0,1.004,85.34,4.2,-0.5,0.0,18.5,15,15,490,0.0,0.0,100,8187,85.31,19.5
1/23/2024 12:00,579.2,0.000,0,0,352,4.42,8.48,17.1,1.010,85.31,4.0,-0.3,0.0,18.6,15,15,477,0.0,0.0,100,8191,85.30,20.0
1/23/2024 12:15,356.1,0.000,0,0,349,4.14,7.59,17.2,0.993,85.31,4.3,-0.6,0.0,18.5,15,15,569,0.0,0.0,100,8196,85.29,19.9
1/23/2024 12:30,751.3,0.000,0,0,348,4.61,8.03,18.2,0.999,85.27,4.3,-0.6,0.0,19.1,15,15,468,0.0,0.0,100,8203,85.25,20.5
1/23/2024 12:45,439.3,0.000,0,0,348,4.62,9.14,18.1,1.001,85.27,4.4,-0.4,0.0,19.2,15,12,481,0.0,0.0,100,8209,85.25,20.6
1/23/2024 13:00,834.5,0.000,0,0,350,4.60,9.16,18.9,0.989,85.23,4.4,-0.4,0.0,20.0,7,1,449,0.0,0.0,100,8219,85.23,21.3
