z6-15917,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1800,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
4/19/2024 11:45,863.5,0.000,0,0,350,2.33,4.80,23.0,0.739,85.47,4.5,-0.5,0.0,26.1,0,0,441,0.0,0.0,100,8238,85.47,26.3
4/19/2024 12:00,890.6,0.000,0,0,354,2.26,4.85,23.0,0.748,85.45,4.5,-0.5,0.0,25.6,0,0,441,0.0,0.0,100,8262,85.45,26.3
4/19/2024 12:15,731.4,0.000,0,0,352,2.33,5.79,22.7,0.766,85.44,4.5,-0.5,0.0,25.4,0,0,442,0.0,0.0,100,8274,85.44,26.4
4/19/2024 12:30,618.7,0.000,0,0,345,2.07,4.44,22.6,0.766,85.43,4.5,-0.4,0.0,25.0,0,0,442,0.0,0.0,100,8285,85.43,26.4
4/19/2024 12:45,533.2,0.000,0,0,342,2.39,5.29,22.2,0.790,85.41,4.4,-0.4,0.0,24.7,0,0,443,0.0,0.0,100,8296,85.41,26.2
4/19/2024 13:00,645.9,0.000,0,0,349,2.32,5.34,22.5,0.787,85.39,4.4,-0.4,0.0,24.4,0,0,442,0.0,0.0,100,8314,85.38,26.0
4/19/2024 13:15,760.3,0.000,0,0,337,3.36,7.63,22.1,0.798,85.37,4.4,-0.4,0.0,24.4,0,0,442,0.0,0.0,100,8333,85.37,26.0
4/19/2024 13:30,847.2,0.000,0,0,343,2.74,6.96,23.1,0.761,85.36,4.5,-0.6,0.0,24.8,0,0,441,0.0,0.0,100,8357,85.36,26.7
4/19/2024 13:45,661.1,0.000,0,0,343,2.20,5.25,23.1,0.768,85.36,4.6,-0.5,0.0,25.4,0,0,441,0.0,0.0,100,8368,85.36,27.5
4/19/2024 14:00,616.9,0.000,0,0,333,2.95,5.85,22.1,0.814,85.36,4.5,-0.3,0.0,24.9,0,0,442,0.0,0.0,100,8378,85.35,27.1
4/19/2024 14:15,596.8,0.000,0,0,336,2.36,5.38,22.4,0.787,85.35,4.5,-0.6,0.0,24.7,0,0,442,0.0,0.0,100,8380,85.34,27.2
4/19/2024 14:30,294.1,0.000,0,0,345,1.99,4.56,22.6,0.774,85.34,4.5,-0.5,0.0,24.5,0,0,443,0.0,0.0,100,8372,85.34,26.9
4/19/2024 14:45,231.5,0.000,0,0,340,2.36,6.12,22.3,0.787,85.34,4.5,-0.4,0.0,24.3,0,0,443,0.0,0.0,100,8365,85.33,26.1
4/19/2024 15:00,220.3,0.000,0,0,335,2.93,6.04,21.7,0.801,85.33,4.6,-0.6,0.0,23.4,0,0,444,0.0,0.0,100,8360,85.32,25.1
4/19/2024 15:15,203.7,0.000,0,0,336,3.13,5.71,21.5,0.804,85.31,4.4,-0.5,0.0,22.9,0,0,444,0.0,0.0,100,8359,85.31,24.4
