z6-15917,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1908,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
5/24/2024 12:45,671.8,0.000,0,0,333,1.39,3.00,23.2,0.865,85.42,5.1,0.0,0.0,25.1,0,0,442,0.0,0.0,100,8362,85.45,25.3
5/24/2024 13:00,498.6,0.000,0,0,328,1.40,3.89,23.0,0.891,85.40,4.9,0.0,0.0,25.7,0,0,443,0.0,0.0,100,8361,85.43,26.8
5/24/2024 13:15,654.2,0.000,0,0,342,1.12,2.56,23.5,0.871,85.38,5.0,0.0,0.0,25.8,0,0,442,0.0,0.0,100,8367,85.41,27.2
5/24/2024 13:30,605.3,0.000,0,0,337,1.71,3.57,23.2,0.877,85.36,4.9,0.1,0.0,26.0,0,0,442,0.0,0.0,100,8377,85.39,27.8
5/24/2024 13:45,300.5,0.000,0,0,327,0.92,2.84,23.1,0.870,85.35,4.9,0.0,0.0,26.0,0,0,444,0.0,0.0,100,8364,85.37,28.0
5/24/2024 14:00,333.6,0.000,0,0,333,1.19,2.70,22.8,0.865,85.34,4.9,0.0,0.0,25.2,0,0,443,0.0,0.0,100,8367,85.35,27.2
5/24/2024 14:15,370.7,0.000,0,0,14,1.07,3.11,23.3,0.861,85.32,4.9,0.0,0.0,25.4,0,0,444,0.0,0.0,100,8359,85.35,27.3
5/24/2024 14:30,97.5,0.000,0,0,57,1.06,2.11,22.5,0.900,85.35,4.9,0.0,0.0,24.6,0,0,445,0.0,0.0,100,8348,85.36,26.5
5/24/2024 14:45,115.6,0.000,0,0,69,0.96,1.96,22.1,0.911,85.34,4.8,0.0,0.0,23.8,0,0,446,0.0,0.0,100,8339,85.36,25.4
5/24/2024 15:00,52.1,0.000,0,0,44,0.69,1.48,21.7,0.958,85.34,4.8,0.0,0.0,23.0,0,0,447,0.0,0.0,100,8331,85.35,24.5
5/24/2024 15:15,56.0,0.000,0,0,63,0.63,2.36,21.4,0.977,85.33,4.8,0.0,0.0,22.5,0,0,447,0.0,0.0,100,8325,85.34,23.8
5/24/2024 15:30,88.6,0.000,0,0,17,1.10,3.29,21.5,0.953,85.31,4.8,0.1,0.0,22.2,2,0,450,0.0,0.0,100,8317,85.33,23.4
5/24/2024 15:45,73.2,0.000,0,0,355,1.27,2.82,21.4,0.943,85.31,4.8,0.0,0.0,22.1,0,0,446,0.0,0.0,100,8314,85.33,23.1
5/24/2024 16:00,52.8,0.000,0,0,347,1.31,2.38,21.3,0.937,85.31,4.8,0.0,0.0,21.9,0,0,447,0.0,0.0,100,8308,85.33,22.8
5/24/2024 16:15,47.8,0.000,0,0,337,1.46,2.86,21.1,0.936,85.30,4.8,0.0,0.0,21.6,0,0,447,0.0,0.0,100,8302,85.31,22.3
5/24/2024 16:30,28.5,0.000,0,0,352,1.47,3.50,21.0,0.939,85.29,4.7,0.1,0.0,21.3,0,0,447,0.0,0.0,100,8298,85.31,22.0
5/24/2024 16:45,6.5,0.000,0,0,332,1.09,2.77,20.8,0.942,85.34,4.8,0.1,0.0,21.0,0,0,447,0.0,0.0,100,8295,85.36,21.6
5/24/2024 17:00,8.7,0.000,0,0,349,1.28,2.56,20.7,0.949,85.36,4.8,0.0,0.0,20.8,0,0,448,0.0,0.0,100,8290,85.38,21.3
5/24/2024 17:15,19.5,0.000,0,0,345,1.39,3.01,20.5,0.962,85.34,4.8,0.1,0.0,20.7,0,0,448,0.0,0.0,100,8289,85.36,21.1
5/24/2024 17:30,13.7,0.000,0,0,354,0.51,1.26,20.5,0.960,85.35,4.8,0.0,0.0,20.5,0,0,448,0.0,0.0,100,8286,85.37,20.9
5/24/2024 17:45,10.5,0.000,0,0,351,0.43,1.14,20.4,0.968,85.36,4.7,0.0,0.0,20.4,1,0,450,0.0,0.0,100,8285,85.38,20.8
5/24/2024 18:00,3.0,0.000,0,0,6,0.60,1.56,19.9,0.985,85.36,4.8,0.0,0.0,20.2,15,0,455,0.0,0.0,100,8279,85.38,20.5
