z6-15917,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 1456,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
7/3/2024 10:00,150.8,0.000,0,0,20,1.28,1.86,19.6,1.002,85.41,5.0,0.0,0.0,20.6,0,0,448,0.0,0.0,100,8181,85.41,22.0
7/3/2024 10:15,168.0,0.000,0,0,8,1.21,2.38,19.6,0.998,85.42,4.9,0.0,0.0,20.5,0,0,448,0.0,0.0,100,8181,85.41,21.7
7/3/2024 10:30,169.7,0.238,0,0,47,0.66,1.41,19.3,1.002,85.40,4.9,0.0,7.1,20.5,12,12,544,0.0,0.0,100,8181,85.40,21.6
7/3/2024 10:45,201.3,0.000,0,0,80,1.01,2.20,19.0,1.000,85.39,4.9,0.0,0.0,20.3,15,15,514,0.0,0.0,100,8184,85.39,21.3
7/3/2024 11:00,168.8,0.000,0,0,65,1.01,1.75,18.9,1.000,85.39,4.8,0.0,0.0,20.0,15,15,497,0.0,0.0,100,8184,85.38,21.1
7/3/2024 11:15,255.3,0.000,0,0,43,0.92,1.93,19.1,0.996,85.37,4.9,0.0,0.0,20.2,15,15,475,0.0,0.0,100,8187,85.37,21.3
7/3/2024 11:30,282.5,0.000,0,0,60,1.05,2.38,19.3,1.000,85.36,5.0,0.1,0.0,20.7,15,15,466,0.0,0.0,100,8190,85.36,21.9
7/3/2024 11:45,184.3,0.000,0,0,31,0.79,1.49,19.4,0.999,85.35,4.9,0.0,0.0,20.6,15,11,456,0.0,0.0,100,8193,85.35,21.9
7/3/2024 12:00,279.4,0.000,0,0,49,0.95,2.04,19.8,0.995,85.34,4.9,0.0,0.0,21.0,10,0,448,0.0,0.0,100,8194,85.34,22.3
7/3/2024 12:15,71.7,0.000,0,0,43,1.07,2.78,19.7,1.000,85.33,4.9,0.0,0.0,20.8,0,0,450,0.0,0.0,100,8193,85.32,22.2
7/3/2024 12:30,64.9,0.000,0,0,48,0.79,1.80,19.4,1.003,85.31,4.9,0.0,0.0,20.3,6,0,451,0.2,12.0,100,8191,85.31,21.6
7/3/2024 12:45,76.3,0.000,0,0,54,0.60,1.12,19.3,1.000,85.30,4.9,0.0,0.0,20.0,15,13,526,0.0,0.0,100,8185,85.29,21.1
7/3/2024 13:00,26.9,0.391,0,0,34,0.78,1.46,19.1,0.999,85.28,4.8,0.0,5.1,19.8,15,15,770,0.0,0.0,100,8185,85.28,20.9
7/3/2024 13:15,47.8,4.183,0,0,23,0.63,1.67,19.0,1.000,85.27,4.9,0.0,26.5,19.5,15,15,803,0.0,0.0,100,8181,85.26,20.3
7/3/2024 13:30,15.9,0.204,0,0,11,0.85,2.22,18.8,0.999,85.25,4.9,0.0,4.1,19.1,15,15,589,0.0,0.0,100,8181,85.24,19.8
7/3/2024 13:45,32.4,0.017,0,0,1,0.81,1.40,18.6,1.002,85.23,4.9,0.0,1.0,18.9,15,15,572,0.0,0.0,100,8176,85.23,19.5
7/3/2024 14:00,137.7,0.034,0,0,38,0.53,1.36,18.5,0.999,85.21,4.8,0.0,1.0,18.9,15,15,524,0.0,0.0,100,8180,85.21,19.5
7/3/2024 14:15,235.3,0.000,0,0,6,0.76,1.58,18.9,0.994,85.19,4.9,0.0,0.0,19.7,15,15,475,0.0,0.0,100,8183,85.20,20.1
