z6-15917,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 2979,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
3/19/2024 10:45,932.1,0.000,0,0,343,4.20,9.14,21.8,0.866,85.36,4.6,-0.7,0.0,24.8,0,0,445,0.0,0.0,100,8190,85.36,25.3
3/19/2024 11:00,951.5,0.000,0,0,344,4.16,8.18,21.9,0.861,85.35,4.7,-0.8,0.0,24.5,0,0,444,0.0,0.0,100,8190,85.34,25.2
3/19/2024 11:15,910.1,0.000,0,0,342,4.12,8.41,21.9,0.852,85.33,4.5,-0.9,0.0,24.4,0,0,444,0.0,0.0,100,8194,85.32,25.0
3/19/2024 11:30,977.4,0.000,0,0,348,3.60,7.37,22.5,0.850,85.32,4.4,-0.6,0.0,24.5,0,0,444,0.0,0.0,100,8193,85.31,25.1
3/19/2024 11:45,982.5,0.000,0,0,348,3.85,10.72,22.7,0.849,85.31,4.5,-0.6,0.0,25.0,0,0,445,0.0,0.0,100,8202,85.30,25.5
3/19/2024 12:00,985.1,0.000,0,0,339,3.94,8.15,22.2,0.861,85.29,4.6,-0.4,0.0,24.7,0,0,444,0.0,0.0,100,8212,85.28,25.4
3/19/2024 12:15,997.7,0.000,0,0,346,4.02,8.34,22.3,0.855,85.28,4.3,-0.4,0.0,24.5,0,0,444,0.0,0.0,100,8235,85.27,25.5
3/19/2024 12:30,977.2,0.000,0,0,344,3.91,7.21,22.4,0.849,85.27,4.7,-0.7,0.0,24.5,0,0,443,0.0,0.0,100,8260,85.26,25.6
3/19/2024 12:45,807.2,0.000,0,0,340,4.49,10.03,21.7,0.866,85.27,4.7,-0.6,0.0,24.2,0,0,444,0.0,0.0,100,8279,85.25,25.5
3/19/2024 13:00,938.7,0.000,0,0,340,3.65,7.80,22.1,0.844,85.27,4.5,-0.6,0.0,24.1,0,0,444,0.0,0.0,100,8304,85.25,25.6
3/19/2024 13:15,900.4,0.000,0,0,345,3.91,11.98,22.4,0.839,85.27,4.4,-0.7,0.0,24.4,0,0,443,0.0,0.0,100,8329,85.25,26.0
3/19/2024 13:30,832.9,0.000,0,0,347,3.13,8.45,22.5,0.855,85.27,4.7,-0.6,0.0,24.6,0,0,443,0.0,0.0,100,8343,85.25,26.4
3/19/2024 13:45,679.2,0.000,0,0,345,2.86,7.17,22.2,0.868,85.26,4.7,-0.9,0.0,24.8,0,0,444,0.0,0.0,100,8352,85.24,26.7
3/19/2024 14:00,567.7,0.000,0,0,340,3.14,7.03,21.6,0.870,85.26,4.6,-0.5,0.0,24.2,0,0,445,0.0,0.0,100,8355,85.23,26.2
3/19/2024 14:15,248.1,0.000,0,0,353,2.72,4.94,22.1,0.843,85.25,4.5,-0.6,0.0,23.7,0,0,445,0.0,0.0,100,8346,85.22,25.5
3/19/2024 14:30,249.5,0.000,0,0,341,2.89,6.76,21.8,0.846,85.23,4.5,-0.6,0.0,23.3,0,0,446,0.0,0.0,100,8342,85.20,24.8
3/19/2024 14:45,214.0,0.000,0,0,343,3.19,6.31,21.6,0.853,85.22,4.4,-0.3,0.0,22.9,0,0,446,0.0,0.0,100,8340,85.19,24.2
3/19/2024 15:00,146.9,0.000,0,0,338,3.67,9.40,21.1,0.866,85.21,4.4,-0.5,0.0,22.3,0,0,447,0.0,0.0,100,8335,85.17,23.5
3/19/2024 15:15,151.8,0.000,0,0,341,3.60,6.76,21.2,0.865,85.20,4.4,-0.3,0.0,22.0,0,0,447,0.0,0.0,100,8330,85.17,23.0
3/19/2024 15:30,134.5,0.000,0,0,338,3.32,6.55,21.2,0.874,85.20,4.3,-0.4,0.0,21.9,0,0,447,0.0,0.0,100,8327,85.17,22.7
3/19/2024 15:45,117.8,0.000,0,0,339,3.48,6.30,21.0,0.891,85.19,4.3,-0.5,0.0,21.8,0,0,448,0.0,0.0,100,8322,85.16,22.5
3/19/2024 16:00,110.1,0.000,0,0,341,3.32,6.35,20.7,0.895,85.20,4.6,-0.5,0.0,21.4,0,0,447,0.0,0.0,100,8320,85.17,22.0
3/19/2024 16:15,64.1,0.000,0,0,342,3.11,7.43,20.4,0.878,85.21,4.4,-0.5,0.0,21.0,0,0,447,0.0,0.0,100,8311,85.17,21.6
3/19/2024 16:30,43.1,0.000,0,0,341,3.05,5.87,20.1,0.896,85.22,4.5,-0.3,0.0,20.6,0,0,448,0.0,0.0,100,8308,85.19,21.2
3/19/2024 16:45,33.1,0.000,0,0,348,2.94,5.33,19.9,0.907,85.23,4.4,-0.4,0.0,20.2,0,0,448,0.0,0.0,100,8302,85.20,20.7
3/19/2024 17:00,28.0,0.000,0,0,344,3.09,6.92,19.7,0.911,85.24,4.4,-0.5,0.0,19.9,0,0,448,0.0,0.0,100,8302,85.21,20.4
3/19/2024 17:15,18.3,0.000,0,0,358,2.35,5.23,19.5,0.920,85.25,4.4,-0.6,0.0,19.7,0,0,449,0.0,0.0,100,8298,85.22,20.1
3/19/2024 17:30,9.8,0.000,0,0,351,2.63,4.51,19.3,0.926,85.26,4.5,-0.4,0.0,19.4,0,0,449,0.0,0.0,100,8294,85.23,19.7
3/19/2024 17:45,6.3,0.000,0,0,349,2.77,5.96,19.1,0.927,85.27,4.3,-0.6,0.0,19.0,0,0,450,0.0,0.0,100,8292,85.24,19.4
3/19/2024 18:00,1.3,0.000,0,0,3,2.40,5.63,18.9,0.933,85.29,4.3,-0.5,0.0,18.8,4,0,450,0.0,0.0,100,8291,85.26,19.1
3/19/2024 18:15,0.0,0.000,0,0,10,2.29,3.80,18.8,0.943,85.31,4.4,-0.5,0.0,18.6,15,0,450,0.0,0.0,100,8287,85.28,18.9
3/19/2024 18:30,0.0,0.000,0,0,2,2.29,5.09,18.5,0.937,85.33,4.4,-0.6,0.0,18.4,14,0,450,0.0,0.0,100,8283,85.30,18.7
