z6-15917,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 8834,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
6/20/2023 11:30,965.7,0.000,0,0,348,4.39,8.67,22.9,0.844,85.17,1.6,-1.3,0.0,24.8,0,0,445,0.0,0.0,100,8386,85.05,25.8
6/20/2023 11:45,985.5,0.000,0,0,346,4.39,8.92,23.1,0.829,85.16,1.7,-1.3,0.0,24.8,0,0,445,0.0,0.0,100,8404,85.05,25.9
6/20/2023 12:00,959.7,0.000,0,0,341,3.88,7.50,23.2,0.831,85.16,1.4,-1.4,0.0,25.0,0,0,445,0.0,0.0,100,8412,85.05,26.3
6/20/2023 12:15,866.0,0.000,0,0,349,3.58,7.25,23.2,0.834,85.16,1.6,-1.4,0.0,25.1,0,0,444,0.0,0.0,100,8418,85.04,26.5
6/20/2023 12:30,919.0,0.000,0,0,343,3.60,9.55,23.3,0.830,85.14,1.6,-1.4,0.0,25.2,0,0,445,0.0,0.0,100,8431,85.02,26.7
6/20/2023 12:45,899.4,0.000,0,0,341,4.06,10.17,23.3,0.829,85.12,1.6,-1.5,0.0,25.3,0,0,445,0.0,0.0,100,8437,85.01,26.9
6/20/2023 13:00,893.9,0.000,0,0,340,3.52,6.75,23.3,0.829,85.13,1.5,-1.5,0.0,25.3,0,0,445,0.0,0.0,100,8443,85.01,27.1
6/20/2023 13:15,783.9,0.000,0,0,337,2.43,7.39,23.3,0.823,85.14,1.6,-1.4,0.0,25.5,0,0,445,0.0,0.0,100,8444,85.02,27.5
6/20/2023 13:30,486.2,0.000,0,0,346,2.39,7.39,23.1,0.840,85.14,1.6,-1.4,0.0,25.5,0,0,444,0.0,0.0,100,8434,85.02,27.6
6/20/2023 13:45,623.6,0.000,0,0,344,2.63,7.46,23.0,0.841,85.13,1.5,-1.3,0.0,25.0,0,0,444,0.0,0.0,100,8435,85.00,27.1
6/20/2023 14:00,726.9,0.000,0,0,351,2.09,5.34,23.5,0.830,85.10,1.7,-1.5,0.0,25.4,0,0,443,0.0,0.0,100,8446,84.98,27.7
6/20/2023 14:15,570.4,0.000,0,0,343,2.63,10.05,23.3,0.826,85.10,1.6,-1.5,0.0,25.7,0,0,444,0.0,0.0,100,8438,84.98,28.1
6/20/2023 14:30,295.0,0.000,0,0,337,2.48,6.82,22.3,0.876,85.11,1.5,-1.4,0.0,24.8,0,0,445,0.0,0.0,100,8428,84.99,27.1
6/20/2023 14:45,360.1,0.000,0,0,340,1.87,5.98,22.5,0.859,85.10,1.6,-1.4,0.0,24.2,0,0,444,0.0,0.0,100,8425,84.97,26.3
6/20/2023 15:00,288.1,0.000,0,0,339,2.43,5.89,22.3,0.878,85.08,1.5,-1.4,0.0,24.1,0,0,446,0.0,0.0,100,8422,84.96,26.0
6/20/2023 15:15,119.3,0.000,0,0,344,1.48,2.67,22.1,0.892,85.07,1.5,-1.3,0.0,23.7,0,0,446,0.0,0.0,100,8406,84.93,25.3
6/20/2023 15:30,101.3,0.000,0,0,328,2.33,5.55,21.7,0.885,85.06,1.4,-1.3,0.0,22.9,0,0,447,0.0,0.0,100,8398,84.93,24.4
6/20/2023 15:45,117.9,0.000,0,0,338,1.41,4.36,21.9,0.874,85.06,1.5,-1.4,0.0,22.5,0,0,446,0.0,0.0,100,8393,84.93,23.8
6/20/2023 16:00,55.1,0.000,0,0,332,1.33,4.43,21.6,0.900,85.06,1.5,-1.3,0.0,22.4,0,0,447,0.0,0.0,100,8387,84.93,23.6
6/20/2023 16:15,31.2,0.170,0,0,340,1.23,4.07,21.1,0.915,85.06,1.4,-1.3,6.1,21.9,7,7,774,0.0,0.0,100,8378,84.93,22.9
6/20/2023 16:30,48.3,0.017,0,0,340,1.13,2.81,20.7,0.944,85.08,1.5,-1.4,1.0,21.4,15,15,650,0.0,0.0,100,8371,84.95,22.2
6/20/2023 16:45,27.9,0.000,0,0,333,1.76,4.54,20.4,0.942,85.10,1.4,-1.3,0.0,20.9,15,15,779,0.0,0.0,100,8368,84.97,21.6
6/20/2023 17:00,37.1,0.000,0,0,329,1.19,4.00,20.3,0.943,85.11,1.5,-1.4,0.0,20.5,15,15,696,0.0,0.0,100,8361,84.98,21.2
6/20/2023 17:15,17.9,0.068,0,0,337,1.34,4.68,20.2,0.943,85.10,1.4,-1.3,1.0,20.3,15,15,805,0.2,12.0,100,8357,84.98,20.9
