z6-15917,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 3449,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,PHYTOS 31,PHYTOS 31,PHYTOS 31,ECRN-100,ECRN-100,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, min Leaf Wetness, min Leaf Wetness (high), Wetness Level, mm Precipitation, mm/h Max Precip Rate,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
2/22/2024 14:15,648.8,0.000,0,0,5,0.96,2.46,21.7,0.870,85.25,4.7,-0.5,0.0,25.2,0,0,442,0.0,0.0,100,8403,85.22,28.4
2/22/2024 14:30,331.9,0.000,0,0,358,0.82,1.93,21.9,0.866,85.24,4.6,-0.5,0.0,25.1,0,0,444,0.0,0.0,100,8388,85.21,28.0
2/22/2024 14:45,351.0,0.000,0,0,9,1.42,2.49,21.1,0.893,85.24,4.6,-0.5,0.0,24.2,0,0,446,0.0,0.0,100,8380,85.20,26.7
2/22/2024 15:00,44.5,0.000,0,0,358,1.27,3.29,21.2,0.870,85.24,4.5,-0.5,0.0,23.1,0,0,447,0.0,0.0,100,8365,85.20,25.0
2/22/2024 15:15,90.9,0.000,0,0,351,0.93,2.37,20.8,0.871,85.23,4.5,-0.5,0.0,22.1,0,0,446,0.0,0.0,100,8363,85.20,23.9
2/22/2024 15:30,111.9,0.000,0,0,293,0.73,1.74,20.8,0.833,85.23,4.5,-0.5,0.0,21.9,0,0,446,0.0,0.0,100,8359,85.19,23.5
2/22/2024 15:45,114.3,0.000,0,0,256,0.68,1.72,20.1,0.853,85.23,4.5,-0.5,0.0,21.7,0,0,446,0.0,0.0,100,8356,85.19,23.3
2/22/2024 16:00,32.5,0.000,0,0,279,0.74,2.79,19.5,0.873,85.23,4.5,-0.5,0.0,20.9,0,0,448,0.0,0.0,100,8349,85.20,22.3
2/22/2024 16:15,28.9,0.000,0,0,351,0.61,1.64,18.7,0.919,85.25,4.4,-0.5,0.0,19.8,0,0,449,0.0,0.0,100,8346,85.21,21.0
2/22/2024 16:30,25.8,0.000,0,0,2,0.55,1.91,18.0,0.943,85.25,4.4,-0.5,0.0,18.9,5,0,451,0.0,0.0,100,8335,85.22,20.0
2/22/2024 16:45,21.6,0.000,0,0,337,0.34,1.19,17.6,0.954,85.26,4.4,-0.5,0.0,18.1,15,0,454,0.0,0.0,100,8333,85.23,19.1
2/22/2024 17:00,17.1,0.000,0,0,36,0.86,2.41,17.1,0.968,85.27,4.3,-0.5,0.0,17.5,15,0,453,0.0,0.0,100,8329,85.24,18.4
2/22/2024 17:15,12.5,0.000,0,0,39,1.17,2.85,16.6,0.977,85.27,4.3,-0.5,0.0,17.0,15,0,455,0.0,0.0,100,8323,85.24,17.7
2/22/2024 17:30,8.6,0.000,0,0,42,0.66,1.65,16.2,0.986,85.27,4.3,-0.5,0.0,16.4,15,8,469,0.0,0.0,100,8323,85.24,17.1
2/22/2024 17:45,4.9,0.000,0,0,349,1.18,2.90,15.5,0.994,85.28,4.3,-0.5,0.0,15.8,15,15,478,0.0,0.0,100,8320,85.25,16.4
2/22/2024 18:00,1.0,0.000,0,0,342,1.29,3.30,15.0,0.995,85.28,4.3,-0.5,0.0,15.3,15,15,486,0.0,0.0,100,8318,85.25,15.8
2/22/2024 18:15,0.0,0.000,0,0,0,0.77,2.37,14.6,0.991,85.28,4.3,-0.5,0.0,14.7,15,15,499,0.0,0.0,100,8314,85.25,15.2
2/22/2024 18:30,0.0,0.000,0,0,8,0.87,2.21,14.4,0.983,85.29,4.3,-0.5,0.0,14.3,15,15,514,0.0,0.0,100,8310,85.26,14.7
2/22/2024 18:45,0.0,0.000,0,0,350,1.20,2.60,14.4,0.981,85.29,4.3,-0.5,0.0,14.0,15,15,526,0.0,0.0,100,8308,85.26,14.4
2/22/2024 19:00,0.0,0.000,0,0,346,1.22,3.34,14.3,0.985,85.31,4.2,-0.5,0.0,14.0,15,15,540,0.0,0.0,100,8306,85.28,14.3
2/22/2024 19:15,0.0,0.000,0,0,344,1.51,3.90,14.3,0.983,85.32,4.3,-0.5,0.0,14.0,15,15,556,0.0,0.0,100,8306,85.29,14.2
2/22/2024 19:30,0.0,0.000,0,0,344,2.24,5.24,14.4,0.980,85.33,4.3,-0.5,0.0,14.0,15,15,569,0.0,0.0,100,8306,85.30,14.2
2/22/2024 19:45,0.0,0.000,0,0,351,2.38,4.33,14.4,0.985,85.34,4.3,-0.5,0.0,14.1,15,15,598,0.0,0.0,100,8302,85.31,14.2
2/22/2024 20:00,0.0,0.000,0,0,346,2.25,4.70,14.5,0.981,85.35,4.2,-0.4,0.0,14.1,15,15,616,0.0,0.0,100,8300,85.32,14.2
2/22/2024 20:15,0.0,0.000,0,0,346,3.04,5.90,14.5,0.982,85.35,4.3,-0.6,0.0,14.2,15,15,630,0.0,0.0,100,8298,85.32,14.3
2/22/2024 20:30,0.0,0.000,0,0,344,2.66,5.58,14.3,0.995,85.35,4.3,-0.5,0.0,14.2,15,15,637,0.0,0.0,100,8297,85.33,14.3
2/22/2024 20:45,0.0,0.000,0,0,345,2.64,7.46,14.1,1.000,85.36,4.3,-0.4,0.0,14.0,15,15,647,0.0,0.0,100,8295,85.34,14.1
2/22/2024 21:00,0.0,0.000,0,0,341,2.16,4.51,13.8,1.000,85.37,4.2,-0.5,0.0,13.8,15,15,642,0.0,0.0,100,8295,85.35,13.9
2/22/2024 21:15,0.0,0.000,0,0,341,2.15,3.90,13.7,0.995,85.38,4.3,-0.5,0.0,13.5,15,15,648,0.0,0.0,100,8292,85.36,13.7
2/22/2024 21:30,0.0,0.000,0,0,340,2.46,4.87,13.7,0.988,85.38,4.3,-0.5,0.0,13.4,15,15,655,0.0,0.0,100,8292,85.36,13.6
2/22/2024 21:45,0.0,0.017,0,0,345,2.38,5.42,13.7,0.986,85.39,4.3,-0.4,1.0,13.4,15,15,662,0.0,0.0,100,8289,85.36,13.6
2/22/2024 22:00,0.0,0.000,0,0,346,2.12,3.83,13.5,0.991,85.39,4.3,-0.5,0.0,13.3,15,15,663,0.0,0.0,100,8288,85.37,13.5
2/22/2024 22:15,0.0,0.017,0,0,347,1.54,3.16,13.4,0.990,85.39,4.3,-0.5,1.0,13.2,15,15,666,0.0,0.0,100,8286,85.37,13.4
2/22/2024 22:30,0.0,0.000,0,0,348,1.83,4.03,13.4,0.986,85.39,4.2,-0.4,0.0,13.1,15,15,667,0.0,0.0,100,8286,85.36,13.2
2/22/2024 22:45,0.0,0.000,0,0,344,2.24,4.57,13.3,0.987,85.38,4.2,-0.4,0.0,13.0,15,15,663,0.0,0.0,100,8282,85.35,13.1
2/22/2024 23:00,0.0,0.017,0,0,345,2.70,5.17,13.3,0.983,85.36,4.2,-0.6,1.0,13.0,15,15,664,0.0,0.0,100,8279,85.34,13.1
2/22/2024 23:15,0.0,0.000,0,0,342,2.99,5.33,13.3,0.987,85.36,4.3,-0.2,0.0,13.0,15,15,652,0.0,0.0,100,8282,85.34,13.1
2/22/2024 23:30,0.0,0.000,0,0,349,2.20,5.18,13.1,0.992,85.36,4.3,-0.4,0.0,12.9,15,15,652,0.0,0.0,100,8278,85.33,13.0
2/22/2024 23:45,0.0,0.017,0,0,345,1.94,5.25,13.0,0.986,85.34,4.3,-0.5,1.0,12.7,15,15,642,0.0,0.0,100,8276,85.32,12.8
2/23/2024 0:00,0.0,0.000,0,0,345,2.30,5.13,13.0,0.985,85.33,4.3,-0.5,0.0,12.6,15,15,642,0.0,0.0,100,8276,85.31,12.8
2/23/2024 0:15,0.0,0.000,0,0,344,2.28,4.80,13.0,0.985,85.32,4.3,-0.5,0.0,12.7,15,15,639,0.0,0.0,100,8264,85.29,12.9
2/23/2024 0:30,0.0,0.017,0,0,349,1.97,5.10,12.9,0.967,85.30,4.2,-0.4,1.0,12.6,15,15,641,0.0,0.0,100,8266,85.28,12.8
2/23/2024 0:45,0.0,0.000,0,0,343,1.57,3.66,12.9,0.985,85.28,4.2,-0.5,0.0,12.5,15,15,640,0.0,0.0,100,8263,85.26,12.6
2/23/2024 1:00,0.0,0.000,0,0,13,0.87,3.29,12.5,0.992,85.27,4.3,-0.4,0.0,12.3,15,15,657,0.0,0.0,100,8263,85.24,12.4
2/23/2024 1:15,0.0,0.017,0,0,2,1.11,2.80,12.5,0.979,85.26,4.2,-0.4,1.0,12.1,15,15,661,0.0,0.0,100,8263,85.23,12.2
2/23/2024 1:30,0.0,0.000,0,0,350,1.19,3.42,12.5,0.978,85.25,4.2,-0.5,0.0,12.1,15,15,667,0.0,0.0,100,8260,85.23,12.1
2/23/2024 1:45,0.0,0.000,0,0,353,1.26,2.68,12.6,0.975,85.24,4.2,-0.5,0.0,12.1,15,15,673,0.0,0.0,100,8260,85.21,12.1
2/23/2024 2:00,0.0,0.000,0,0,86,0.51,1.23,12.1,0.995,85.22,4.2,-0.5,0.0,12.0,15,15,697,0.0,0.0,100,8259,85.20,12.0
