z6-15957,Port 1,Port 2,Port 2,Port 2,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 7,Port 7,Port 8,Port 8
Records: 1338,PYR,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 22,ATMOS 14,ATMOS 14,ATMOS 14,PHYTOS 31,PHYTOS 31,PHYTOS 31,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Anemometer Temp,° X-axis Level,° Y-axis Level, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure, min Leaf Wetness, min Leaf Wetness (high), Wetness Level,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
12/21/2023 11:15,461.1,32,1.67,5.41,17.3,-2.2,2.8,17.3,0.922,87.63,15,0,453,100,7972,87.60,18.5
12/21/2023 11:30,458.3,24,1.75,5.05,17.7,-2.1,2.5,17.7,0.923,87.60,15,0,453,100,7969,87.58,18.2
12/21/2023 11:45,394.0,25,1.69,5.32,18.0,-2.2,2.6,18.0,0.924,87.57,15,0,453,100,7969,87.55,18.3
12/21/2023 12:00,542.9,38,1.93,6.84,18.0,-2.2,2.6,18.0,0.927,87.55,15,0,453,100,7967,87.52,18.2
12/21/2023 12:15,224.1,34,1.55,5.42,17.9,-2.2,2.7,17.8,0.929,87.53,15,0,454,100,7968,87.51,18.1
12/21/2023 12:30,754.8,32,1.93,7.21,18.0,-2.1,2.7,17.9,0.920,87.52,15,0,452,100,7967,87.50,18.2
12/21/2023 12:45,511.8,21,2.32,8.34,18.0,-2.2,2.7,17.9,0.921,87.49,15,0,453,100,7968,87.47,18.4
12/21/2023 13:00,578.8,30,2.05,6.93,18.1,-2.1,2.5,17.9,0.924,87.47,15,0,453,100,7968,87.45,18.8
12/21/2023 13:15,210.8,29,2.60,7.59,18.0,-2.2,2.6,17.8,0.923,87.45,15,0,453,100,7971,87.43,18.8
12/21/2023 13:30,173.0,23,2.11,6.05,17.8,-2.2,2.6,17.7,0.927,87.43,15,0,454,100,7970,87.41,18.8
12/21/2023 13:45,161.3,28,2.11,6.38,17.7,-2.2,2.5,17.5,0.934,87.42,15,0,454,100,7967,87.39,18.6
12/21/2023 14:00,106.2,25,2.24,8.29,17.7,-2.2,2.7,17.5,0.936,87.41,15,0,454,100,7968,87.38,18.4
12/21/2023 14:15,111.9,34,2.21,7.84,17.7,-2.2,2.5,17.4,0.940,87.40,15,0,455,100,7967,87.38,18.4
12/21/2023 14:30,92.1,35,1.90,6.90,17.3,-2.1,2.7,17.1,0.954,87.41,15,0,456,100,7966,87.38,18.0
12/21/2023 14:45,53.5,27,2.07,7.60,17.0,-2.2,2.6,16.8,0.971,87.40,15,0,459,100,7963,87.38,17.7
12/21/2023 15:00,51.8,22,2.17,4.88,17.0,-2.5,2.7,16.8,0.975,87.41,15,0,458,100,7966,87.38,17.5
12/21/2023 15:15,43.0,34,1.77,5.65,16.9,-2.2,2.6,16.8,0.980,87.40,15,0,460,100,7963,87.38,17.3
12/21/2023 15:30,50.4,26,2.00,6.41,16.9,-2.2,2.6,16.8,0.986,87.41,15,0,459,100,7962,87.39,17.3
12/21/2023 15:45,30.0,26,1.68,5.34,17.0,-2.1,2.5,16.9,0.985,87.42,15,6,460,100,7961,87.39,17.2
12/21/2023 16:00,23.4,23,1.98,5.75,16.9,-2.2,2.6,16.8,0.993,87.42,15,15,462,100,7960,87.40,17.2
12/21/2023 16:15,21.4,25,1.83,4.85,16.9,-2.2,2.7,16.8,0.999,87.43,15,15,461,100,7932,87.41,17.1
12/21/2023 16:30,11.5,25,2.39,6.15,16.9,-2.2,2.3,16.8,0.999,87.44,15,15,464,100,7947,87.42,17.3
12/21/2023 16:45,11.9,22,2.64,8.61,16.9,-2.3,2.6,16.8,0.999,87.46,15,15,462,100,7949,87.43,17.1
12/21/2023 17:00,7.1,29,2.63,6.83,17.0,-2.3,2.5,16.9,0.998,87.48,15,15,463,100,7948,87.45,17.0
12/21/2023 17:15,0.0,28,2.01,7.50,16.9,-2.4,2.7,16.8,1.000,87.49,15,15,463,100,7947,87.47,17.0
12/21/2023 17:30,0.0,25,2.37,6.36,16.9,-2.3,3.0,16.9,1.001,87.50,15,15,465,100,7946,87.48,17.0
12/21/2023 17:45,0.0,27,2.01,5.96,17.0,-2.2,2.6,16.9,1.000,87.52,15,15,467,100,7947,87.49,17.0
12/21/2023 18:00,0.0,37,1.90,5.20,16.9,-2.1,2.7,16.9,0.999,87.52,15,15,465,100,7944,87.50,16.9
12/21/2023 18:15,0.0,20,2.01,5.97,16.9,-2.2,2.7,16.8,1.001,87.53,15,15,464,100,7947,87.51,16.9
